"Plot_Category","Analysis_Name","Display_Name","GeneSet_Name","GSEA_Terms","Terms_Plotted","Positive_NES","Negative_NES","PDF_Width","PDF_Height","CSV_File","PDF_File","PNG_File"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","C6","78","10","78","0","9.440000000000000","5.650000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/C6/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/C6/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/C6/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","CP_BIOCARTA","25","17","18","7","12.220000000000001","8.609999999999999","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_BIOCARTA/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","CP_KEGG_LEGACY","56","17","37","7","14.070000000000000","9.289999999999999","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_KEGG_LEGACY/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_KEGG_LEGACY/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_KEGG_LEGACY/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","CP_KEGG_MEDICUS","83","20","62","21","19.590000000000000","14.810000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_KEGG_MEDICUS/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_KEGG_MEDICUS/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_KEGG_MEDICUS/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","CP_REACTOME","345","20","264","51","16.180000000000000","11.410000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_REACTOME/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_REACTOME/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_REACTOME/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","CP_WIKIPATHWAYS","247","20","204","39","15.510000000000000","10.730000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/CP_WIKIPATHWAYS/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_WIKIPATHWAYS/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/CP_WIKIPATHWAYS/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","GO_BP","1388","20","1274","79","15.170000000000000","10.390000000000001","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/GO_BP/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/GO_BP/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/GO_BP/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","GO_CC","159","20","144","10","15.170000000000000","10.390000000000001","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/GO_CC/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/GO_CC/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/GO_CC/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","GO_MF","233","20","175","39","16.859999999999999","12.090000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/GO_MF/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/GO_MF/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/GO_MF/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","hallmark","30","10","30","0","9.880000000000001","5.650000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/hallmark/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/hallmark/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/hallmark/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","HPO","611","20","536","52","15.510000000000000","10.730000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/HPO/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/HPO/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/HPO/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","IMMUNESIGDB","1761","10","1761","0","12.070000000000000","7.290000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/IMMUNESIGDB/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/IMMUNESIGDB/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/IMMUNESIGDB/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","TFT_GTRD","70","14","63","4","10.869999999999999","7.170000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/TFT_GTRD/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/TFT_GTRD/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/TFT_GTRD/png/dotplot.png"
"ATF3_correlation","Liver_metastasis","Liver_metastasis","TFT_TFT_LEGACY","256","10","256","0","9.000000000000000","5.650000000000000","results/ngs/GSE50760/tables/ATF3_function/Liver_metastasis/GSEA/TFT_TFT_LEGACY/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/TFT_TFT_LEGACY/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Liver_metastasis/TFT_TFT_LEGACY/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","C6","61","17","7","27","12.890000000000001","8.609999999999999","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/C6/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/C6/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/C6/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","CP_BIOCARTA","68","20","57","11","13.570000000000000","10.050000000000001","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_BIOCARTA/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","CP_KEGG_LEGACY","67","20","42","21","15.510000000000000","10.730000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_KEGG_LEGACY/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_KEGG_LEGACY/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_KEGG_LEGACY/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","CP_KEGG_MEDICUS","114","20","79","35","20.600000000000001","15.830000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_KEGG_MEDICUS/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_KEGG_MEDICUS/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_KEGG_MEDICUS/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","CP_REACTOME","404","20","216","154","15.170000000000000","10.390000000000001","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_REACTOME/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_REACTOME/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_REACTOME/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","CP_WIKIPATHWAYS","252","20","188","56","16.859999999999999","12.090000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/CP_WIKIPATHWAYS/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_WIKIPATHWAYS/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/CP_WIKIPATHWAYS/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","GO_BP","1549","20","626","763","15.850000000000000","11.070000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/GO_BP/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/GO_BP/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/GO_BP/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","GO_CC","206","20","54","141","14.420000000000000","10.050000000000001","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/GO_CC/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/GO_CC/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/GO_CC/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","GO_MF","268","20","103","158","16.859999999999999","12.090000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/GO_MF/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/GO_MF/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/GO_MF/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","hallmark","26","12","8","4","10.449999999999999","6.210000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/hallmark/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/hallmark/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/hallmark/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","HPO","1396","20","246","1113","15.510000000000000","10.730000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/HPO/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/HPO/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/HPO/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","IMMUNESIGDB","1620","20","95","295","18.570000000000000","13.789999999999999","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/IMMUNESIGDB/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/IMMUNESIGDB/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/IMMUNESIGDB/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","TFT_GTRD","54","16","6","38","13.580000000000000","8.810000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/TFT_GTRD/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/TFT_GTRD/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/TFT_GTRD/png/dotplot.png"
"ATF3_correlation","Normal_colon","Normal_colon","TFT_TFT_LEGACY","204","12","2","195","9.990000000000000","6.210000000000000","results/ngs/GSE50760/tables/ATF3_function/Normal_colon/GSEA/TFT_TFT_LEGACY/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/TFT_TFT_LEGACY/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Normal_colon/TFT_TFT_LEGACY/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","C6","33","10","33","0","9.440000000000000","5.650000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/C6/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/C6/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/C6/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","CP_BIOCARTA","85","11","84","1","9.199999999999999","5.730000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_BIOCARTA/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_BIOCARTA/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_BIOCARTA/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","CP_KEGG_LEGACY","50","13","37","3","11.289999999999999","6.690000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_KEGG_LEGACY/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_KEGG_LEGACY/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_KEGG_LEGACY/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","CP_KEGG_MEDICUS","177","20","156","15","19.590000000000000","14.810000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_KEGG_MEDICUS/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_KEGG_MEDICUS/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_KEGG_MEDICUS/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","CP_REACTOME","458","20","388","29","15.850000000000000","11.070000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_REACTOME/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_REACTOME/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_REACTOME/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","CP_WIKIPATHWAYS","236","20","211","15","15.510000000000000","10.730000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/CP_WIKIPATHWAYS/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_WIKIPATHWAYS/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/CP_WIKIPATHWAYS/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","GO_BP","1229","20","1113","73","16.859999999999999","12.090000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/GO_BP/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/GO_BP/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/GO_BP/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","GO_CC","200","20","174","15","15.170000000000000","10.390000000000001","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/GO_CC/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/GO_CC/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/GO_CC/png/dotplot.png"
"ATF3_correlation","Primary_tumor","Primary_tumor","GO_MF","297","20","215","48","15.850000000000000","11.070000000000000","results/ngs/GSE50760/tables/ATF3_function/Primary_tumor/GSEA/GO_MF/gsea_result.csv","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/GO_MF/pdf/dotplot.pdf","results/ngs/GSE50760/plots/GSEA/ATF3_correlation/Primary_tumor/GO_MF/png/dotplot.png"
