Pathway,"GSE9988 ANTI TREM1 VS VEHICLE TREATED
MONOCYTES DN","GSE9988 ANTI TREM1 AND LPS VS VEHICLE TREATED
MONOCYTES DN",GSE9988 LPS VS VEHICLE TREATED MONOCYTE DN,"GSE9988 LOW LPS VS VEHICLE TREATED MONOCYTE
DN",GSE9988 LOW LPS VS CTRL TREATED MONOCYTE DN,GSE9988 LPS VS CTRL TREATED MONOCYTE DN,"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
DN","GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES DN",GSE16266 CTRL VS LPS STIM MEF UP,"GSE46606 IRF4MID VS WT CD40L IL2 IL5 DAY3
STIMULATED BCELL DN",GSE36009 UNSTIM VS LPS STIM DC DN,"GSE16385 MONOCYTE VS 12H IL4 TREATED
MACROPHAGE DN","GSE16385 UNTREATED VS 12H ROSIGLITAZONE IL4
TREATED MACROPHAGE UP",GSE13485 DAY1 VS DAY21 YF17D VACCINE PBMC UP,GSE32533 WT VS MIR17 KO ACT CD4 TCELL DN,"GSE5542 UNTREATED VS IFNA TREATED EPITHELIAL
CELLS 24H UP",GSE12366 PLASMA CELL VS MEMORY BCELL DN,"GSE10273 LOW IL7 VS HIGH IL7 AND IRF4 IN IRF4
8 NULL PRE BCELL DN","GSE36476 YOUNG VS OLD DONOR MEMORY CD4 TCELL
40H TSST ACT DN","GSE37605 FOXP3 FUSION GFP VS IRES GFP TREG
C57BL6 UP","GSE3920 IFNA VS IFNG TREATED ENDOTHELIAL CELL
UP","GSE5142 HTERT TRANSDUCED VS CTRL CD8 TCELL
LATE PASSAGE CLONE DN",GSE31082 DN VS DP THYMOCYTE DN,GSE11924 TFH VS TH2 CD4 TCELL UP,GSE11924 TFH VS TH1 CD4 TCELL UP,"GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS A3R INH AND TCELL MEMBRANES ACT
MAST CELL UP","GSE19888 CTRL VS A3R INHIBITOR TREATED MAST
CELL DN",GSE18893 TCONV VS TREG 2H TNF STIM DN,"GSE32986 UNSTIM VS GMCSF AND CURDLAN LOWDOSE
STIM DC DN","GSE26156 DOUBLE POSITIVE VS CD4 SINGLE
POSITIVE THYMOCYTE UP","GSE28726 ACT CD4 TCELL VS ACT VA24NEG NKTCELL
DN",GSE22886 NAIVE CD4 TCELL VS 48H ACT TH1 UP,GSE22886 NAIVE CD4 TCELL VS 12H ACT TH2 UP,"GSE21927 SPLENIC VS TUMOR MONOCYTES FROM
C26GM TUMOROUS MICE BALBC DN","GSE21927 SPLEEN C57BL6 VS EL4 TUMOR BALBC
MONOCYTES UP",GSE1432 CTRL VS IFNG 24H MICROGLIA UP,GSE1432 1H VS 24H IFNG MICROGLIA UP,GSE22886 NAIVE CD4 TCELL VS MONOCYTE DN,"GSE24634 TREG VS TCONV POST DAY5 IL4
CONVERSION DN","GSE39556 UNTREATED VS 3H POLYIC INJ MOUSE NK
CELL DN"
"GSE9988 ANTI TREM1 VS VEHICLE TREATED
MONOCYTES DN",1.0,0.5989847715736041,0.5025380710659898,0.41116751269035534,0.26903553299492383,0.2893401015228426,0.5329949238578681,0.41116751269035534,0.07614213197969544,0.06598984771573604,0.05583756345177665,0.04060913705583756,0.025380710659898477,0.04060913705583756,0.03553299492385787,0.025380710659898477,0.03553299492385787,0.030456852791878174,0.025380710659898477,0.0,0.0,0.03553299492385787,0.04568527918781726,0.030456852791878174,0.030456852791878174,0.030456852791878174,0.04060913705583756,0.04060913705583756,0.025380710659898477,0.025380710659898477,0.04060913705583756,0.025380710659898477,0.015228426395939087,0.03553299492385787,0.030456852791878174,0.03553299492385787,0.02030456852791878,0.08121827411167512,0.08121827411167512,0.04060913705583756
"GSE9988 ANTI TREM1 AND LPS VS VEHICLE TREATED
MONOCYTES DN",0.5989847715736041,1.0,0.6345177664974619,0.5939086294416244,0.3401015228426396,0.3248730964467005,0.38071065989847713,0.45685279187817257,0.10152284263959391,0.04060913705583756,0.04060913705583756,0.04060913705583756,0.01015228426395939,0.03553299492385787,0.050761421319796954,0.02030456852791878,0.030456852791878174,0.025380710659898477,0.015228426395939087,0.005076142131979695,0.0,0.03553299492385787,0.030456852791878174,0.025380710659898477,0.02030456852791878,0.025380710659898477,0.03553299492385787,0.03553299492385787,0.015228426395939087,0.025380710659898477,0.04060913705583756,0.015228426395939087,0.015228426395939087,0.04060913705583756,0.025380710659898477,0.030456852791878174,0.02030456852791878,0.07106598984771574,0.07614213197969544,0.02030456852791878
GSE9988 LPS VS VEHICLE TREATED MONOCYTE DN,0.5,0.6313131313131313,1.0,0.7171717171717171,0.4090909090909091,0.42424242424242425,0.3333333333333333,0.4090909090909091,0.08080808080808081,0.06565656565656566,0.050505050505050504,0.025252525252525252,0.030303030303030304,0.04040404040404041,0.045454545454545456,0.030303030303030304,0.030303030303030304,0.020202020202020204,0.025252525252525252,0.005050505050505051,0.0,0.025252525252525252,0.045454545454545456,0.04040404040404041,0.025252525252525252,0.025252525252525252,0.04040404040404041,0.030303030303030304,0.030303030303030304,0.03535353535353535,0.050505050505050504,0.015151515151515152,0.015151515151515152,0.06060606060606061,0.03535353535353535,0.015151515151515152,0.015151515151515152,0.05555555555555555,0.08080808080808081,0.025252525252525252
"GSE9988 LOW LPS VS VEHICLE TREATED MONOCYTE
DN",0.40703517587939697,0.5879396984924623,0.7135678391959799,1.0,0.4824120603015075,0.4221105527638191,0.3065326633165829,0.39195979899497485,0.07537688442211055,0.04020100502512563,0.05527638190954774,0.020100502512562814,0.020100502512562814,0.03015075376884422,0.06532663316582915,0.03015075376884422,0.020100502512562814,0.01507537688442211,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.02512562814070352,0.03015075376884422,0.035175879396984924,0.010050251256281407,0.03015075376884422,0.04020100502512563,0.04020100502512563,0.03015075376884422,0.04020100502512563,0.05527638190954774,0.03015075376884422,0.01507537688442211,0.04020100502512563,0.04020100502512563,0.010050251256281407,0.010050251256281407,0.06030150753768844,0.07035175879396985,0.020100502512562814
GSE9988 LOW LPS VS CTRL TREATED MONOCYTE DN,0.265,0.335,0.405,0.48,1.0,0.7,0.44,0.555,0.075,0.025,0.055,0.02,0.04,0.02,0.075,0.02,0.025,0.02,0.02,0.0,0.01,0.045,0.04,0.04,0.03,0.05,0.05,0.055,0.02,0.035,0.035,0.04,0.015,0.03,0.03,0.02,0.015,0.025,0.05,0.01
GSE9988 LPS VS CTRL TREATED MONOCYTE DN,0.285,0.32,0.42,0.42,0.7,1.0,0.455,0.57,0.065,0.045,0.055,0.025,0.025,0.02,0.05,0.03,0.02,0.015,0.025,0.005,0.015,0.035,0.04,0.04,0.035,0.045,0.055,0.04,0.02,0.035,0.04,0.025,0.01,0.055,0.04,0.01,0.015,0.025,0.05,0.025
"GSE9988 ANTI TREM1 VS CTRL TREATED MONOCYTES
DN",0.525,0.375,0.33,0.305,0.44,0.455,1.0,0.595,0.085,0.04,0.045,0.035,0.02,0.03,0.055,0.025,0.025,0.025,0.01,0.01,0.01,0.06,0.05,0.025,0.03,0.075,0.075,0.045,0.02,0.025,0.035,0.03,0.015,0.055,0.045,0.015,0.01,0.065,0.045,0.03
"GSE9988 ANTI TREM1 AND LPS VS CTRL TREATED
MONOCYTES DN",0.41116751269035534,0.45685279187817257,0.41116751269035534,0.39593908629441626,0.5634517766497462,0.5786802030456852,0.6040609137055838,1.0,0.07614213197969544,0.04060913705583756,0.050761421319796954,0.03553299492385787,0.025380710659898477,0.025380710659898477,0.05583756345177665,0.025380710659898477,0.025380710659898477,0.015228426395939087,0.01015228426395939,0.0,0.0,0.04060913705583756,0.04568527918781726,0.03553299492385787,0.04060913705583756,0.050761421319796954,0.05583756345177665,0.05583756345177665,0.025380710659898477,0.03553299492385787,0.015228426395939087,0.03553299492385787,0.02030456852791878,0.030456852791878174,0.030456852791878174,0.02030456852791878,0.015228426395939087,0.025380710659898477,0.04568527918781726,0.02030456852791878
GSE16266 CTRL VS LPS STIM MEF UP,0.07575757575757576,0.10101010101010101,0.08080808080808081,0.07575757575757576,0.07575757575757576,0.06565656565656566,0.08585858585858586,0.07575757575757576,1.0,0.030303030303030304,0.03535353535353535,0.015151515151515152,0.04040404040404041,0.030303030303030304,0.010101010101010102,0.050505050505050504,0.045454545454545456,0.03535353535353535,0.025252525252525252,0.06060606060606061,0.04040404040404041,0.030303030303030304,0.020202020202020204,0.005050505050505051,0.010101010101010102,0.05555555555555555,0.045454545454545456,0.04040404040404041,0.015151515151515152,0.025252525252525252,0.03535353535353535,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.015151515151515152,0.045454545454545456,0.05555555555555555,0.045454545454545456,0.020202020202020204,0.03535353535353535
"GSE46606 IRF4MID VS WT CD40L IL2 IL5 DAY3
STIMULATED BCELL DN",0.065,0.04,0.065,0.04,0.025,0.045,0.04,0.04,0.03,1.0,0.06,0.035,0.02,0.03,0.035,0.02,0.015,0.03,0.01,0.005,0.0,0.015,0.03,0.04,0.035,0.02,0.025,0.02,0.03,0.02,0.025,0.01,0.02,0.015,0.03,0.05,0.03,0.01,0.02,0.01
