Pathway,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,BMI1 DN.V1 UP,TGFB UP.V1 UP,CSR EARLY UP.V1 UP,PRC2 EED DN.V1 DN,PRC2 EZH2 UP.V1 DN,VEGF A UP.V1 DN,IL2 UP.V1 UP,IL15 UP.V1 UP,MYC UP.V1 UP,GCNP SHH UP EARLY.V1 UP,GCNP SHH UP LATE.V1 UP,E2F1 UP.V1 UP,RB P107 DN.V1 UP,CSR LATE UP.V1 UP,RPS14 DN.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,AKT UP.V1 UP,HOXA9 DN.V1 DN,E2F3 UP.V1 DN,BCAT BILD ET AL DN,STK33 UP,STK33 NOMO UP,STK33 SKM UP,RELA DN.V1 UP,PDGF ERK DN.V1 DN,MTOR UP.N4.V1 DN,LEF1 UP.V1 DN,RAF UP.V1 DN,ERBB2 UP.V1 DN,ESC J1 UP LATE.V1 UP,ESC V6.5 UP LATE.V1 UP,ESC J1 UP EARLY.V1 UP,PKCA DN.V1 UP,LEF1 UP.V1 UP,LTE2 UP.V1 UP,ERBB2 UP.V1 UP,KRAS.LUNG UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN
BMI1 DN MEL18 DN.V1 UP,1.0,0.6206896551724138,0.5793103448275863,0.09655172413793103,0.05517241379310345,0.027586206896551724,0.006896551724137931,0.020689655172413793,0.05517241379310345,0.06206896551724138,0.013793103448275862,0.013793103448275862,0.0,0.013793103448275862,0.020689655172413793,0.034482758620689655,0.013793103448275862,0.006896551724137931,0.041379310344827586,0.020689655172413793,0.027586206896551724,0.013793103448275862,0.07586206896551724,0.07586206896551724,0.05517241379310345,0.041379310344827586,0.027586206896551724,0.0,0.0,0.027586206896551724,0.006896551724137931,0.034482758620689655,0.013793103448275862,0.013793103448275862,0.0,0.06896551724137931,0.020689655172413793,0.041379310344827586,0.013793103448275862,0.006896551724137931
MEL18 DN.V1 UP,0.6382978723404256,1.0,0.6312056737588653,0.05673758865248227,0.05673758865248227,0.0425531914893617,0.014184397163120567,0.02127659574468085,0.07092198581560284,0.07801418439716312,0.02127659574468085,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.03546099290780142,0.02127659574468085,0.0070921985815602835,0.0425531914893617,0.05673758865248227,0.0425531914893617,0.0070921985815602835,0.06382978723404255,0.07092198581560284,0.04964539007092199,0.03546099290780142,0.02127659574468085,0.0,0.0070921985815602835,0.04964539007092199,0.0070921985815602835,0.028368794326241134,0.0070921985815602835,0.014184397163120567,0.0,0.07092198581560284,0.02127659574468085,0.02127659574468085,0.0070921985815602835,0.0070921985815602835
BMI1 DN.V1 UP,0.5714285714285714,0.6054421768707483,1.0,0.06802721088435375,0.05442176870748299,0.04081632653061224,0.013605442176870748,0.02040816326530612,0.07482993197278912,0.07482993197278912,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.034013605442176874,0.047619047619047616,0.027210884353741496,0.006802721088435374,0.027210884353741496,0.034013605442176874,0.047619047619047616,0.006802721088435374,0.05442176870748299,0.061224489795918366,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.047619047619047616,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.006802721088435374,0.006802721088435374,0.047619047619047616,0.02040816326530612,0.034013605442176874,0.0,0.006802721088435374
TGFB UP.V1 UP,0.07407407407407407,0.042328042328042326,0.05291005291005291,1.0,0.0582010582010582,0.015873015873015872,0.026455026455026454,0.010582010582010581,0.0582010582010582,0.047619047619047616,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.010582010582010581,0.015873015873015872,0.010582010582010581,0.015873015873015872,0.031746031746031744,0.037037037037037035,0.010582010582010581,0.010582010582010581,0.005291005291005291,0.06349206349206349,0.05291005291005291,0.05291005291005291,0.047619047619047616,0.042328042328042326,0.015873015873015872,0.021164021164021163,0.031746031746031744,0.031746031746031744,0.037037037037037035,0.005291005291005291,0.015873015873015872,0.005291005291005291,0.06349206349206349,0.026455026455026454,0.031746031746031744,0.026455026455026454,0.005291005291005291
CSR EARLY UP.V1 UP,0.05228758169934641,0.05228758169934641,0.05228758169934641,0.0718954248366013,1.0,0.006535947712418301,0.013071895424836602,0.026143790849673203,0.032679738562091505,0.0457516339869281,0.013071895424836602,0.0,0.006535947712418301,0.0,0.0,0.058823529411764705,0.013071895424836602,0.006535947712418301,0.013071895424836602,0.013071895424836602,0.0,0.0,0.0196078431372549,0.0392156862745098,0.006535947712418301,0.032679738562091505,0.0457516339869281,0.0,0.006535947712418301,0.026143790849673203,0.032679738562091505,0.026143790849673203,0.013071895424836602,0.0196078431372549,0.0,0.026143790849673203,0.0,0.006535947712418301,0.0,0.006535947712418301
PRC2 EED DN.V1 DN,0.02072538860103627,0.031088082901554404,0.031088082901554404,0.015544041450777202,0.0051813471502590676,1.0,0.17098445595854922,0.03626943005181347,0.015544041450777202,0.015544041450777202,0.0051813471502590676,0.02072538860103627,0.025906735751295335,0.031088082901554404,0.046632124352331605,0.03626943005181347,0.07253886010362694,0.0,0.015544041450777202,0.06735751295336788,0.015544041450777202,0.0051813471502590676,0.015544041450777202,0.02072538860103627,0.015544041450777202,0.0051813471502590676,0.0,0.0,0.015544041450777202,0.0,0.0,0.0,0.0051813471502590676,0.010362694300518135,0.0051813471502590676,0.010362694300518135,0.0,0.046632124352331605,0.015544041450777202,0.0051813471502590676
PRC2 EZH2 UP.V1 DN,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.026041666666666668,0.010416666666666666,0.171875,1.0,0.06770833333333333,0.036458333333333336,0.041666666666666664,0.015625,0.03125,0.052083333333333336,0.0625,0.03125,0.020833333333333332,0.057291666666666664,0.015625,0.005208333333333333,0.041666666666666664,0.015625,0.0,0.015625,0.020833333333333332,0.020833333333333332,0.005208333333333333,0.005208333333333333,0.020833333333333332,0.03125,0.010416666666666666,0.036458333333333336,0.005208333333333333,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.015625,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.020833333333333332
VEGF A UP.V1 DN,0.015544041450777202,0.015544041450777202,0.015544041450777202,0.010362694300518135,0.02072538860103627,0.03626943005181347,0.06735751295336788,1.0,0.02072538860103627,0.03626943005181347,0.010362694300518135,0.010362694300518135,0.03626943005181347,0.046632124352331605,0.025906735751295335,0.031088082901554404,0.046632124352331605,0.010362694300518135,0.0051813471502590676,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.046632124352331605,0.046632124352331605,0.04145077720207254,0.0,0.010362694300518135,0.02072538860103627,0.010362694300518135,0.025906735751295335,0.07772020725388601,0.0051813471502590676,0.015544041450777202,0.010362694300518135,0.0051813471502590676,0.010362694300518135,0.031088082901554404,0.025906735751295335,0.0051813471502590676,0.0051813471502590676
IL2 UP.V1 UP,0.042105263157894736,0.05263157894736842,0.05789473684210526,0.05789473684210526,0.02631578947368421,0.015789473684210527,0.03684210526315789,0.021052631578947368,1.0,0.5684210526315789,0.05789473684210526,0.010526315789473684,0.015789473684210527,0.010526315789473684,0.0,0.005263157894736842,0.02631578947368421,0.010526315789473684,0.02631578947368421,0.04736842105263158,0.021052631578947368,0.005263157894736842,0.05789473684210526,0.06842105263157895,0.04736842105263158,0.05789473684210526,0.04736842105263158,0.005263157894736842,0.015789473684210527,0.02631578947368421,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.031578947368421054,0.015789473684210527,0.06842105263157895,0.02631578947368421,0.031578947368421054,0.010526315789473684,0.005263157894736842
IL15 UP.V1 UP,0.047619047619047616,0.0582010582010582,0.0582010582010582,0.047619047619047616,0.037037037037037035,0.015873015873015872,0.042328042328042326,0.037037037037037035,0.5714285714285714,1.0,0.06349206349206349,0.010582010582010581,0.021164021164021163,0.021164021164021163,0.010582010582010581,0.005291005291005291,0.026455026455026454,0.010582010582010581,0.005291005291005291,0.047619047619047616,0.015873015873015872,0.005291005291005291,0.0582010582010582,0.0582010582010582,0.05291005291005291,0.047619047619047616,0.05291005291005291,0.005291005291005291,0.010582010582010581,0.026455026455026454,0.015873015873015872,0.037037037037037035,0.010582010582010581,0.031746031746031744,0.021164021164021163,0.05291005291005291,0.021164021164021163,0.021164021164021163,0.015873015873015872,0.021164021164021163
