Pathway,CYTOPLASMIC TRANSLATION,"NEGATIVE REGULATION OF SYNCYTIUM FORMATION BY
PLASMA MEMBRANE FUSION","REGULATION OF SYNCYTIUM FORMATION BY PLASMA
MEMBRANE FUSION",MYOTUBE DIFFERENTIATION,MYOBLAST FUSION,OXIDATIVE PHOSPHORYLATION,ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,CELLULAR RESPIRATION,"GENERATION OF PRECURSOR METABOLITES AND
ENERGY","MITOCHONDRIAL ELECTRON TRANSPORT NADH TO
UBIQUINONE",ELECTRON TRANSPORT CHAIN,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,ATP BIOSYNTHETIC PROCESS,NUCLEOTIDE BIOSYNTHETIC PROCESS,NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,"PURINE CONTAINING COMPOUND BIOSYNTHETIC
PROCESS",RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,RIBOSE PHOSPHATE METABOLIC PROCESS,NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,ATP METABOLIC PROCESS,"MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX
ASSEMBLY",MITOCHONDRION ORGANIZATION,MITOCHONDRIAL TRANSLATION,MITOCHONDRIAL GENE EXPRESSION,TRNA METABOLIC PROCESS,RIBOSOME BIOGENESIS,RIBOSOMAL SMALL SUBUNIT BIOGENESIS,RRNA PROCESSING,RRNA METABOLIC PROCESS,RIBOSOME ASSEMBLY,PROTEIN RNA COMPLEX ORGANIZATION,RIBOSOMAL LARGE SUBUNIT BIOGENESIS,WOUND HEALING,CELL SUBSTRATE ADHESION,CELL MATRIX ADHESION,POSITIVE REGULATION OF CELL ADHESION,EPITHELIAL CELL PROLIFERATION,REGULATION OF VASCULATURE DEVELOPMENT,EMBRYONIC ORGAN DEVELOPMENT
CYTOPLASMIC TRANSLATION,1.0,0.2542372881355932,0.2542372881355932,0.2655367231638418,0.2542372881355932,0.0,0.0,0.01694915254237288,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.0,0.022598870056497175,0.022598870056497175,0.01694915254237288,0.0,0.0,0.005649717514124294,0.005649717514124294,0.022598870056497175,0.24858757062146894,0.14689265536723164,0.12994350282485875,0.13559322033898305,0.0903954802259887,0.24858757062146894,0.062146892655367235,0.005649717514124294,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.011299435028248588
"NEGATIVE REGULATION OF SYNCYTIUM FORMATION BY
PLASMA MEMBRANE FUSION",0.9,1.0,1.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.16,0.16,0.08,0.1,0.16,0.0,0.0,0.0,0.0,0.02,0.04,0.04
"REGULATION OF SYNCYTIUM FORMATION BY PLASMA
MEMBRANE FUSION",0.6164383561643836,0.684931506849315,1.0,0.8767123287671232,0.8767123287671232,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.1506849315068493,0.0,0.1095890410958904,0.1095890410958904,0.0547945205479452,0.0684931506849315,0.1095890410958904,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0410958904109589,0.0410958904109589
MYOTUBE DIFFERENTIATION,0.26256983240223464,0.2681564245810056,0.3575418994413408,1.0,0.5139664804469274,0.0111731843575419,0.0,0.0446927374301676,0.055865921787709494,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03910614525139665,0.03910614525139665,0.03910614525139665,0.0,0.05027932960893855,0.0,0.0,0.0,0.061452513966480445,0.0,0.0446927374301676,0.05027932960893855,0.0223463687150838,0.027932960893854747,0.0446927374301676,0.0893854748603352,0.05027932960893855,0.027932960893854747,0.055865921787709494,0.08379888268156424,0.0446927374301676,0.07262569832402235
MYOBLAST FUSION,0.4891304347826087,0.5217391304347826,0.6956521739130435,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11956521739130435,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.05434782608695652,0.08695652173913043,0.06521739130434782,0.043478260869565216,0.010869565217391304,0.043478260869565216,0.010869565217391304,0.05434782608695652,0.03260869565217391
OXIDATIVE PHOSPHORYLATION,0.0,0.0,0.0,0.013422818791946308,0.0,1.0,0.6778523489932886,1.0,1.0,0.35570469798657717,0.6845637583892618,0.4899328859060403,0.4563758389261745,0.48322147651006714,0.4966442953020134,0.5100671140939598,0.5100671140939598,0.4899328859060403,0.5234899328859061,0.5302013422818792,0.5234899328859061,0.174496644295302,0.26174496644295303,0.013422818791946308,0.026845637583892617,0.0,0.006711409395973154,0.0,0.0,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.013422818791946308,0.026845637583892617,0.013422818791946308,0.006711409395973154
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5247524752475248,1.0,0.4752475247524752,0.45544554455445546,0.4752475247524752,0.48514851485148514,0.504950495049505,0.504950495049505,0.4752475247524752,0.48514851485148514,0.49504950495049505,0.48514851485148514,0.2079207920792079,0.27722772277227725,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0
CELLULAR RESPIRATION,0.008928571428571428,0.0,0.0,0.023809523809523808,0.0,0.44345238095238093,0.3005952380952381,1.0,1.0,0.15773809523809523,0.34523809523809523,0.24107142857142858,0.20238095238095238,0.23809523809523808,0.25,0.31547619047619047,0.3125,0.24404761904761904,0.5267857142857143,0.5267857142857143,0.5238095238095238,0.09523809523809523,0.21726190476190477,0.008928571428571428,0.020833333333333332,0.0,0.011904761904761904,0.0,0.005952380952380952,0.011904761904761904,0.008928571428571428,0.01488095238095238,0.008928571428571428,0.03273809523809524,0.008928571428571428,0.005952380952380952,0.03273809523809524,0.03869047619047619,0.026785714285714284,0.01488095238095238
"GENERATION OF PRECURSOR METABOLITES AND
ENERGY",0.008130081300813009,0.0,0.0,0.02032520325203252,0.0,0.30284552845528456,0.20528455284552846,0.6829268292682927,1.0,0.10772357723577236,0.25609756097560976,0.16869918699186992,0.13821138211382114,0.16666666666666666,0.17682926829268292,0.22967479674796748,0.22357723577235772,0.17479674796747968,0.37398373983739835,0.3678861788617886,0.36585365853658536,0.06504065040650407,0.17276422764227642,0.006097560975609756,0.016260162601626018,0.0020325203252032522,0.008130081300813009,0.0,0.0040650406504065045,0.008130081300813009,0.006097560975609756,0.01016260162601626,0.006097560975609756,0.03048780487804878,0.014227642276422764,0.008130081300813009,0.036585365853658534,0.03861788617886179,0.024390243902439025,0.02032520325203252
"MITOCHONDRIAL ELECTRON TRANSPORT NADH TO
UBIQUINONE",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7924528301886793,0.7735849056603774,0.7924528301886793,0.7924528301886793,0.8301886792452831,0.8301886792452831,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.3018867924528302,0.3584905660377358,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0
