"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.00000000000000","2","4","ReMap--ChIP-seq(rank=150); GTEx--Coexpression(rank=347); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=762)","767","rank=2; score=4.7495; p=1.7802e-05","rank=6; score=5.171; direction=Activated","rank=7; score=4.075; p=4.6014e-05; direction=Activated"
"2","FOXO3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.00000000000000","2","4","Literature--ChIP-seq(rank=134); Enrichr--Queries(rank=409); GTEx--Coexpression(rank=566); ARCHS4--Coexpression(rank=615)","961","rank=36; score=0.93383; p=0.11646","rank=7; score=5.1252; direction=Activated","rank=2; score=5.7974; p=6.7366e-09; direction=Activated"
"3","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.33333333333334","4","6","ReMap--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=80); ENCODE--ChIP-seq(rank=87); Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=180); GTEx--Coexpression(rank=881)","199","rank=59; score=0.61458; p=0.24289","rank=4; score=5.4697; direction=Activated","rank=4; score=4.7613; p=1.9238e-06; direction=Activated"
"4","CEBPB","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.00000000000000","6","6","ENCODE--ChIP-seq(rank=5); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=19); Enrichr--Queries(rank=31); GTEx--Coexpression(rank=1006); ARCHS4--Coexpression(rank=1106)","90","rank=6; score=3.464; p=0.00034356","rank=29; score=3.3403; direction=Activated","rank=34; score=3.0361; p=0.0023965; direction=Activated"
"5","HIF1A","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.33333333333334","3","5","Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=62); GTEx--Coexpression(rank=272); Enrichr--Queries(rank=298); ARCHS4--Coexpression(rank=1268)","456","rank=3; score=3.9214; p=0.00011983","rank=13; score=4.2462; direction=Activated","rank=57; score=2.6934; p=0.007072; direction=Activated"
"6","MYC","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.33333333333334","2","6","GTEx--Coexpression(rank=34); ENCODE--ChIP-seq(rank=44); Literature--ChIP-seq(rank=67); Enrichr--Queries(rank=125); ReMap--ChIP-seq(rank=284); ARCHS4--Coexpression(rank=1116)","86","rank=66; score=0.14337; p=0.71884","rank=2; score=6.181; direction=Repressed","rank=8; score=4.0265; p=5.6612e-05; direction=Repressed"
"7","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.00000000000000","1","6","ENCODE--ChIP-seq(rank=54); Literature--ChIP-seq(rank=139); ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=713); Enrichr--Queries(rank=1066); GTEx--Coexpression(rank=1463)","1240","rank=88; score=0; p=1","rank=1; score=8.6475; direction=Repressed","rank=1; score=7.5326; p=4.9728e-14; direction=Repressed"
"8","IRF3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.66666666666666","13","5","ENCODE--ChIP-seq(rank=80); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=456); Enrichr--Queries(rank=1055); GTEx--Coexpression(rank=1533)","937","rank=55; score=0.66873; p=0.21442","rank=36; score=3.1117; direction=Repressed","rank=13; score=3.7571; p=0.0001719; direction=Activated"
"9","FOSL1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.33333333333334","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=102); ARCHS4--Coexpression(rank=135); Enrichr--Queries(rank=143)","66","rank=7; score=3.2508; p=0.00056132","rank=78; score=2.4007; direction=Activated","rank=45; score=2.8496; p=0.0043769; direction=Activated"
"10","GATA6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.33333333333334","40","5","Literature--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=37); Enrichr--Queries(rank=387); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=1607)","489","rank=46; score=0.79954; p=0.15866","rank=53; score=2.805; direction=Activated","rank=40; score=2.8959; p=0.0037808; direction=Activated"
