"TF","HT55","SW948"
"AHR","0.211341296820711677","0.31318211191637380"
"AR","3.087940079909691882","0.83672855472002239"
"ARID2","-0.137662793029549174","3.64409234121023529"
"ARID3A","1.305785577756436000","0.71270181631953244"
"ARNT","-0.045635899756270318","2.37823388217269027"
"ARNTL","5.099345923831749339","4.59259453582997956"
"ASCL1","-0.419985659975308123","-2.22297102068990560"
"ATF1","2.572163049206144247","1.39838629703819106"
"ATF2","3.262669887623949716","0.52759382387304565"
"ATF3","0.652168948475379984","-1.15521555881257409"
"ATF4","4.521880762150463973","4.98626365406856209"
"ATF6","2.269628552374288510","2.57388390736678252"
"ATF7","-2.304746587591160356","0.10389517228431266"
"BACH1","-1.064209686901245844","0.98622575629232512"
"BACH2","-0.016504770594194130","2.65618173898891063"
"BATF","-0.998325515658190055","0.41680857631182960"
"BCL11A","-0.440862891434200155","-0.31212696913507537"
"BCL6","-1.714239559540630786","0.58031932061225067"
"BHLHE22","-0.885141131580788665","-1.25080982823526732"
"BHLHE40","-0.837493380359756623","0.11776340449822546"
"CDX2","2.021756441228482970","-0.72552383806949672"
"CEBPA","3.139152189452019570","1.65384191655849788"
"CEBPB","3.252556634659453216","2.69497453603847470"
"CEBPD","2.263422456202741184","-0.36705666142819926"
"CEBPG","-0.882147674492223088","1.72119404842939305"
"CLOCK","0.592302202262047994","1.70330890218872266"
"CREB1","1.379198288669148065","1.86775694530778691"
"CREB3","0.117065171400201382","-0.33341668207124825"
"CREB3L1","1.285071491766314411","0.12004611601756678"
"CREM","-0.911387729862093043","2.35909611700060040"
"CTCF","-0.740453677956434242","-0.21615868104441352"
"CTCFL","1.043291582109265647","-1.46606748125128750"
"CUX1","0.095311855654167096","-1.25110202090539357"
"DUX4","-0.001021335197013431","0.62140802231478809"
"E2F1","1.070455349992631922","1.38205598376635552"
"E2F2","1.324957764997058529","-0.90035183079778913"
"E2F3","1.896852795392163671","-0.57847578885540674"
"E2F4","0.265931323901076988","-0.68953148849175783"
"E2F5","0.770208203734384922","-1.11616473726767573"
"E2F6","-0.831577219414342705","1.07759623697983331"
"E2F7","0.317953291085310341","0.38679703226654361"
"EBF1","1.865126594105871227","0.06515604328211279"
"EGR1","2.096260755485539029","1.68945114990997203"
"EHF","1.417907269737125331","-0.13965430535825929"
"ELF1","1.639712124463873710","2.22408639302426714"
"ELF3","0.640292107179028736","0.44557713228287743"
