"TF","SW48","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TEAD1","7.04686333628331685","7.04686333628331685","7.04686333628331685","Activated","1","viper","1","7.04686333628331685",NA,NA,"4","ReMap--ChIP-seq(rank=46); ARCHS4--Coexpression(rank=247); Enrichr--Queries(rank=466); GTEx--Coexpression(rank=814)","521","0.15170000000000000","ARCHS4 Coexpression,0.1517"
"E2F4","-7.03125849495026056","-7.03125849495026056","7.03125849495026056","Repressed","2","viper","2","7.03125849495026056",NA,NA,"6","ENCODE--ChIP-seq(rank=28); Literature--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=113); GTEx--Coexpression(rank=751); ARCHS4--Coexpression(rank=1269); Enrichr--Queries(rank=1300)","752","0.23730000000000001","ENCODE ChIP-seq,0.2373"
"TP53","6.16575423048296312","6.16575423048296312","6.16575423048296312","Activated","3","viper","3","6.16575423048296312",NA,NA,"5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=492); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1020)","65","0.01829000000000000","Literature ChIP-seq,0.01829"
"IRF3","-5.79053346973701100","-5.79053346973701100","5.79053346973701100","Repressed","4","viper","4","5.79053346973701100",NA,NA,"5","ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=290); ARCHS4--Coexpression(rank=716); Enrichr--Queries(rank=1213); GTEx--Coexpression(rank=1396)","1181","0.43980000000000002","ARCHS4 Coexpression,0.4398"
"FOXP1","-5.71382148112536647","-5.71382148112536647","5.71382148112536647","Repressed","5","viper","5","5.71382148112536647",NA,NA,"5","ReMap--ChIP-seq(rank=99); Literature--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=561); Enrichr--Queries(rank=842); GTEx--Coexpression(rank=1078)","980","0.33329999999999999","ReMap ChIP-seq,0.3333"
"MYC","-5.29116689429800413","-5.29116689429800413","5.29116689429800413","Repressed","6","viper","6","5.29116689429800413",NA,NA,"6","ENCODE--ChIP-seq(rank=59); Literature--ChIP-seq(rank=79); GTEx--Coexpression(rank=120); Enrichr--Queries(rank=200); ReMap--ChIP-seq(rank=203); ARCHS4--Coexpression(rank=811)","276","0.07467000000000000","GTEx Coexpression,0.07467"
"MEF2A","5.18684591130361028","5.18684591130361028","5.18684591130361028","Activated","7","viper","7","5.18684591130361028",NA,NA,"6","ReMap--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=562); Enrichr--Queries(rank=788); GTEx--Coexpression(rank=1044)","240","0.06397000000000000","ReMap ChIP-seq,0.06397"
"E2F2","-4.79454853526426472","-4.79454853526426472","4.79454853526426472","Repressed","8","viper","8","4.79454853526426472",NA,NA,"3","ARCHS4--Coexpression(rank=232); GTEx--Coexpression(rank=528); Enrichr--Queries(rank=545)","490","0.14249999999999999","ARCHS4 Coexpression,0.1425"
"AHR","4.77599472082749443","4.77599472082749443","4.77599472082749443","Activated","9","viper","9","4.77599472082749443",NA,NA,"5","Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=46); Enrichr--Queries(rank=64); ReMap--ChIP-seq(rank=89); GTEx--Coexpression(rank=290)","106","0.02826000000000000","ARCHS4 Coexpression,0.02826"
"TCF4","4.38475953458455425","4.38475953458455425","4.38475953458455425","Activated","10","viper","10","4.38475953458455425",NA,NA,"5","Literature--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=333); Enrichr--Queries(rank=577); GTEx--Coexpression(rank=644)","296","0.08081000000000001","ReMap ChIP-seq,0.08081"
"MAFB","4.37201530129516414","4.37201530129516414","4.37201530129516414","Activated","11","viper","11","4.37201530129516414",NA,NA,"4","GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=55); Enrichr--Queries(rank=65); ARCHS4--Coexpression(rank=142)","130","0.03423000000000000","GTEx Coexpression,0.03423"
"SMAD3","4.33576805832317813","4.33576805832317813","4.33576805832317813","Activated","12","viper","12","4.33576805832317813",NA,NA,"5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","0.01220000000000000","Literature ChIP-seq,0.0122"
"ZNF217","4.32295592136333795","4.32295592136333795","4.32295592136333795","Activated","13","viper","13","4.32295592136333795",NA,NA,"6","ENCODE--ChIP-seq(rank=7); Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=252); ARCHS4--Coexpression(rank=496); GTEx--Coexpression(rank=527)","162","0.04268000000000000","Literature ChIP-seq,0.04268"
"GRHL2","4.21144279513861619","4.21144279513861619","4.21144279513861619","Activated","14","viper","14","4.21144279513861619",NA,NA,"5","ReMap--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=18); GTEx--Coexpression(rank=25); Enrichr--Queries(rank=97); Literature--ChIP-seq(rank=101)","21","0.00673400000000000","ReMap ChIP-seq,0.006734"
"STAT1","4.12115216518486704","4.12115216518486704","4.12115216518486704","Activated","15","viper","15","4.12115216518486704",NA,NA,"6","ENCODE--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=56); Literature--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=193); GTEx--Coexpression(rank=253); Enrichr--Queries(rank=876)","412","0.11860000000000000","ARCHS4 Coexpression,0.1186"
"NCOA2","4.04263166052895428","4.04263166052895428","4.04263166052895428","Activated","16","viper","16","4.04263166052895428",NA,NA,"4","ReMap--ChIP-seq(rank=31); GTEx--Coexpression(rank=106); ARCHS4--Coexpression(rank=693); Enrichr--Queries(rank=1269)","249","0.06596000000000000","GTEx Coexpression,0.06596"
"SREBF2","-3.93399242794193027","-3.93399242794193027","3.93399242794193027","Repressed","17","viper","17","3.93399242794193027",NA,NA,"6","ENCODE--ChIP-seq(rank=118); Literature--ChIP-seq(rank=153); ReMap--ChIP-seq(rank=275); GTEx--Coexpression(rank=844); Enrichr--Queries(rank=1142); ARCHS4--Coexpression(rank=1363)","1328","0.52520000000000000","GTEx Coexpression,0.5252"
"FOXO3","3.93224725027141764","3.93224725027141764","3.93224725027141764","Activated","18","viper","18","3.93224725027141764",NA,NA,"4","Literature--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=550); Enrichr--Queries(rank=585)","656","0.20119999999999999","Literature ChIP-seq,0.2012"
