"ID","P","HR","CI_low_0.95","CI_up_0.95"
"Pan_F_TBRs","0.0857174301214231","12.8590","0.6984","236.7641"
"Cell_cycle","0.2554679503110327","0.0039","0.0000","55.7310"
"Mismatch_Repair","0.2980296773676646","0.0265","0.0000","24.7043"
"CD_8_T_effector","0.3223594836971879","0.4562","0.0964","2.1587"
"Homologous_recombination","0.4061595814270504","0.0620","0.0001","43.8556"
"EMT1","0.4591286041557268","21.1513","0.0066","68278.9516"
"DDR","0.5910111932530931","0.0769","0.0000","889.3672"
"EMT2","0.6183719406287502","1.7511","0.1932","15.8695"
"EMT3","0.6635113021495016","2.7587","0.0285","266.6990"
"CellCycle_Reg","0.7595416296716131","0.3168","0.0002","498.1471"
"APM","0.9177697630624770","0.7706","0.0055","108.5626"
"Immune_Checkpoint","0.9812861092034055","1.0305","0.0835","12.7204"
