"TF","Mean_Selected_Rank","Best_Selected_Rank","Worst_Selected_Rank","DoRothEA_Rank","ChEA3_Rank","CollecTRI_Rank","DoRothEA_P_Value","CollecTRI_P_Value","DoRothEA_Score","ChEA3_Score","CollecTRI_Score","CheA3_Library_Count","Consensus_Rank"
"ATF3","9.333333333333334","1","22","22","1","5","0.026917929805194401","0.000013970849230491099745070","1.5699583437330700","0.000614300000000000","4.3443188201230098","6","1"
"EGR1","36.333333333333336","12","76","21","12","76","0.025616369882251400","0.035681407449364897777055461","1.5914824144745501","0.003111000000000000","2.1005395256328501","6","2"
"FOSL2","46.000000000000000","28","58","28","52","58","0.049856289249118800","0.023682374188784601626300841","1.3022800487083599","0.013530000000000000","2.2622433199941998","5","3"
"SMAD3","47.000000000000000","19","66","56","66","19","0.155378015308023004","0.001243489717077910037407174","0.8086104302316880","0.016840000000000001","3.2287121884934100","5","4"
"JUNB","48.333333333333336","22","99","24","22","99","0.028946993423099601","0.059518441244082197216780372","1.5383965375519200","0.006223000000000000","1.8843441341647100","4","5"
"IRF4","53.000000000000000","36","87","87","36","36","0.294093542305087996","0.007716206162567950180286580","0.5315145116100920","0.009214000000000000","2.6642418647630999","5","6"
"FOSL1","57.333333333333329","3","130","3","130","39","0.001374719215806990","0.011277395766687599645838880","2.8617859967268902","0.033669999999999999","2.5339837612773799","5","7"
"EPAS1","61.333333333333336","28","121","35","121","28","0.064327392817876999","0.003439498464186579833323787","1.1916040501503000","0.031109999999999999","2.9254577778826398","4","8"
"FOS","66.000000000000000","2","180","16","2","180","0.010980263523400299","0.127955111160895002031523404","1.9593872368089500","0.000622300000000000","1.5222154258897000","5","9"
"STAT3","67.333333333333329","55","91","91","56","55","0.318999155113180000","0.021989810059026299732254373","0.4962104671941350","0.014740000000000000","2.2905438430865899","6","10"
"CEBPB","72.333333333333329","45","105","67","105","45","0.193433606054534996","0.013046618691916200827307648","0.7134680718447960","0.027779999999999999","2.4824942132139198","6","11"
"ATF4","72.666666666666671","9","195","9","195","14","0.002949932349311040","0.000351289962105757981244980","2.5301879435668502","0.049779999999999998","3.5742077290103502","4","12"
"PPARG","73.000000000000000","18","144","18","144","57","0.018558942514993300","0.023105819795282801082381141","1.7314467734289600","0.037039999999999997","2.2716804174317402","5","13"
"NR3C1","74.000000000000000","7","186","29","186","7","0.049856289249118800","0.000093533545805010902068032","1.3022800487083599","0.047300000000000002","3.9067818006747799","6","14"
"NR4A1","81.333333333333343","5","219","20","5","219","0.019422907980184100","0.161456304762325003610001772","1.7116857473836700","0.001245000000000000","1.4001904169856900","4","15"
"VDR","88.000000000000000","50","129","50","85","129","0.115545299643298002","0.080825133501965296112246051","0.9372477168270060","0.022790000000000001","1.7459183919541099","5","16"
"RELA","88.666666666666671","13","136","13","117","136","0.006351456976573030","0.087830553772877101303961922","2.1971266393843201","0.030490000000000000","1.7069542631184900","6","17"
"CREM","89.000000000000000","64","130","73","64","130","0.233728717683920006","0.080895474456248103733990718","0.6312879236136359","0.016379999999999999","1.7455137883364400","5","18"
"JUN","94.333333333333343","11","252","11","20","252","0.003432668099912330","0.196565143539883996348649475","2.4643681858969599","0.006098000000000000","1.2913996165314900","6","19"
"ETS2","97.666666666666671","67","132","132","67","94","1.000000000000000000","0.055796935729340302323464584","0.0000000000000000","0.017090000000000001","1.9126182957404900","4","20"
"NFKB1","101.333333333333329","4","226","4","226","74","0.001531779634610960","0.035018587839702200459335302","2.8148037088262599","0.060199999999999997","2.1081433944761900","4","21"
"ERG","108.000000000000000","26","168","130","168","26","1.000000000000000000","0.002678685558917970159498179","0.0000000000000000","0.042939999999999999","3.0023902333195198","5","22"
"KLF6","108.666666666666657","23","262","23","41","262","0.027924965761266300","0.214223798747708998879701880","1.5540073506994501","0.010100000000000000","1.2420345936028101","4","23"
"NFATC1","110.333333333333329","58","170","58","103","170","0.163985571737293001","0.123323099031295999039592459","0.7851943616506600","0.027380000000000002","1.5409740614530201","5","24"
"HNF1B","110.666666666666671","84","154","154","94","84","1.000000000000000000","0.051038499448957497239831582","0.0000000000000000","0.025180000000000001","1.9511559314088600","3","25"
"JUND","118.000000000000000","32","281","41","32","281","0.092618040963917000","0.235729225120694996231662799","1.0333044093446999","0.008475000000000000","1.1857292862303499","6","26"
"GATA6","118.333333333333343","7","292","7","292","56","0.002507484157321500","0.022409974310008500680835297","2.6007618022395800","0.079769999999999994","2.2833463585239500","5","27"
"CEBPA","119.000000000000000","62","148","62","147","148","0.172687287742490009","0.099977842728939905758700490","0.7627396315494590","0.037749999999999999","1.6449610545521800","5","28"
"IRF9","124.333333333333329","38","173","162","173","38","1.000000000000000000","0.010433557618184499671265542","0.0000000000000000","0.044159999999999998","2.5611191172916601","4","29"
"TFAP2A","132.000000000000000","84","227","84","227","85","0.272029488129286012","0.051140721474957198666722036","0.5653840156801820","0.060359999999999997","1.9502970718785100","6","30"
"STAT5A","134.000000000000000","47","287","47","287","68","0.101858722578248004","0.031269963233059500096189254","0.9920017746618700","0.079030000000000003","2.1536202712011798","6","31"
"GATA3","136.666666666666657","31","272","31","272","107","0.053573049332691997","0.067143216209180400788625320","1.2710536332487301","0.074670000000000000","1.8307141750233999","6","32"
"CEBPG","137.666666666666657","114","184","114","184","115","1.000000000000000000","0.073729281282314498846552908","0.0000000000000000","0.047010000000000003","1.7882896967748700","4","33"
"BACH1","141.666666666666657","101","215","109","215","101","1.000000000000000000","0.059858393931303002788446577","0.0000000000000000","0.056980000000000003","1.8818352070626800","6","34"
"STAT2","142.666666666666657","29","334","65","334","29","0.180940947382821987","0.004022349911866969669749228","0.7424631401050140","0.092590000000000006","2.8764036361668599","5","35"
"MAFB","143.000000000000000","76","221","76","132","221","0.237646888467768991","0.163736360212445003492476303","0.6240678675889760","0.034189999999999998","1.3926146178730900","4","36"
"KLF9","143.666666666666657","68","196","167","68","196","1.000000000000000000","0.143956416532258990592652026","0.0000000000000000","0.017200000000000000","1.4612151140471701","4","37"
"SOX9","145.000000000000000","82","230","230","123","82","1.000000000000000000","0.040789964446084701898964653","0.0000000000000000","0.031340000000000000","2.0456586730345099","5","38"
"KLF4","146.333333333333343","34","327","34","78","327","0.059528106589747699","0.310286289864655007164628842","1.2252779308314501","0.020660000000000001","1.0146214932141500","5","39"
"MAFK","147.666666666666657","6","368","69","6","368","0.225832457761967004","0.368358529722973004894015503","0.6462136389660610","0.001425000000000000","0.8995523407625720","5","40"
"ESR1","149.666666666666657","26","377","26","46","377","0.045677964088280100","0.392263082512566974013878962","1.3402932612624201","0.012200000000000001","0.8555204601668210","6","41"
"RARA","154.333333333333343","64","285","64","285","114","0.176734299680558010","0.073555302978957695647643789","0.7526791566821500","0.078350000000000003","1.7893696550103300","5","42"
"SOX2","159.333333333333343","109","228","228","141","109","1.000000000000000000","0.068446453794669501191627603","0.0000000000000000","0.036589999999999998","1.8220562323092799","5","43"
"MYC","159.666666666666657","15","365","99","365","15","0.588697141675872948","0.000377920191163404997798658","0.2301080728296000","0.101900000000000004","3.5550409738202502","6","44"
"ARNT","162.666666666666657","53","350","85","350","53","0.275753682743130002","0.020947365879680698852460807","0.5594786787632410","0.097640000000000005","2.3089318028274000","5","45"
"STAT1","163.000000000000000","2","470","17","470","2","0.016491688642975399","0.000000821036492418250978112","1.7827348731135899","0.134500000000000008","4.9302994891541596","6","46"
"NR1H3","163.333333333333343","5","409","5","76","409","0.001644182542171530","0.454871053269579994626781172","2.7840499674183201","0.019910000000000001","0.7473189551349920","5","47"
"ELF1","164.000000000000000","126","188","126","188","178","1.000000000000000000","0.125943506511497993471948575","0.0000000000000000","0.047910000000000001","1.5302958845428301","5","48"
"BHLHE40","165.000000000000000","25","435","25","35","435","0.035384232240414003","0.512613894035915951263859824","1.4511902231862901","0.008711999999999999","0.6547730353141940","4","49"
"NFKB2","169.666666666666657","40","350","40","119","350","0.087962459483953398","0.334286443017281997835965512","1.0557026360032000","0.030630000000000001","0.9655159659259530","4","50"
"SPIB","170.333333333333343","25","405","81","405","25","0.268286331794618027","0.002461668589997809911823490","0.5714014524767070","0.114500000000000005","3.0280137835167000","4","51"
"PRDM1","173.333333333333343","9","300","211","9","300","1.000000000000000000","0.274085540571994024094948372","0.0000000000000000","0.002489000000000000","1.0937023561828001","5","52"
"MITF","175.000000000000000","57","280","57","280","188","0.163985571737293001","0.136615607552078993647270977","0.7851943616506600","0.076780000000000001","1.4885131852192901","5","53"
"ESR2","175.333333333333343","131","228","131","228","167","1.000000000000000000","0.121442268327995997467816380","0.0000000000000000","0.060979999999999999","1.5487481742384499","5","54"
"EHF","178.000000000000000","14","395","125","14","395","1.000000000000000000","0.436455727724063990979885830","0.0000000000000000","0.003686000000000000","0.7781921774587111","4","55"
"CDX2","179.666666666666657","113","310","113","116","310","1.000000000000000000","0.290609252726238997954766319","0.0000000000000000","0.030300000000000001","1.0567860271724201","5","56"
"CREB3","180.000000000000000","51","358","51","358","131","0.120061437981122995","0.083855957697207300638453376","0.9205964593848850","0.100400000000000003","1.7287382196346499","4","57"
"TCF4","180.666666666666657","83","253","83","206","253","0.272029488129286012","0.197333387155956996306116480","0.5653840156801820","0.053870000000000001","1.2891861260431701","5","58"
"BATF","181.333333333333343","24","410","110","410","24","1.000000000000000000","0.001661690830123899913564611","0.0000000000000000","0.116099999999999995","3.1448551489010601","5","59"
"GLI2","183.000000000000000","67","335","147","335","67","1.000000000000000000","0.030426057300244301051517226","0.0000000000000000","0.092719999999999997","2.1644992081727401","3","60"
"TFAP2C","184.000000000000000","8","299","8","245","299","0.002589781314456780","0.270389874627763981962402795","2.5867369069359101","0.067210000000000006","1.1021651620029100","6","61"
"SMAD4","184.333333333333343","87","244","222","244","87","1.000000000000000000","0.052929264344443900658365720","0.0000000000000000","0.067070000000000005","1.9354975881613701","5","62"
"AHR","184.666666666666657","68","361","68","125","361","0.201657034596808005","0.350512791239207976978775605","0.6953866234788840","0.032050000000000002","0.9335951050888930","5","63"
"REL","186.333333333333343","44","352","44","163","352","0.097250089401015899","0.339642685956115020218248901","1.0121099907595801","0.041770000000000002","0.9548714959463980","3","64"
"PGR","186.666666666666657","108","246","206","246","108","1.000000000000000000","0.067909038895685600034646257","0.0000000000000000","0.067339999999999997","1.8256099305671201","4","65"
"KLF5","187.333333333333343","79","389","94","79","389","0.343034367291229991","0.419528303662144996799554519","0.4646623674871170","0.020879999999999999","0.8072398625692920","5","66"
"RUNX3","188.000000000000000","128","218","218","218","128","1.000000000000000000","0.080545532615011697363804899","0.0000000000000000","0.057740000000000000","1.7475294986070200","5","67"
"STAT5B","189.000000000000000","39","341","39","341","187","0.078580223327973805","0.135157034064626008218468201","1.1046867412410799","0.094589999999999994","1.4940711100504300","4","68"
"RELB","191.000000000000000","36","456","36","81","456","0.064327392817876999","0.560816527305943002268406872","1.1916040501503000","0.021370000000000000","0.5816291150532820","4","69"
"TP63","191.000000000000000","42","431","42","431","100","0.092618040963917000","0.059651123241857596790627127","1.0333044093446999","0.121999999999999997","1.8833635003385800","5","70"
"IRF1","194.333333333333343","101","323","159","101","323","1.000000000000000000","0.308173669678968975560451327","0.0000000000000000","0.026939999999999999","1.0190617122985099","6","71"
"SOX6","194.666666666666657","71","284","229","71","284","1.000000000000000000","0.245886343829931991455950424","0.0000000000000000","0.018669999999999999","1.1603991226122401","4","72"
"RUNX2","197.000000000000000","22","483","86","483","22","0.283145566768826018","0.001432997061683320000335939","0.5479902337651880","0.138800000000000007","3.1879209508688202","5","73"
"ZEB2","198.666666666666657","89","261","261","89","246","1.000000000000000000","0.188886336492914003182264082","0.0000000000000000","0.023570000000000001","1.3138807536407400","4","74"
"MEIS2","202.000000000000000","82","282","82","282","242","0.272029488129286012","0.187356825111574004649739322","0.5653840156801820","0.077439999999999995","1.3184387232951500","4","75"
"NFIC","204.666666666666657","31","393","190","393","31","1.000000000000000000","0.005413090606830009594852005","0.0000000000000000","0.110200000000000006","2.7813645977744099","5","76"
"FOXA1","205.000000000000000","55","499","55","499","61","0.146682713676554999","0.024842719018160399485628531","0.8336210640519590","0.143199999999999994","2.2438396694124600","6","77"
"GATA4","205.333333333333343","128","343","145","128","343","1.000000000000000000","0.322997050614656999734108922","0.0000000000000000","0.033169999999999998","0.9883177590576570","5","78"
"HOXA9","206.333333333333343","145","318","156","145","318","1.000000000000000000","0.301983499479327011094653699","0.0000000000000000","0.037339999999999998","1.0321891870565201","4","79"
"ETV4","208.333333333333314","12","575","38","575","12","0.073853330141807200","0.000338032400625258003159374","1.1316299170127799","0.165200000000000014","3.5842621841058602","4","80"
"CEBPD","209.666666666666657","37","453","37","453","139","0.069102426886650400","0.092595947884332105437543703","1.1605066998765701","0.130200000000000010","1.6818602208626900","5","81"
"STAT6","211.333333333333343","37","359","238","359","37","1.000000000000000000","0.008485559105907869437146474","0.0000000000000000","0.100699999999999998","2.6321131747082900","4","82"
"HIF1A","213.000000000000000","1","505","1","505","133","0.000970880014875651","0.084338199331547597514813219","3.0128344385751999","0.144800000000000012","1.7260512150494101","5","83"
"ELF3","214.000000000000000","31","536","75","31","536","0.237646888467768991","0.739103970296586032517893727","0.6240678675889760","0.007985000000000001","0.3330401577132140","4","84"
"HSF1","215.666666666666686","33","572","33","572","42","0.059528106589747699","0.012145803028479500162983840","1.2252779308314501","0.164599999999999996","2.5078796411903399","5","85"
"CTCF","217.000000000000000","116","419","116","419","116","1.000000000000000000","0.074299658790212899650562406","0.0000000000000000","0.118599999999999997","1.7847636682699799","6","86"
"FLI1","221.000000000000000","134","363","134","363","166","1.000000000000000000","0.120507750933981999663657803","0.0000000000000000","0.101400000000000004","1.5526459110635400","6","87"
"TCF3","224.333333333333343","140","290","243","290","140","1.000000000000000000","0.093461369342229094758778274","0.0000000000000000","0.079269999999999993","1.6774149429023999","6","88"
"TWIST1","224.666666666666657","155","267","252","267","155","1.000000000000000000","0.111528255645823998198906679","0.0000000000000000","0.073709999999999998","1.5913614460831600","4","89"
"NR1H2","230.666666666666657","6","380","6","306","380","0.001936671852197810","0.408107018497763984754556077","2.7129439594836100","0.084180000000000005","0.8272294570295770","4","90"
"TEAD4","232.333333333333314","89","499","89","109","499","0.311973426080593974","0.648334066118479990237233324","0.5058823976420520","0.028620000000000000","0.4560777546100180","6","91"
