Pathway,RIBOSOMAL SUBUNIT,LARGE RIBOSOMAL SUBUNIT,RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,PRERIBOSOME,SMALL SUBUNIT PROCESSOME,90S PRERIBOSOME,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,MITOCHONDRIAL LARGE RIBOSOMAL SUBUNIT,ORGANELLAR RIBOSOME,MITOCHONDRIAL SMALL RIBOSOMAL SUBUNIT,CELL SUBSTRATE JUNCTION,ACTIN FILAMENT BUNDLE,ACTOMYOSIN,CONTRACTILE MUSCLE FIBER,I BAND,ADHERENS JUNCTION,MEMBRANE MICRODOMAIN,SYNAPTIC MEMBRANE,POSTSYNAPTIC MEMBRANE,POSTSYNAPTIC SPECIALIZATION MEMBRANE,POSTSYNAPTIC SPECIALIZATION,NEURON TO NEURON SYNAPSE,CYTOSOLIC RIBOSOME,CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,SMALL RIBOSOMAL SUBUNIT,SPLICEOSOMAL COMPLEX,CATALYTIC STEP 2 SPLICEOSOME,U2 TYPE SPLICEOSOMAL COMPLEX,VESICLE LUMEN,ENDOPEPTIDASE COMPLEX,PEPTIDASE COMPLEX,PROTEASOME COMPLEX,PROTEASOME ACCESSORY COMPLEX,KERATIN FILAMENT,INTERMEDIATE FILAMENT CYTOSKELETON,PRERIBOSOME LARGE SUBUNIT PRECURSOR,PROTEIN FOLDING CHAPERONE COMPLEX,PERICENTRIOLAR MATERIAL,"TIM23 MITOCHONDRIAL IMPORT INNER MEMBRANE
TRANSLOCASE COMPLEX"
SYNAPTIC MEMBRANE,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04279279279279279,0.009009009009009009,0.009009009009009009,0.02702702702702703,0.02027027027027027,0.0518018018018018,0.07207207207207207,1.0,0.7094594594594594,0.34234234234234234,0.44819819819819817,0.41216216216216217,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0022522522522522522,0.01126126126126126,0.0,0.0,0.0022522522522522522,0.0
POSTSYNAPTIC MEMBRANE,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492063492063492,0.006349206349206349,0.012698412698412698,0.02857142857142857,0.022222222222222223,0.06031746031746032,0.06349206349206349,1.0,1.0,0.48253968253968255,0.580952380952381,0.5111111111111111,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.012698412698412698,0.0,0.0,0.0031746031746031746,0.0
POSTSYNAPTIC SPECIALIZATION MEMBRANE,0.0,0.0,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.006578947368421052,0.013157894736842105,0.006578947368421052,0.006578947368421052,0.07894736842105263,0.02631578947368421,1.0,1.0,1.0,1.0,0.8289473684210527,0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSTSYNAPTIC SPECIALIZATION,0.04415584415584416,0.025974025974025976,0.046753246753246755,0.025974025974025976,0.01038961038961039,0.01038961038961039,0.0,0.0,0.0,0.0,0.0,0.07272727272727272,0.01818181818181818,0.02077922077922078,0.033766233766233764,0.023376623376623377,0.06753246753246753,0.04415584415584416,0.5168831168831168,0.4753246753246753,0.3948051948051948,1.0,0.9116883116883117,0.046753246753246755,0.01818181818181818,0.01818181818181818,0.005194805194805195,0.0025974025974025974,0.0,0.007792207792207792,0.005194805194805195,0.005194805194805195,0.0025974025974025974,0.0,0.0025974025974025974,0.015584415584415584,0.0,0.0025974025974025974,0.0,0.0
NEURON TO NEURON SYNAPSE,0.0425,0.025,0.045,0.025,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0725,0.015,0.0175,0.0325,0.0225,0.0625,0.0475,0.4575,0.4025,0.315,0.8775,1.0,0.045,0.0175,0.0175,0.005,0.0025,0.0,0.015,0.005,0.005,0.0025,0.0,0.0025,0.0175,0.0,0.0025,0.0,0.0
CYTOSOLIC RIBOSOME,0.8181818181818182,0.4793388429752066,1.0,0.4793388429752066,0.17355371900826447,0.1652892561983471,0.0,0.0,0.0,0.0,0.0,0.33884297520661155,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.1487603305785124,0.1487603305785124,1.0,0.33884297520661155,0.33884297520661155,0.0,0.0,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,1.0,0.0,1.0,0.0,0.4878048780487805,0.4878048780487805,0.0,0.0,0.0,0.0,0.0,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.17073170731707318,1.0,1.0,1.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL RIBOSOMAL SUBUNIT,1.0,0.04054054054054054,1.0,0.0,0.2702702702702703,0.2702702702702703,0.0,0.43243243243243246,0.02702702702702703,0.43243243243243246,0.43243243243243246,0.25675675675675674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0945945945945946,0.0945945945945946,0.5540540540540541,0.5540540540540541,1.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0091324200913242,0.0,0.0,0.0,1.0,0.4931506849315068,0.5068493150684932,0.0091324200913242,0.0,0.0091324200913242,0.0,0.0,0.0,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0
CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,1.0,1.0,0.6574074074074074,0.009259259259259259,0.0,0.018518518518518517,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0
