"ID","P","HR","CI_low_0.95","CI_up_0.95"
"T_cells_gamma_delta_CIBERSORT","0.09968998440580192","2522476993772948992.000000000000000","0.00030000000000000","20366426719824802162670078034187680481280.0000"
"NK_cells_activated_CIBERSORT","0.13836641245736481","3013127755622053838848.000000000000000","0.00000000000000000","77121380565382162419875392856447386884641361231872.0000"
"B_cells_naive_CIBERSORT","0.15211513895785081","529.563499999999976","0.09909999999999999","2830455.5276"
"T_cells_CD8_CIBERSORT","0.23852257620030931","22.559899999999999","0.12680000000000000","4015.2584"
"T_cells_CD4_memory_resting_CIBERSORT","0.40442543464763619","9.985099999999999","0.04470000000000000","2231.6815"
"T_cells_follicular_helper_CIBERSORT","0.42365897767424804","98.706000000000003","0.00130000000000000","7583131.8884"
"Monocytes_CIBERSORT","0.44496788787906483","549426488.509500026702881","0.00000000000000000","14662647628789620953614013956096.0000"
"NK_cells_resting_CIBERSORT","0.49862446850991865","84.676000000000002","0.00020000000000000","32479246.0023"
"B_cells_memory_CIBERSORT","0.77022709653433641","0.000000000000000","0.00000000000000000","2142357035143973774164649584230561970536560014002927416319215009589391478891945890574150712391916083173445332893696.0000"
"T_cells_CD4_memory_activated_CIBERSORT","0.83087841243665383","0.236200000000000","0.00000000000000000","133241.6900"
"Plasma_cells_CIBERSORT","0.85702807218265675","0.540300000000000","0.00070000000000000","437.9742"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.95549163096564360","0.645300000000000","0.00000000000000000","3096847.2436"
