"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD4_c4_Tstr_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007829775360716369","0.841919006876376663","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000709377647680903","220.10625069783998242","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017820149235517876845648081686356998220328379775155002359685984","0.789901511304581194","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807252760368959807360829863411268154051984435825411744633343","174.74908866326825319","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff_PCA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744662572562915637265621256163745382606934717901330846047447297856709138633","0.770662512310799186","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022488809691400051218834458120158122543053765693646784774007693853328238355","161.12804047365477800","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c4_Tstr_zscore","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007035911855153882096790100374277700134133183791426993315999598254221881215999500750407819699885154","0.735088867025434967","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159363403519235425203749853037271030645811556484634442115919768062891645336265650403127044787081","139.15267960995649332","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff_zscore","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018222028162820765979468331526643037231321652332747062863209966854641326825628722616022999130384465","0.734359210700886500","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000330183150310312265227951963358374887512894934580543811318539252973319605079077254046282244907939","138.73940328647933029","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm_PCA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000437081340302420518008274208107088533077548486813185778632434869528541925047012970770839291289592412726487362947","0.709358204658261826","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006599928238566550176187938402400232744697683130676239043289999699415697357610001476213850113655498969203919048","125.35943773383675648","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c4_Tstr_PCA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001108210109052497700367589839321062521323327172895549447647346537336737580982375366690851267990805775687317098963","0.708559268144248744","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014343405125736611331386139029433751312952507985861308465878941377092571632608398632166318335912247426848639216","124.95537789253950223","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Th1_cells_Bindea_et_al_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000355723243657581596390374534598339559033967751701407870426447959410494775303547376325712079336876640332425094750378750924","0.691086168562055403","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004028565734422111765792388524585288363505718423093888241915051385484962438444383883140146545232117442568320381121331437","116.44888775622996491","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190051524250287320010299776940934215007283238417873998076390944831681830471292239175643417541353785172146849125605446663831779","0.678573201683872473","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001913185344119559139619144062196155758120965026699399585097924461362284476053513668326162172181288001812521596129440682656269","110.72112864292047618","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr_zscore","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008261105238467423017814417120173964465032661530501127676639689827831502954498577905488924894307307968112901123137370248097613471708","0.667962195247600476","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000074845613460514851573250640396446549848688255144752254857800791827955700395816380487625572518002718975432325606370925220749992427","106.08296184531194228","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"GPAGs_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031049772552317993401853487631662632023353905633745729019486823836978595719639737467075580681618695832966641558445206321914107801827284266","0.652127572146246282","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000255737217567273632227709332492842751797369745577846625380027864436666546131624805594920172341729562423982968122780850613650370873551320","99.50794157679609953","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c0_t_Teff_ssGSEA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003997356641171319740203422108878202577090134122131340417858963837176698051500291293023025523135412781813179159720486368671742673250099748303","0.646836977323311357","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030180042640843464135992803474951359630753055565984492352862140799206140622499915597919747898621466301693947931631788674690777479655887500","97.39822710258226834","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr_PCA","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017600733063358692348529892268442931307316192740624535879605151243206728424754607172250173333078455984112642046364658576471178346190852513935017","0.637444447181304219","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122663570426176728079722350723288010595928321285738819316659542702280490913041621387149052858954010463659273488766383752382423319995086133476","93.75446924362098855","****","IOBR::batch_cor","<0.001","<0.001","***","***"
