"TF","Mean_Selected_Rank","Best_Selected_Rank","Worst_Selected_Rank","DoRothEA_Rank","ChEA3_Rank","CollecTRI_Rank","DoRothEA_P_Value","CollecTRI_P_Value","DoRothEA_Score","ChEA3_Score","CollecTRI_Score","CheA3_Library_Count","Consensus_Rank"
"E2F4","6.666666666666666","1","18","1","18","1","0.00000000000000000000000000715903915674026","0.00000000000000000005143363275813439","26.14514526217919865","0.00609800000000000","9.1609684497894897","6","1"
"STAT1","39.666666666666664","14","58","58","47","14","0.02218721099805030100293734562910685781389","0.00041581196773786898660679733907841","1.65389728651437995","0.01307000000000000","3.5298394148124101","6","2"
"FOXO3","54.333333333333336","2","100","61","100","2","0.02260045331604070006914497525940532796085","0.00000000645712329929081085791655893","1.64588284976054000","0.02641000000000000","5.8044665922215604","4","3"
"E2F3","60.666666666666664","4","102","4","76","102","0.00000001136951452222539940012210115402938","0.03703229681497240133314363674799097","7.94425807927180028","0.02066000000000000","2.0854078287749100","3","4"
"ETV4","77.666666666666671","29","134","134","70","29","0.16080004397069400101649705447925953194499","0.00218150316144530981299354266411683","0.79371383682993701","0.01929000000000000","3.0643407032786500","4","5"
"E2F1","89.666666666666657","5","258","5","6","258","0.00000010076482573559999575020783854975570","0.15957424762411701046893597322196001","6.99669104184723967","0.00186700000000000","1.4065049100362801","6","6"
"FOS","92.333333333333329","52","138","52","87","138","0.01994110439173800083945131689233676297590","0.06264625189542130656583651671098778","1.70025079296740000","0.02357000000000000","1.8616938788222399","5","7"
"FOXM1","108.666666666666657","11","300","15","11","300","0.00017990929144459199932881698913433865528","0.21491277122302898661132530833128840","3.74494640686615998","0.00311100000000000","1.2401693263268700","6","8"
"NFYA","108.666666666666671","9","232","85","232","9","0.05995712409450489749351831392232270445675","0.00006446365974194370263364306516962","1.22215920670836997","0.05724000000000000","3.9958458931570702","5","9"
"SMAD3","108.666666666666671","71","139","139","116","71","0.19310634022835398981854382327583152800798","0.01786824653458370104619490348341060","0.71420346686801695","0.03049000000000000","2.3683371119252001","5","10"
"MYC","111.666666666666657","4","324","7","324","4","0.00000056766793307233896275035842440837008","0.00000293461890772972005709553176833","6.24590563789203035","0.07926999999999999","4.6753435761114801","6","11"
"E2F2","123.000000000000000","3","357","3","9","357","0.00000000134848588836244011207843088558317","0.29391398068190599524029948952374980","8.87015359399299008","0.00284900000000000","1.0495740770884101","3","12"
"AR","126.333333333333329","25","212","25","142","212","0.00223720445409386018559283471063281467650","0.11372140685339500454364980441823718","2.65029432469760007","0.03659000000000000","1.5816854020907800","5","13"
"STAT3","126.333333333333329","82","153","82","144","153","0.04598074308767820250753999289372586645186","0.07363178684482860059112852013640804","1.33742401444407011","0.03704000000000000","1.7888946297138799","6","14"
"SREBF1","137.333333333333343","13","239","13","160","239","0.00013364467732808401083041682788632442680","0.14123968943839299017284361070778687","3.87404833322674014","0.04040000000000000","1.4711901899871500","6","15"
"CTCF","138.666666666666657","59","256","101","59","256","0.08051103429844519432379001955268904566765","0.15779263578722499405948553885536967","1.09414459408527009","0.01658000000000000","1.4125345134983500","6","16"
"FOSL1","141.000000000000000","97","202","97","124","202","0.07685939685917840547002555240396759472787","0.10639783610462699714460654831782449","1.11430302790911995","0.03276000000000000","1.6145977357538599","5","17"
"BACH1","142.666666666666657","44","254","130","44","254","0.14512180378177699791031329823454143479466","0.15422830697168199431956736589199863","0.83826733221614802","0.01220000000000000","1.4247540573245900","6","18"
"KLF6","145.000000000000000","12","385","38","385","12","0.00679261265226012000278954516829799104016","0.00027496108274314398677365400835981","2.16796315028227982","0.09275000000000000","3.6378147406163999","4","19"
"STAT2","150.333333333333343","35","252","164","252","35","0.30154147246138901516943064962106291204691","0.00318088983133787018414695424439742","0.52065294878921298","0.06265000000000000","2.9496938232609802","5","20"
"MYBL2","150.666666666666657","3","376","73","3","376","0.03596538689146339812241492950306565035135","0.33162360688030401156822790653677657","1.44411526348987995","0.00071230000000000","0.9708487408869110","6","21"
"IRF3","150.666666666666657","131","188","188","131","133","0.39249712686377197234932623359782155603170","0.06122978327195099934598943036689889","0.40616351800605699","0.03390000000000000","1.8718324794468799","5","22"
"RUNX2","151.000000000000000","75","234","75","234","144","0.03840148868579369711984128343829070217907","0.06693396490260170028641084627452074","1.41565193929148991","0.05769000000000000","1.8321171760352499","5","23"
"ZNF143","152.666666666666657","58","259","141","259","58","0.19842013143120598717139557720656739547849","0.01066419789418569970262939961003212","0.70241426703090504","0.06397000000000000","2.5535140405566699","5","24"
"E2F7","152.666666666666686","7","427","24","7","427","0.00127890824964165005818428344497306170524","0.47072475086678799982564669335260987","2.89316061119267998","0.00245700000000000","0.7213003350799440","5","25"
"EGR1","159.666666666666657","32","387","60","387","32","0.02234103700465070105329878913380525773391","0.00289333603267311013571005950950621","1.65089667209126989","0.09334000000000001","2.9788487042891800","6","26"
"TEAD4","160.333333333333343","29","343","29","109","343","0.00283960014611451009788889443541393120540","0.27071212181386899997548312057915609","2.54674281015081005","0.02849000000000000","1.1014240987662500","6","27"
"ATF3","164.333333333333343","138","184","138","171","184","0.18508048337513599568282529617135878652334","0.08248113821123269351343054722747183","0.73263937492273501","0.04268000000000000","1.7364678842659500","6","28"
"TCF3","165.666666666666657","105","198","194","105","198","0.41774414047392799398394913623633328825235","0.10157787918118499348452132835518569","0.37908963306278598","0.02738000000000000","1.6372517446355499","6","29"
"SOX10","169.666666666666657","50","322","137","322","50","0.18490663295961298762115632143832044675946","0.00714914474036526959715986961896306","0.73304750957586895","0.07903000000000000","2.6898158972766102","4","30"
"ERG","174.000000000000000","107","287","107","287","128","0.09558097918752940513886784401620388962328","0.05702416444536410194965370124009496","1.01962852462540998","0.07031999999999999","1.9031255525602799","5","31"
"TP53","175.000000000000000","2","494","2","29","494","0.00000000039659930705759999796492561349433","0.60065393829063595809714115603128448","9.40164804893385053","0.00860000000000000","0.5234603472139950","5","32"
"CUX1","176.333333333333343","103","274","103","152","274","0.08492085257364330452833911522247944958508","0.17744117496433700620350748522469075","1.07098565432976001","0.03858000000000000","1.3486756346963800","6","33"
"TFAP2C","177.666666666666657","22","431","80","431","22","0.04552917079479069928371615105788805522025","0.00086861941297281094944565671411851","1.34171025925750009","0.10440000000000001","3.3299488430969402","6","34"
"TFDP1","179.666666666666686","8","500","31","8","500","0.00326389041787554989512698533360435249051","0.62760276190882102742563120045815594","2.48626443071194991","0.00248900000000000","0.4851037362119240","4","35"
"E2F5","181.333333333333343","104","231","231","104","209","0.72239599099030704643098488304531201720238","0.11221486689778900625036328619898995","0.14122467284906201","0.02707000000000000","1.5883161520602600","4","36"
"NFYB","183.333333333333314","33","455","33","62","455","0.00425026098780336997889905958913914219011","0.53288214701135094841788486519362777","2.37158440122433012","0.01720000000000000","0.6236124276078550","5","37"
"NCOA1","188.000000000000000","108","243","213","108","243","0.57222234513612002526627975385054014623165","0.14417187589811000791861772540869424","0.24243518711126100","0.02826000000000000","1.4604302071718100","4","38"
"MYCN","191.666666666666657","6","369","6","200","369","0.00000027942398361352300273645517247889103","0.31797129670898499620435018186981324","6.55373632011165963","0.04975000000000000","0.9986354995391590","5","39"
"HIF1A","192.333333333333343","8","403","8","403","166","0.00000069103257830586798700903865613764943","0.07848823625311529550430122981197201","6.16050147759693001","0.09755999999999999","1.7595258340649500","5","40"
"KLF9","193.666666666666657","32","434","32","115","434","0.00379344192211942014478220919215800677193","0.48589044980654200189817970567673910","2.42096656063012983","0.03030000000000000","0.6968599405356450","4","41"
"E2F6","199.333333333333343","74","384","140","74","384","0.19605647168056300477800846238096710294485","0.36032592608462299388349947548704222","0.70761881738433896","0.02027000000000000","0.9147442161264510","5","42"
"SNAI2","203.666666666666657","104","347","160","347","104","0.27703986476105602054786913868156261742115","0.03916850410526589998383428792294580","0.55745773346242700","0.08415000000000000","2.0624122491028798","4","43"
"IRF4","213.000000000000000","75","363","201","75","363","0.45780305321229497472756975184893235564232","0.30147734024473199498928011053067166","0.33932131522453901","0.02054000000000000","1.0332704749612101","5","44"
