Pathway,MYOSIN PATHWAY,PLCD PATHWAY,PPARA PATHWAY,GPCR PATHWAY,VDR PATHWAY,NUCLEARRS PATHWAY,LYMPHOCYTE PATHWAY,MONOCYTE PATHWAY,NEUTROPHIL PATHWAY,S1P PATHWAY,MET PATHWAY,INSULIN PATHWAY,IL6 PATHWAY,CTL PATHWAY,IL12 PATHWAY,SM PATHWAY,PROTEASOME PATHWAY,PDZS PATHWAY,NOTCH PATHWAY,INFLAM PATHWAY
MYOSIN PATHWAY,1.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLCD PATHWAY,0.4,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPARA PATHWAY,0.038461538461538464,0.038461538461538464,1.0,0.19230769230769232,0.11538461538461539,0.057692307692307696,0.0,0.0,0.0,0.0,0.11538461538461539,0.09615384615384616,0.038461538461538464,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.038461538461538464
GPCR PATHWAY,0.1,0.06666666666666667,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
VDR PATHWAY,0.0,0.0,0.25,0.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEARRS PATHWAY,0.0,0.0,0.08823529411764706,0.0,0.029411764705882353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LYMPHOCYTE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
MONOCYTE PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,1.0,0.7272727272727273,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
NEUTROPHIL PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
S1P PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MET PATHWAY,0.0,0.0,0.18181818181818182,0.21212121212121213,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,1.0,0.45454545454545453,0.3333333333333333,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0
INSULIN PATHWAY,0.0,0.0,0.23809523809523808,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,0.6190476190476191,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0
IL6 PATHWAY,0.0,0.0,0.09523809523809523,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.6190476190476191,1.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616
CTL PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.0,1.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0
IL12 PATHWAY,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.21052631578947367,1.0,0.0,0.0,0.0,0.0,0.05263157894736842
SM PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PROTEASOME PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PDZS PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NOTCH PATHWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
INFLAM PATHWAY,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.0
