"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","ATF3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.666666666666666","2","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","rank=2; score=3.6024; p=0.00024979","rank=21; score=1.4145; p=0.038502","rank=3; score=4.1843; p=1.9183e-08; direction=Activated"
"2","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","5","4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=553)","222","rank=6; score=3.1609; p=0.00069033","rank=5; score=2.4785; p=0.0033228","rank=19; score=2.673; p=0.00015291; direction=Activated"
"3","SMAD4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.000000000000000","7","5","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=511); GTEx--Coexpression(rank=1006); Enrichr--Queries(rank=1302)","901","rank=7; score=2.7023; p=0.0019848","rank=36; score=1.2088; p=0.061824","rank=17; score=3.1734; p=0.00013122; direction=Activated"
"4","ATF6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.000000000000000","19","3","ARCHS4--Coexpression(rank=369); Enrichr--Queries(rank=734); GTEx--Coexpression(rank=792)","775","rank=19; score=1.6155; p=0.024237","rank=20; score=1.4715; p=0.03377","rank=24; score=3.5595; p=0.00019077; direction=Activated"
"5","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.000000000000000","1","4","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=522); GTEx--Coexpression(rank=658); ARCHS4--Coexpression(rank=749)","1111","rank=44; score=1.0502; p=0.08908","rank=27; score=1.3644; p=0.043211","rank=1; score=4.4262; p=1.7394e-10; direction=Activated"
"6","SP3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.666666666666668","16","3","GTEx--Coexpression(rank=1158); ARCHS4--Coexpression(rank=1160); Enrichr--Queries(rank=1267)","1575","rank=17; score=1.8151; p=0.015307","rank=16; score=1.5043; p=0.031315","rank=56; score=2.4854; p=0.001934; direction=Activated"
"7","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.666666666666664","3","6","ENCODE--ChIP-seq(rank=30); Literature--ChIP-seq(rank=41); GTEx--Coexpression(rank=148); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=959)","341","rank=3; score=3.4623; p=0.00034488","rank=57; score=0.66153; p=0.21801","rank=41; score=2.2363; p=0.0011194; direction=Repressed"
"8","PPARG","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.000000000000000","4","5","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=131)","177","rank=47; score=1.0188; p=0.095772","rank=51; score=0.82479; p=0.1497","rank=4; score=3.5864; p=6.9941e-08; direction=Activated"
"9","VDR","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.666666666666664","25","5","Literature--ChIP-seq(rank=55); Enrichr--Queries(rank=192); ReMap--ChIP-seq(rank=193); ARCHS4--Coexpression(rank=427); GTEx--Coexpression(rank=651)","492","rank=36; score=1.2426; p=0.057205","rank=43; score=1.0088; p=0.097992","rank=25; score=2.6829; p=0.00019762; direction=Activated"
"10","CLOCK","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.333333333333336","4","5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=1045); Enrichr--Queries(rank=1399); GTEx--Coexpression(rank=1497)","250","rank=11; score=2.142; p=0.0072115","rank=4; score=3.2797; p=0.00052514","rank=94; score=2.2504; p=0.0043575; direction=Activated"
