"Feature","AUC","Direction"
"WNT_target","0.6430751990107431",">"
"CellCycle_Reg","0.6089149084164158",">"
"EMT3","0.5913324059046290",">"
"DDR","0.5855166550738079",">"
"Immune_Checkpoint","0.5744261534894506",">"
"APM","0.5684171883453120",">"
"Pan_F_TBRs","0.5676056882293842",">"
"FGFR3_related","0.5641471520210219",">"
"EMT2","0.5499265785609401",">"
"EMT1","0.5491343998763426",">"
"CD_8_T_effector","0.5459463637066230",">"
"Histones","0.5044632506376068","<"
