"TF","MVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ASCL1","3.441796108146022881","3.441796108146022881","3.441796108146022881","Activated","24","viper","24","3.441796108146022881",NA,NA,"4","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=100); GTEx--Coexpression(rank=595); ARCHS4--Coexpression(rank=794)","70","0.01684000000000000","ReMap ChIP-seq,0.01684"
"TEAD1","-3.441540559392741283","-3.441540559392741283","3.441540559392741283","Repressed","25","viper","25","3.441540559392741283",NA,NA,"4","ReMap--ChIP-seq(rank=158); ARCHS4--Coexpression(rank=262); GTEx--Coexpression(rank=960); Enrichr--Queries(rank=1015)","617","0.16089999999999999","ARCHS4 Coexpression,0.1609"
"TFAP4","3.410136583042223446","3.410136583042223446","3.410136583042223446","Activated","26","viper","26","3.410136583042223446",NA,NA,"4","ReMap--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=484); GTEx--Coexpression(rank=1038); Enrichr--Queries(rank=1264)","956","0.29730000000000001","ARCHS4 Coexpression,0.2973"
"PAX5","3.370567568673589864","3.370567568673589864","3.370567568673589864","Activated","27","viper","27","3.370567568673589864",NA,NA,"5","ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=56); Enrichr--Queries(rank=562); ARCHS4--Coexpression(rank=809); GTEx--Coexpression(rank=1376)","702","0.18859999999999999","ReMap ChIP-seq,0.1886"
"ZNF740","3.354636776615692373","3.354636776615692373","3.354636776615692373","Activated","28","viper","28","3.354636776615692373",NA,NA,"4","ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=873); ARCHS4--Coexpression(rank=963); Enrichr--Queries(rank=1224)","1368","0.54320000000000002","GTEx Coexpression,0.5432"
"ELK1","3.237609690801510620","3.237609690801510620","3.237609690801510620","Activated","29","viper","29","3.237609690801510620",NA,NA,"5","Literature--ChIP-seq(rank=65); ENCODE--ChIP-seq(rank=91); ReMap--ChIP-seq(rank=217); GTEx--Coexpression(rank=706); ARCHS4--Coexpression(rank=1561)","1149","0.39629999999999999","Literature ChIP-seq,0.3963"
"KLF3","-3.213026833394942994","-3.213026833394942994","3.213026833394942994","Repressed","30","viper","30","3.213026833394942994",NA,NA,"4","ReMap--ChIP-seq(rank=253); ARCHS4--Coexpression(rank=500); GTEx--Coexpression(rank=750); Enrichr--Queries(rank=775)","977","0.30709999999999998","ARCHS4 Coexpression,0.3071"
"KLF13","-3.180181085695690246","-3.180181085695690246","3.180181085695690246","Repressed","31","viper","31","3.180181085695690246",NA,NA,"4","ReMap--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=459); Enrichr--Queries(rank=1086); GTEx--Coexpression(rank=1474)","759","0.20880000000000001","ReMap ChIP-seq,0.2088"
"MEF2A","-3.100025159068462433","-3.100025159068462433","3.100025159068462433","Repressed","32","viper","32","3.100025159068462433",NA,NA,"6","ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=905); GTEx--Coexpression(rank=977); ARCHS4--Coexpression(rank=1200)","1364","0.54239999999999999","ENCODE ChIP-seq,0.5424"
"E2F6","-3.096824405510377076","-3.096824405510377076","3.096824405510377076","Repressed","33","viper","33","3.096824405510377076",NA,NA,"5","ReMap--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=58); GTEx--Coexpression(rank=868); ARCHS4--Coexpression(rank=943); Enrichr--Queries(rank=1178)","271","0.06397000000000000","ReMap ChIP-seq,0.06397"
