"TF","MVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TFAP2C","-2.103790088518553425","-2.103790088518553425","2.103790088518553425","Repressed","74","viper","74","2.103790088518553425",NA,NA,"6","Literature--ChIP-seq(rank=85); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=686); GTEx--Coexpression(rank=700); ARCHS4--Coexpression(rank=1384)","1161","0.40070000000000000","ReMap ChIP-seq,0.4007"
"FOS","2.029157337758010993","2.029157337758010993","2.029157337758010993","Activated","75","viper","75","2.029157337758010993",NA,NA,"5","ENCODE--ChIP-seq(rank=51); ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=422); ARCHS4--Coexpression(rank=866); GTEx--Coexpression(rank=1546)","964","0.30059999999999998","Enrichr Queries,0.3006"
"NRF1","2.008958811779291587","2.008958811779291587","2.008958811779291587","Activated","76","viper","76","2.008958811779291587",NA,NA,"5","GTEx--Coexpression(rank=46); ReMap--ChIP-seq(rank=55); ENCODE--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=1008)","124","0.02862000000000000","GTEx Coexpression,0.02862"
"CEBPG","-2.000365914332145945","-2.000365914332145945","2.000365914332145945","Repressed","77","viper","77","2.000365914332145945",NA,NA,"4","ReMap--ChIP-seq(rank=220); Enrichr--Queries(rank=824); ARCHS4--Coexpression(rank=1366); GTEx--Coexpression(rank=1367)","1422","0.58689999999999998","Enrichr Queries,0.5869"
"CREB1","-1.995886275419037625","-1.995886275419037625","1.995886275419037625","Repressed","78","viper","78","1.995886275419037625",NA,NA,"6","ReMap--ChIP-seq(rank=72); ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=895); ARCHS4--Coexpression(rank=1125); GTEx--Coexpression(rank=1182)","839","0.24240000000000000","ReMap ChIP-seq,0.2424"
"CEBPD","1.960016744041547243","1.960016744041547243","1.960016744041547243","Activated","79","viper","79","1.960016744041547243",NA,NA,"5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=91); Literature--ChIP-seq(rank=109); ARCHS4--Coexpression(rank=1338); GTEx--Coexpression(rank=1356)","976","0.30640000000000001","ReMap ChIP-seq,0.3064"
"NR1H2","1.959219973063888176","1.959219973063888176","1.959219973063888176","Activated","80","viper","80","1.959219973063888176",NA,NA,"4","ReMap--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=663); Enrichr--Queries(rank=1253); GTEx--Coexpression(rank=1560)","574","0.14810000000000001","ReMap ChIP-seq,0.1481"
"RXRA","1.926542221674890198","1.926542221674890198","1.926542221674890198","Activated","81","viper","81","1.926542221674890198",NA,NA,"6","ReMap--ChIP-seq(rank=27); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=46); GTEx--Coexpression(rank=576); Enrichr--Queries(rank=781); ARCHS4--Coexpression(rank=995)","374","0.09091000000000000","ReMap ChIP-seq,0.09091"
"GATA2","1.895639453260615781","1.895639453260615781","1.895639453260615781","Activated","82","viper","82","1.895639453260615781",NA,NA,"6","Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=49); GTEx--Coexpression(rank=57); ReMap--ChIP-seq(rank=281); Enrichr--Queries(rank=406); ARCHS4--Coexpression(rank=705)","151","0.03547000000000000","GTEx Coexpression,0.03547"
"ELF3","-1.802873974793504308","-1.802873974793504308","1.802873974793504308","Repressed","83","viper","83","1.802873974793504308",NA,NA,"4","ReMap--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=372); Enrichr--Queries(rank=899); GTEx--Coexpression(rank=1044)","804","0.22850000000000001","ARCHS4 Coexpression,0.2285"
"SOX6","-1.801525587273134388","-1.801525587273134388","1.801525587273134388","Repressed","84","viper","84","1.801525587273134388",NA,NA,"4","ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=296); Enrichr--Queries(rank=418); GTEx--Coexpression(rank=553)","683","0.18179999999999999","ARCHS4 Coexpression,0.1818"
"ARNTL","1.794623331946526124","1.794623331946526124","1.794623331946526124","Activated","85","viper","85","1.794623331946526124",NA,NA,"4","ARCHS4--Coexpression(rank=152); ReMap--ChIP-seq(rank=272); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=1239)","385","0.09336999999999999","ARCHS4 Coexpression,0.09337"
