"Input_Type","TF_Analysis_Name","Method","Method_Label","Final_TF_Count","Final_Result_File"
"DEG","RKO","dorothea","DoRothEA","271","results/ngs/GSE114012/TF_summary/deg/RKO/method_final/dorothea/dorothea_deg_final_result.csv"
"DEG","RKO","chea3","ChEA3","1632","results/ngs/GSE114012/TF_summary/deg/RKO/method_final/chea3/chea3_deg_Integrated--topRank.csv"
"DEG","RKO","viper","VIPER","255","results/ngs/GSE114012/TF_summary/deg/RKO/method_final/viper/viper_deg_final_result.csv"
"DEG","RKO","enrichr","ENRICHR","612","results/ngs/GSE114012/TF_summary/deg/RKO/method_final/enrichr/enrichr_deg_Integrated--topRank.csv"
"DEG","RKO","trrust","TRRUST","329","results/ngs/GSE114012/TF_summary/deg/RKO/method_final/trrust/trrust_deg_final_result.csv"
"DEG","RKO","collectri","CollecTRI","626","results/ngs/GSE114012/TF_summary/deg/RKO/method_final/collectri/collectri_deg_final_result.csv"
