Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	0.024	25	0.5952	36	24	0.0318	0.4845	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	AXIN2,PSMC5,PSMD6,PSMC3,PSMB7,PSMD11,PSMA2,PSMB5,PSMC4,PSMC6,PSMB6,ADRM1,PSMD12,SEM1,PSMB4,PSMA3,RPS27A,PSMA4,PSMD13,PSMA5
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	0.0244	15	0.1899	34	7	0.4864	0.5185	keep	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	False	H2BC12,CDKN1A,H2BC5,H2AC6,CCNE1,H2BC11,H2AX,CCNE2,H4C8,LMNB1,NBN,TP53,H2BC21,TERF2IP,H4C15
REACTOME_REGULATION_OF_CDH1_FUNCTION	REACTOME_REGULATION_OF_CDH1_FUNCTION	0.0253	30	0.5	36	24	0.0017	0.4845	exclude	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	False	ACTG1,ACTB,PSMC5,PSMD6,CTNNB1,PSMC3,PSMB7,PSMD11,PSMA2,CTSL,PSMB5,PSMC4,VCL,ACTA2,PSMC6,PSMB6,ADRM1,PSMD12,SEM1,PSMB4
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	0.0253	4	0.3636	0	0	1	0	keep	itself		True	GNAQ,PLCB3,ACSL3,ACSL4
REACTOME_APOPTOTIC_EXECUTION_PHASE	REACTOME_APOPTOTIC_EXECUTION_PHASE	0.0255	13	0.25	0	0	1	0	keep	itself		True	DSG3,APC,ADD1,GSN,PKP1,MAPT,PRKCQ,SATB1,DFFA,PTK2,DSG2,STK26,H1-0
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.0256	72	0.2376	40	14	0.0591	0.9868	keep	REACTOME_G_PROTEIN_MEDIATED_EVENTS	REACTOME_G_PROTEIN_MEDIATED_EVENTS	False	PSMD1,WWP2,CBX6,GSK3B,NBEA,IER3,PPP2R5D,ADCY9,USP7,ADCY7,FYN,XIAP,CSNK2A2,SNAI1,AGO1,MTOR,CAMK4,MKRN1,AREG,GRB2
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	0.0258	9	0.1286	35	8	0.0138	0.1994	exclude	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	False	H2BC12,H3-3B,H2BC5,H2AC6,H2BC11,H2AX,H4C8,H2BC21,H4C15
REACTOME_SIGNAL_AMPLIFICATION	REACTOME_SIGNAL_AMPLIFICATION	0.0262	10	0.303	23	8	0.339	0.8199	keep	REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	False	GNAI1,GNB2,GNG4,GNB1,SRC,GNAQ,GNG2,GNA13,MAPK14,GNG12
REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION	0.0263	5	0.625	3	3	0.1786	0.1891	keep	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	False	MLXIPL,ACACB,ACLY,FASN,ACACA
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.0265	12	0.25	25	8	0.2028	1	keep	REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	False	RBPJ,TBL1XR1,HDAC9,NCOR1,CUL1,MAML3,MYC,NCOR2,TLE4,TBL1X,HDAC5,HES1
