"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"NFYB","NFYB ENCODE","95/3715","0.970596049948870165","0.99999428758557163","0","0","0.8150340409796841","0.024324619001525216166","OSCP1;SLC27A1;ERCC6L;CDKN1B;MCM8;SUV39H1;HNRNPR;MCM10;ATP2A1;TMEM97;HIF3A;EFCAB12;PIGW;CCDC102A;PCSK4;TM7SF2;ZCWPW1;CYSRT1;PIP5KL1;FTH1;RASGEF1C;NEK2;ZNF367;TLE4;ARG2;TIPIN;IZUMO4;RMI1;MMD;CCDC159;LMNTD2;RECQL;C4ORF46;TRPT1;KCNAB2;ESCO2;TLE6;ENKUR;PKM;RBL1;ZNF519;SLC25A19;ORAI3;MTFR2;TLCD1;FAM72D;KANK3;FAM72A;RNFT2;GRN;BLM;LRRC56;ZNF273;GALT;LIN37;DLX4;DERL3;CCDC146;IFI6;IER5L;LENG8;TULP2;SLC1A4;CENPA;SLC25A27;SLC25A29;TAF1B;HAUS7;DZANK1;USP1;RHPN1;TSNAXIP1;PDZD7;CD74;GINS2;FANCM;IRX5;DDIAS;NCKAP5L;RASSF7;ASNS;ABCA7;SHCBP1;KLK11;NFATC4;COL1A1;DIAPH3;SMOC1;SP4;SNRNP48;SERPINI1;CENPQ;ZNF695;PNPLA2;SPC25"
"TAF7","TAF7 ENCODE","12/640","0.973495516370883052","0.99999428758557163","0","0","0.6068414756377509","0.016301012044182338484","MYH7B;ZCWPW1;COQ3;ODC1;CHEK1;TSPAN4;DNAJC9;RAD1;TLCD1;LIN9;L1CAM;ARHGAP4"
"NELFE","NELFE ENCODE","3/234","0.973804770043751988","0.99999428758557163","0","0","0.4148484848484849","0.011011919414265596007","ZCWPW1;ODC1;TNFSF9"
"TCF3","TCF3 CHEA","20/1006","0.984351788855139964","0.99999428758557163","0","0","0.6405630803809074","0.010102920434191748136","FBLIM1;FBXO27;LRR1;HEG1;EPHX2;ASNS;SLCO5A1;EVX1;SLC5A1;FRMD4B;ARHGAP24;COQ2;MUC1;PKM;SLC17A9;ZNF704;HAS3;PLIN2;NES;SLC38A4"
"RFX5","RFX5 ENCODE","9/559","0.988226400768060009","0.99999428758557163","0","0","0.5192011019283747","0.006149135878465034240","RNFT2;CD74;TUBA1A;PKM;ZER1;CCND2;MCM10;KCNAB2;FAM72D"
"ZBTB33","ZBTB33 ENCODE","12/702","0.990092890120675584","0.99999428758557163","0","0","0.5504892223938792","0.005480952466275632561","ZCWPW1;RFC3;TIPIN;LIN37;RMI1;SUV39H1;EFHC1;SKA3;PIGW;CARF;SPC25;MDH1B"
"SIX5","SIX5 ENCODE","21/1094","0.991799702845360009","0.99999428758557163","0","0","0.6161931572525244","0.005073798872788794385","CALCOCO1;PACRG;LIN37;MAMSTR;CCDC146;SETMAR;C4ORF46;TULP2;ESCO2;ING4;ZCWPW1;RAD51;RBL1;EXO1;SLC25A19;PRRG2;ZNF337;SERPINI1;TSNAXIP1;C16ORF86;SPC25"
"BCLAF1","BCLAF1 ENCODE","15/851","0.992741487784433163","0.99999428758557163","0","0","0.5663814568889757","0.004126079504343150087","ZER1;FANCM;PAK1IP1;B3GALT4;RPL36A;LIN9;ARHGAP4;ZCWPW1;COQ3;PRRG2;NUF2;RAD1;SERPINI1;TLCD1;ZNF596"
"ZNF384","ZNF384 ENCODE","12/730","0.993810357463702054","0.99999428758557163","0","0","0.5282298545027785","0.003279714610382518380","ING4;TUBA1A;RAD51;IZUMO4;CCND2;CHEK1;USP1;MCMBP;EMP1;E2F2;CXCR4;MRPS6"
"PML","PML ENCODE","32/1596","0.996171933113555563","0.99999428758557163","0","0","0.6390009898728394","0.002450832503750286287","BLM;LRR1;PAK1IP1;DSCC1;RPL36A;HNRNPR;SKA3;PIGW;NUP160;ZCWPW1;GNG3;CYSRT1;FTH1;NAPRT;PRRG2;NUDT15;ZNF367;TIPIN;VPS9D1;ZER1;RMI1;STRADA;B3GALT4;ASNS;ENKUR;P2RX4;ORAI3;RSRP1;DNAJC9;TLCD1;CBLN3;COX20"
"USF2","USF2 ENCODE","16/965","0.997681160502106756","0.99999428758557163","0","0","0.5298646652173991","0.001230097865830861526","RNFT2;LIN54;GRN;BLM;GALT;ACY1;PAK1IP1;GAA;TLE6;SUMF1;ZCWPW1;PLIN2;PGPEP1;ZNF367;SLC12A7;CTSD"
"MAX","MAX ENCODE","43/2073","0.997740975661330354","0.99999428758557163","0","0","0.6569150246305419","0.001485665739127649222","RNFT2;LIN54;GRN;BLM;ACY1;MCM8;LRR1;PAK1IP1;ODC1;RPL36A;HNRNPR;TMEM97;SKA3;PIGW;NUDT6;CARF;KIF15;ZCWPW1;MUC1;NUF2;USP1;TSPAN4;NUDT15;ZNF367;LYAR;MDH1B;RFC3;RMI1;NCKAP5L;RECQL;TLE6;SUMF1;ENKUR;RAD51;SLC6A9;SGSM2;SASS6;POLR3G;DNAJC9;SNRNP48;RAD1;TLCD1;COX20"
"FLI1","FLI1 ENCODE","9/650","0.997873264095417212","0.99999428758557163","0","0","0.4433413700184371","0.000943874051163209231","ING4;RFC3;ANKRD24;GLB1L;PAK1IP1;PRRG2;LENG8;RAD1;SERPINI1"
"BRCA1","BRCA1 ENCODE","72/3218","0.998514163624304785","0.99999428758557163","0","0","0.7004213044274678","0.001041485382614024428","KLLN;ACHE;LIN54;SUV39H2;MCM8;LRR1;SUV39H1;CSAD;PIGW;KIF15;ING4;ZCWPW1;ALCAM;HMGN5;FTH1;NUF2;TCTN1;NUDT15;ZNF367;ARG2;RFC3;TIPIN;VPS9D1;RMI1;STRADA;GAA;HEG1;C4ORF46;KCNAB2;ESCO2;ENKUR;ZEB1;PKM;RBL1;SLC25A19;EFHC1;TLCD1;RNFT2;GALT;LIN37;USP11;ODC1;SKA3;GNG3;MUC1;TAF1B;EXOSC9;S100A13;TSPAN4;MDH1B;MYH7B;FANCM;DDIAS;RAB27A;ABCA7;COL1A1;COQ3;COQ2;FAM167A;RAD51;TP53I3;GLB1L;SP4;SGSM2;POLR3G;ZNF337;RAD1;SERPINI1;TUBGCP4;CENPQ;PNPLA2;SPC25"
"USF1","USF1 ENCODE","26/1423","0.998569027003188836","0.99999428758557163","0","0","0.5805954577089555","0.000831411427677824903","RNFT2;KLLN;LIN54;GRN;BLM;GALT;ACY1;IDUA;MCM8;PAK1IP1;ZCWPW1;EFEMP2;D2HGDH;PGPEP1;ZNF367;SLC12A7;CTSD;GAA;SETMAR;TLE6;SUMF1;ENKUR;SPOCD1;PLIN2;SNRNP48;ZMYND12"
"CREB1","CREB1 CHEA","24/1444","0.999720380488767546","0.99999428758557163","0","0","0.5247610012406042","0.000146753933268560722","TLE4;RNFT2;CALCOCO1;ZER1;PLK2;PAK1IP1;C4ORF46;KCNAB2;NUP160;KIF15;ING4;HLA-DMA;TUBA1A;RAD51;DIAPH3;RBL1;EXO1;FTH1;EXOSC9;NPHP1;USP1;ZNF367;LYAR;PSKH1"
"CHD1","CHD1 ENCODE","7/655","0.999774235821615176","0.99999428758557163","0","0","0.3398246540724169","0.000076728895465564940","PKM;CCND2;FANCM;TSPAN4;KCNAB2;PLXNA3;COX20"
"ATF2","ATF2 ENCODE","58/2852","0.999787772065455438","0.99999428758557163","0","0","0.6323997031647107","0.000134227126686029344","DHRS12;KLLN;LIN54;LRR1;PAK1IP1;MCM10;PIGW;CCDC102A;NUDT6;TMEM187;KIF15;ING4;ZCWPW1;TUBA1A;CYSRT1;CCND2;EXO1;PIP5KL1;NUF2;CHEK1;NUDT15;HES7;ARG2;RFC3;TIPIN;PACRG;ZER1;RMI1;C4ORF46;RBL1;DNAJC9;MTFR2;TLCD1;USP11;RPL36A;SKA3;GNG3;MUC1;DZANK1;EXOSC9;PRRG2;S100A13;USP1;TSPAN4;MDH1B;XRCC2;B3GALT4;ASNS;ABCA7;COQ3;COQ2;RAD51;DIAPH3;SASS6;RAD1;SERPINI1;TRIM38;COX20"
"NRF1","NRF1 ENCODE","33/1882","0.999876765524085998","0.99999428758557163","0","0","0.5494520508952208","0.000067715608066385517","ERCC6L;LIN37;ODC1;LENG8;CSAD;SKA1;TMEM187;ZCWPW1;KRTCAP2;CYSRT1;TAF1B;FIGNL1;S100A13;LYAR;MDH1B;MYH7B;IZUMO4;ANKRD24;STRADA;XRCC2;GAA;ZFP69B;MOK;C4ORF46;ENKUR;COQ3;COQ2;MIS18A;C18ORF54;RSRP1;TUBGCP4;ZMYND12;GOLGA8A"
"CREB1","CREB1 ENCODE","41/2238","0.999911128490012957","0.99999428758557163","0","0","0.5711444107704294","0.000050760721830237640","RNFT2;LIN54;CALCOCO1;PAK1IP1;USP11;LENG8;MCM10;CENPA;NUP160;TMEM187;KIF15;ING4;EXO1;HAUS7;EXOSC9;NPHP1;NUDT15;ZNF367;PSKH1;TLE4;CD74;ARG2;RFC3;PACRG;ZER1;RMI1;CCDC159;XRCC2;C4ORF46;KCNAB2;ESCO2;SHCBP1;DIAPH3;GLB1L;SLC25A19;SP4;ZNF337;DNAJC9;MTFR2;PEX11G;CENPQ"
"ELF1","ELF1 ENCODE","45/2483","0.999968893313268214","0.99999428758557163","0","0","0.5609767392627484","0.000017450399105521141","EXOC3L1;EXD3;ZNF273;LIN37;MCM8;PAK1IP1;USP11;TEX22;RPL36A;LENG8;PIGW;CARF;ING4;HMGN5;STK36;EXO1;EXOSC9;PRRG2;NUF2;PGM2;D2HGDH;NUDT15;CCDC159;XRCC2;LMNTD2;B3GALT4;RABL2A;RECQL;RASSF7;C4ORF46;TRPT1;CHFR;RAD51;RBL1;ORAI3;NOXA1;SASS6;ZNF337;RAD1;DENND6B;TUBGCP4;MTFR2;TRIM38;CENPQ;ZMYND12"
"MYC","MYC ENCODE","22/1515","0.999977962343038040","0.99999428758557163","0","0","0.4540846382371895","0.000010007071755829391","SUV39H2;ACY1;RMI1;MCM8;PAK1IP1;ODC1;RPL36A;HNRNPR;TMEM97;PIGW;CARF;ENKUR;ZCWPW1;MUC1;SLC6A9;SGSM2;POLR3G;DNAJC9;RAD1;TLCD1;LYAR;COX20"
"GABPA","GABPA ENCODE","33/2082","0.999989793015579997","0.99999428758557163","0","0","0.4901697875728854","0.000005003180918705109","EXD3;LRRC56;LIN37;MCM8;PAK1IP1;USP11;TEX22;CSAD;PIGW;NUDT6;ING4;GNG3;CYSRT1;STK36;EXO1;PRRG2;NUF2;LYAR;GINS2;VPS9D1;ZER1;ANKRD24;FANCM;TRPT1;ESCO2;DIAPH3;TTLL1;NOXA1;SGSM2;SASS6;RAD1;SERPINI1;CENPQ"
"TAF1","TAF1 ENCODE","49/3346","0.999993517381983166","0.99999428758557163","0","0","0.4319099849003963","0.000002799916525170380","KLLN;SUV39H2;LRR1;PAK1IP1;HNRNPR;TMEM97;CSAD;PIGW;CARF;TMEM187;ZCWPW1;FTH1;NUF2;CHEK1;PGM2;NUDT15;RMI1;STRADA;SUMF1;ENKUR;PKM;RBL1;MTCP1;DNAJC9;ZMYND12;ZNF273;RPL36A;IER5L;LENG8;LIN9;SKA3;NUP160;PRRG2;S100A13;USP1;TSPAN4;MCMBP;TSNAXIP1;LYAR;MDH1B;MYH7B;FANCM;SGSM2;RSRP1;POLR3G;SNRNP48;RAD1;SERPINI1;COX20"
"YY1","YY1 ENCODE","40/2753","0.999993785446718797","0.99999428758557163","0","0","0.4369200592633717","0.000002715271425075322","KLLN;SUV39H2;CDKN1B;LRR1;USP11;HNRNPR;MCM10;LIN9;CSAD;PIGW;NUP160;TMEM187;KIF15;ING4;ZCWPW1;STK36;FTH1;EXOSC9;S100A13;USP1;MCMBP;TSNAXIP1;PSKH1;MDH1B;FANCM;RMI1;MOK;ESCO2;SHCBP1;SUMF1;POLE2;C18ORF54;SGSM2;SASS6;MTCP1;RAD1;ZMYND12;CCDC40;SPC25;COX20"
"UBTF","UBTF ENCODE","20/1631","0.999994287585571628","0.99999428758557163","0","0","0.3787426281365356","0.000002163541033091851","HES7;TLE4;LIN54;CDKN1B;VPS9D1;FANCM;RMI1;HEG1;IER5L;SLC4A11;LIN9;SKA3;PIGW;ZEB1;CCND2;SLC6A9;USP1;CBLN3;SLC12A7;PNPLA2"
