"TF","HT55"
"AHR","0.211341296820711677"
"AR","3.087940079909691882"
"ARID2","-0.137662793029549174"
"ARID3A","1.305785577756436000"
"ARNT","-0.045635899756270318"
"ARNTL","5.099345923831749339"
"ASCL1","-0.419985659975308123"
"ATF1","2.572163049206144247"
"ATF2","3.262669887623949716"
"ATF3","0.652168948475379984"
"ATF4","4.521880762150463973"
"ATF6","2.269628552374288510"
"ATF7","-2.304746587591160356"
"BACH1","-1.064209686901245844"
"BACH2","-0.016504770594194130"
"BATF","-0.998325515658190055"
"BCL11A","-0.440862891434200155"
"BCL6","-1.714239559540630786"
"BHLHE22","-0.885141131580788665"
"BHLHE40","-0.837493380359756623"
"CDX2","2.021756441228482970"
"CEBPA","3.139152189452019570"
"CEBPB","3.252556634659453216"
"CEBPD","2.263422456202741184"
"CEBPG","-0.882147674492223088"
"CLOCK","0.592302202262047994"
"CREB1","1.379198288669148065"
"CREB3","0.117065171400201382"
"CREB3L1","1.285071491766314411"
"CREM","-0.911387729862093043"
"CTCF","-0.740453677956434242"
"CTCFL","1.043291582109265647"
"CUX1","0.095311855654167096"
"DUX4","-0.001021335197013431"
"E2F1","1.070455349992631922"
"E2F2","1.324957764997058529"
"E2F3","1.896852795392163671"
"E2F4","0.265931323901076988"
"E2F5","0.770208203734384922"
"E2F6","-0.831577219414342705"
"E2F7","0.317953291085310341"
"EBF1","1.865126594105871227"
"EGR1","2.096260755485539029"
"EHF","1.417907269737125331"
"ELF1","1.639712124463873710"
"ELF3","0.640292107179028736"
"ELF5","-1.374355134984049931"
"ELK1","3.129942539719163364"
"ELK4","-0.351044160868663635"
"EOMES","0.170292589777811115"
"EPAS1","2.168654220627697526"
"ERG","0.467378808974610427"
"ESR1","4.281358087999917572"
"ESR2","3.643816745861407025"
"ESRRA","1.297887442064352470"
"ETS1","1.555798503147855172"
"ETS2","-0.221534638500524905"
"ETV1","-1.030113650439112183"
"ETV4","1.820681451039589227"
"FLI1","0.955987951605841824"
"FOS","2.051877790013634684"
"FOSL1","-0.229957940537328459"
"FOSL2","3.084416881827660717"
"FOXA1","0.167552228419604599"
"FOXA2","0.538038592918362091"
"FOXJ2","0.343435830886329063"
"FOXK2","0.020063460215132847"
"FOXL2","1.701818026057696498"
"FOXM1","0.769835705440402807"
"FOXO1","1.570864309695366945"
"FOXO3","3.094735735452715186"
"FOXO4","1.608918919930718339"
"FOXP1","1.346166091951200183"
"FOXP2","-0.773999365529677741"
"GABPA","-0.938537564026548088"
"GATA2","0.217159205230470359"
"GATA3","1.438418387654290864"
"GATA6","2.647812340965497224"
"GFI1B","0.332876266874569282"
"GLI2","0.996091278070603159"
"GRHL2","2.089355672818427934"
"HBP1","-2.819187440384846699"
"HHEX","-0.175503916285227018"
"HIF1A","5.081676425364661576"
"HINFP","0.528407362440098227"
"HMBOX1","-0.608410889543432698"
"HNF1A","2.546203258579398110"
"HNF1B","0.669320501967164860"
"HNF4A","1.873449403727758256"
"HNF4G","1.512241596441747937"
"HOXA9","0.397732065442055527"
"HOXB13","-1.333965833727393413"
"HSF1","1.580953955401927402"
"IKZF1","-0.870434781996148876"
"IRF1","1.017513037673697163"
"IRF2","1.277104004841584040"
"IRF3","2.631861551758159834"
