"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","JUN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.66666666666667","11","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=79)","20","rank=11; score=2.4644; p=0.0034327","rank=20; score=0.006098","rank=16; score=3.5153; direction=Activated"
"2","MAFF","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","16.33333333333333","13","5","Enrichr--Queries(rank=5); ENCODE--ChIP-seq(rank=53); GTEx--Coexpression(rank=72); ReMap--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=437)","13","rank=19; score=1.7117; p=0.019423","rank=13; score=0.003561","rank=17; score=3.3612; direction=Activated"
"3","NR4A1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.66666666666667","5","4","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=7); Enrichr--Queries(rank=28); ReMap--ChIP-seq(rank=89)","5","rank=20; score=1.7117; p=0.019423","rank=5; score=0.001245","rank=55; score=2.5845; direction=Activated"
"4","ESR1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.00000000000000","12","6","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=491); GTEx--Coexpression(rank=507)","46","rank=26; score=1.3403; p=0.045678","rank=46; score=0.0122","rank=12; score=3.9469; direction=Activated"
"5","ARNTL","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","29.33333333333334","2","4","ARCHS4--Coexpression(rank=32); Enrichr--Queries(rank=38); ReMap--ChIP-seq(rank=202); GTEx--Coexpression(rank=634)","75","rank=2; score=2.9475; p=0.0011285","rank=75; score=0.01966","rank=11; score=4.1911; direction=Activated"
"6","JUNB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.00000000000000","22","4","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=82)","22","rank=24; score=1.5384; p=0.028947","rank=22; score=0.006223","rank=44; score=2.7484; direction=Activated"
"7","MAFK","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","33.00000000000000","6","5","Enrichr--Queries(rank=2); ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=356); ARCHS4--Coexpression(rank=1339)","6","rank=69; score=0.64621; p=0.22583","rank=6; score=0.001425","rank=24; score=3.0511; direction=Activated"
"8","ATF3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.33333333333334","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=22; score=1.57; p=0.026918","rank=1; score=0.0006143","rank=89; score=2.0264; direction=Repressed"
"9","RELB","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","45.66666666666666","20","4","Enrichr--Queries(rank=30); ARCHS4--Coexpression(rank=81); ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=246)","81","rank=36; score=1.1916; p=0.064327","rank=81; score=0.02137","rank=20; score=3.2353; direction=Activated"
"10","IRF4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.33333333333334","28","5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=63); ENCODE--ChIP-seq(rank=102); Enrichr--Queries(rank=423); GTEx--Coexpression(rank=906)","36","rank=87; score=0.53151; p=0.29409","rank=36; score=0.009214","rank=28; score=2.9679; direction=Activated"
