"TF","MVL_ALL","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-5.481108567986397340","-5.481108567986397340","5.481108567986397340","Repressed","1","viper","1","5.481108567986397340",NA,NA,"6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=137); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=1405)","369","0.08415000000000000","ARCHS4 Coexpression,0.08415"
"MNT","4.011440651521171574","4.011440651521171574","4.011440651521171574","Activated","2","viper","2","4.011440651521171574",NA,NA,"4","Enrichr--Queries(rank=144); GTEx--Coexpression(rank=165); ReMap--ChIP-seq(rank=260); ARCHS4--Coexpression(rank=644)","439","0.10260000000000000","Enrichr Queries,0.1026"
"STAT1","3.525745462605613056","3.525745462605613056","3.525745462605613056","Activated","3","viper","3","3.525745462605613056",NA,NA,"6","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=133); GTEx--Coexpression(rank=516); ARCHS4--Coexpression(rank=739); Enrichr--Queries(rank=949)","260","0.05724000000000000","ReMap ChIP-seq,0.05724"
"THAP11","3.293212392259366794","3.293212392259366794","3.293212392259366794","Activated","4","viper","4","3.293212392259366794",NA,NA,"5","Literature--ChIP-seq(rank=130); Enrichr--Queries(rank=238); ReMap--ChIP-seq(rank=285); GTEx--Coexpression(rank=875); ARCHS4--Coexpression(rank=1574)","682","0.16950000000000001","Enrichr Queries,0.1695"
"RFX1","3.257498808392953915","3.257498808392953915","3.257498808392953915","Activated","5","viper","5","3.257498808392953915",NA,NA,"4","ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=315); Enrichr--Queries(rank=321); GTEx--Coexpression(rank=1008)","765","0.19350000000000001","ARCHS4 Coexpression,0.1935"
"E2F1","-3.207116485873889200","-3.207116485873889200","3.207116485873889200","Repressed","6","viper","6","3.207116485873889200",NA,NA,"6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=550); ARCHS4--Coexpression(rank=564)","965","0.26219999999999999","Literature ChIP-seq,0.2622"
"MAZ","-3.174110882358256447","-3.174110882358256447","3.174110882358256447","Repressed","7","viper","7","3.174110882358256447",NA,NA,"5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=139); ARCHS4--Coexpression(rank=561); Enrichr--Queries(rank=1003); GTEx--Coexpression(rank=1278)","1157","0.34460000000000002","ARCHS4 Coexpression,0.3446"
"ZNF274","-3.120459537379409287","-3.120459537379409287","3.120459537379409287","Repressed","8","viper","8","3.120459537379409287",NA,NA,"6","ENCODE--ChIP-seq(rank=103); Literature--ChIP-seq(rank=146); ReMap--ChIP-seq(rank=239); Enrichr--Queries(rank=368); ARCHS4--Coexpression(rank=529); GTEx--Coexpression(rank=891)","964","0.26210000000000000","Enrichr Queries,0.2621"
"FOXK2","-3.082316887509902958","-3.082316887509902958","3.082316887509902958","Repressed","9","viper","9","3.082316887509902958",NA,NA,"4","ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=231); ARCHS4--Coexpression(rank=738); GTEx--Coexpression(rank=887)","666","0.16450000000000001","Enrichr Queries,0.1645"
"FOXM1","-2.774015766017806417","-2.774015766017806417","2.774015766017806417","Repressed","10","viper","10","2.774015766017806417",NA,NA,"6","ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=101); ARCHS4--Coexpression(rank=240); Enrichr--Queries(rank=501); GTEx--Coexpression(rank=759)","563","0.13410000000000000","Literature ChIP-seq,0.1341"
