"ID","P","HR","CI_low_0.95","CI_up_0.95"
"Pan_F_TBRs_PCA","0.06966316243201059","1.0598","0.9953","1.1284"
"WNT_target_PCA","0.10168584345077021","1.1594","0.9712","1.3841"
"FGFR3_related_PCA","0.12243690901683570","1.1096","0.9724","1.2660"
"EMT1_PCA","0.35026665463539919","1.0518","0.9460","1.1695"
"EMT2_PCA","0.41573990753680012","1.0379","0.9489","1.1354"
"EMT3_PCA","0.43150728963093604","1.0465","0.9344","1.1722"
"Histones_PCA","0.44955283555287784","1.0393","0.9405","1.1485"
"CellCycle_Reg_PCA","0.46116515749863402","1.0433","0.9321","1.1678"
"DDR_PCA","0.47989244012204851","1.0103","0.9820","1.0394"
"Immune_Checkpoint_PCA","0.63040874747513209","1.0214","0.9369","1.1135"
"APM_PCA","0.97107676526389741","1.0018","0.9091","1.1039"
"CD_8_T_effector_PCA","0.97731825627550706","0.9988","0.9167","1.0881"
