"TF","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ZMIZ1","ZMIZ1 ENCODE","12/914","0.914008023724618756667","0.999995088641747576","0","0","0.70195184410230782","0.0631166520875404285507","GADD45B;P4HA1;CITED2;DUSP1;DDIT4;SESN2;CHAC1;CD68;IER5;NDRG1;JDP2;VEGFA"
"E2F1","E2F1 CHEA","11/859","0.920707720032704957092","0.999995088641747576","0","0","0.68447569959720156","0.0565463471355650212913","CDKN1A;TLE1;STC2;KIT;MGST1;LRIG1;DNAJC12;RNASE4;NHLRC1;NR1D1;CSF2RA"
"EGR1","EGR1 ENCODE","6/537","0.931619085790500012223","0.999995088641747576","0","0","0.59789974490195152","0.0423499887413747028164","COL1A1;GADD45B;ZFAND4;RASGEF1B;POLR3G;TRERF1"
"RCOR1","RCOR1 ENCODE","8/702","0.947174939297250384485","0.999995088641747576","0","0","0.60812535621683672","0.0330038587714841999410","CSRNP1;PLEKHH3;CITED2;DUSP1;DDIT4;NRXN2;FGFBP3;VEGFA"
"TCF3","TCF3 ENCODE","10/840","0.947741412426898577337","0.999995088641747576","0","0","0.63457190104957650","0.0340597492742410537514","CSRNP1;GATM;RGS2;GADD45B;P4HA1;DUSP1;DDIT4;CHAC1;TRERF1;VEGFA"
"IRF1","IRF1 ENCODE","2/263","0.955596454129795547239","0.999995088641747576","0","0","0.40669710806697101","0.0184720094601717906013","APOL6;ISG15"
"SIN3A","SIN3A ENCODE","13/1131","0.976541748513382046326","0.999995088641747576","0","0","0.60816581263960057","0.0144365040535128323629","OSER1;CITED2;DUSP1;NR1D1;FBXO32;NDRG1;C12ORF57;FAM222A;PDE12;DDIT3;DDIT4;POLR3G;CD68"
"TAF7","TAF7 ENCODE","6/640","0.978590377485902052079","0.999995088641747576","0","0","0.49806443720125482","0.0107791768494831918107","C12ORF57;CITED2;DUSP1;DDIT3;CKB;IER5"
"CREB1","CREB1 CHEA","17/1444","0.983979589839387602801","0.999995088641747576","0","0","0.61968565421964161","0.0100080002670623231797","OSER1;HDAC5;CDKN1A;PLEKHH3;DUSP1;ARHGEF17;HK2;PER1;DBP;NFIL3;DDIT3;TP53INP2;DDIT4;MAP1A;MAFF;MXI1;CHAC1"
"YY1","YY1 CHEA","2/332","0.985167947113563147177","0.999995088641747576","0","0","0.32051473640514738","0.0047894990334680712096","DEPTOR;ZNF563"
"ZBTB7A","ZBTB7A ENCODE","28/2184","0.986548676850733996524","0.999995088641747576","0","0","0.66953989962839522","0.0090673189156944035416","SLC22A4;CSRNP1;PLEKHH3;IRS1;PHF1;TNFAIP3;ADM;AK4;NDRG1;C12ORF57;KIAA0513;DEPTOR;DBP;TP53INP2;RNF39;MAP3K8;CKB;PROSER2;GADD45B;DUSP1;MERTK;DHRS3;VEGFA;TMEM37;P2RX4;BHLHE40;APOC1;SLC29A4"
"MYC","MYC CHEA","4/573","0.993819350418313152140","0.999995088641747576","0","0","0.36919442064033853","0.0022889422255505074977","AKAP12;PER1;CBX7;STC2"
"UBTF","UBTF ENCODE","18/1631","0.994558623366892380346","0.999995088641747576","0","0","0.57619236255566786","0.0031438408470800273918","OSER1;CSRNP1;KSR1;DUSP1;SORBS1;VEGFA;SLC6A8;RGCC;PDE12;TP53INP2;SESN2;BHLHE40;MAFF;MXI1;FGFBP3;IER5;JDP2;TMEM229B"
"PBX3","PBX3 ENCODE","12/1269","0.997189347377917645332","0.999995088641747576","0","0","0.49416114827389163","0.0013908708714770825522","C12ORF57;KIAA0513;SLC26A2;TLE1;GADD45B;HEY1;PHF1;TNNC1;PADI2;NRXN2;CD68;IER5"
"SP1","SP1 ENCODE","4/707","0.999133919079741361635","0.999995088641747576","0","0","0.29672125365905272","0.0002570959654620313842","C12ORF57;PLEKHH3;CITED2;CYP1A1"
"MAX","MAX ENCODE","21/2073","0.999446531972317253611","0.999995088641747576","0","0","0.52000726768752326","0.0002878870723238186632","OSER1;SLC22A4;SLC26A2;CITED2;DUSP1;HILPDA;EAF2;TNFAIP3;NR1D1;FBXO32;WDR35;NDRG1;PER1;FAM222A;RGS2;RGCC;DBP;PDE12;BHLHE40;POLR3G;FGFBP3"
"FOS","FOS ENCODE","3/637","0.999446621064362439313","0.999995088641747576","0","0","0.24697975526051236","0.0001367112241356406837","SLC26A2;PLEKHH3;TFPI"
"E2F6","E2F6 ENCODE","38/3245","0.999544170616318394806","0.999995088641747576","0","0","0.59158963627247763","0.0002697254183515493766","SLC22A4;CDKN1C;SLC26A2;ZFAND4;PPM1L;CITED2;PHF1;HILPDA;SECTM1;VLDLR;VSIG10L;NEURL1B;RGS2;DBP;STC2;NFKBIZ;LRIG1;CTSH;CKB;FGFBP3;IER5;SH2B2;CBX7;DUSP1;IGFBP4;EAF2;ACSL4;RNASE4;NR1D1;KLF4;WDR35;RGCC;P4HA1;PDE12;PPP1R3B;BHLHE40;POLR3G;ANG"
"ZBTB33","ZBTB33 ENCODE","3/702","0.999805880406270053307","0.999995088641747576","0","0","0.22324671037117388","0.0000433407675010009198","C12ORF57;PDE12;MAFF"
"PML","PML ENCODE","13/1596","0.999846095412061042218","0.999995088641747576","0","0","0.41873222194859933","0.0000644497697606185064","OSER1;SLC26A2;GADD45B;CITED2;DUSP1;VEGFA;C12ORF57;P2RX4;P4HA1;DDIT3;DDIT4;CD68;IER5"
"SPI1","SPI1 ENCODE","12/1540","0.999883505969812347303","0.999995088641747576","0","0","0.40052356020942409","0.0000466613216493373114","LRRC36;RGS2;PDLIM2;ZNF185;GPNMB;HEPH;ACSL4;MAP3K8;CKB;PRDM1;IER5;ABCG1"
"BCLAF1","BCLAF1 ENCODE","4/851","0.999904056542687436071","0.999995088641747576","0","0","0.24440172899977561","0.0000234498718022830629","C12ORF57;CITED2;BHLHE40;CD68"
"MYC","MYC ENCODE","10/1515","0.999978005465156027931","0.999995088641747576","0","0","0.33740007630959362","0.0000074210393462035996","OSER1;DBP;PDE12;CITED2;DUSP1;BHLHE40;POLR3G;NR1D1;FGFBP3;VEGFA"
"NFYB","NFYB ENCODE","39/3715","0.999985050573640399385","0.999995088641747576","0","0","0.51613879747339364","0.0000077160366195229356","OSER1;CDKN1C;SLC26A2;PLEKHH3;ZFAND4;MTMR11;PHF1;NRXN2;HK2;C12ORF57;RGS2;DEPTOR;DBP;HEY1;NFIL3;STC2;TP53INP2;SESN2;LRIG1;PHGDH;CHAC1;CKB;RIMKLA;IER5;HOXC6;GADD45B;EAF2;DNAJC12;NR1D1;SORBS1;COL1A1;PER1;FAM222A;MORN4;PPP1R3B;DDIT3;DDIT4;APOC1;KCNK1"
"FLI1","FLI1 ENCODE","1/650","0.999991642636858024673","0.999995088641747576","0","0","0.07992119022960924","0.0000006679332005806516","MICB"
"IRF3","IRF3 ENCODE","1/663","0.999992683675565374735","0.999995088641747576","0","0","0.07829808660624371","0.0000005728562998254935","SLC26A2"
"NFYA","NFYA ENCODE","17/2250","0.999992816301441544979","0.999995088641747576","0","0","0.37847866419294990","0.0000027188864001687058","SLC26A2;PLEKHH3;ZFAND4;PHF1;NRXN2;NR1D1;C12ORF57;PER1;DBP;MORN4;PPP1R3B;DDIT3;DDIT4;LRIG1;CHAC1;KCNK1;IER5"
"BRCA1","BRCA1 ENCODE","28/3218","0.999993983750080417394","0.999995088641747576","0","0","0.42574416733708770","0.0000025613910175437622","OSER1;CSRNP1;HDAC5;PLEKHH3;PPM1L;CITED2;PHF1;NRXN2;C12ORF57;DBP;TP53INP2;MAP3K8;GADD45B;DUSP1;ARHGEF17;EAF2;RNASE4;COL1A1;PER1;NEIL3;BCL6;P4HA1;PDE12;DDIT4;BHLHE40;MAFF;POLR3G;ANG"
"SIX5","SIX5 ENCODE","4/1094","0.999994099812486769707","0.999995088641747576","0","0","0.18745924634164832","0.0000011060479674529671","ZNF221;FAM222A;BCL6;SESN2"
"TAF1","TAF1 ENCODE","13/3346","0.999994327004050997942","0.999995088641747576","0","0","0.17959423060950164","0.0000010188402326528328","OSER1;GADD45B;CITED2;DUSP1;EAF2;P4HA1;PDE12;DDIT3;DDIT4;SESN2;POLR3G;MAP3K8;IER5"
"ATF2","ATF2 ENCODE","19/2852","0.999994530994485986142","0.999995088641747576","0","0","0.32377034214978639","0.0000017707066284979065","OSER1;CSRNP1;SEMA6A;PLEKHH3;GADD45B;CITED2;DUSP1;PHF1;C12ORF57;IRAK1BP1;DBP;LBH;ELF3;PDE12;DDIT3;DDIT4;MAFF;CD68;IER5"
"YY1","YY1 ENCODE","5/2753","0.999994582500275619452","0.999995088641747576","0","0","0.08486835227227034","0.0000004597755204710803","SLC22A4;C12ORF57;DEPTOR;MORN4;TNNC1"
"SP2","SP2 ENCODE","3/994","0.999994612847726171978","0.999995088641747576","0","0","0.15503820095141993","0.0000008352166465072958","PGBD1;SLC26A2;ZNF563"
"ELF1","ELF1 ENCODE","6/2483","0.999994720100590428480","0.999995088641747576","0","0","0.11511557296658342","0.0000006078002503022544","ZNF221;FAM222A;PDE12;DDIT3;FBXO32;JDP2"
"E2F4","E2F4 ENCODE","1/710","0.999994837427468419300","0.999995088641747576","0","0","0.07292654165414229","0.0000003764895326030432","NEIL3"
"CREB1","CREB1 ENCODE","8/2238","0.999994859425582416357","0.999995088641747576","0","0","0.17390609190951448","0.0000008939795049373625","OSER1;PER1;FAM222A;PLEKHH3;BCL6;DUSP1;TP53INP2;APOC1"
"GABPA","GABPA ENCODE","2/2082","0.999994956596452766462","0.999995088641747576","0","0","0.04624077976817703","0.0000002332115008000184","ZNF221;PDE12"
"NRF1","NRF1 ENCODE","8/1882","0.999995088641747575942","0.999995088641747576","0","0","0.21117595122226748","0.0000010371632976913292","OSER1;NEIL3;P4HA1;DDIT3;HILPDA;ZFP69B;NR1D1;HOXC6"
