"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","FOSL1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.66666666666667","14","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=14; score=0.003367","rank=19; score=927.7; p=0.006632; adjP=0.041425","rank=41; score=1.8339; p=0.0010321; direction=Activated"
"2","BACH1","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","41.00000000000000","9","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=114); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=345); GTEx--Coexpression(rank=1433)","56","rank=56; score=0.0122","rank=9; score=59.77; p=0.00045404; adjP=0.12577","rank=58; score=1.4975; p=0.0023988; direction=Activated"
"3","JUN","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.00000000000000","1","6","ENCODE--ChIP-seq(rank=1); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=76); Enrichr--Queries(rank=338)","19","rank=19; score=0.004356","rank=1; score=69.942; p=0.0011599; adjP=0.12917","rank=166; score=1.8467; p=0.027287; direction=Activated"
"4","FOS","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.00000000000000","32","5","GTEx--Coexpression(rank=11); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=48); ReMap--ChIP-seq(rank=48); Enrichr--Queries(rank=173)","32","rank=32; score=0.006845","rank=39; score=58.137; p=0.045936; adjP=0.074015","rank=115; score=1.6728; p=0.013033; direction=Activated"
"5","BATF","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","66.33333333333333","39","5","ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=39); ReMap--ChIP-seq(rank=93); GTEx--Coexpression(rank=659); Enrichr--Queries(rank=1150)","112","rank=112; score=0.02396","rank=48; score=16.151; p=0.033642; adjP=0.93302","rank=39; score=2.4189; p=0.00091071; direction=Activated"
"6","ATF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.00000000000000","6","6","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=85); GTEx--Coexpression(rank=1012)","177","rank=177; score=0.03917","rank=24; score=774.04; p=0.007576; adjP=0.041425","rank=6; score=3.4731; p=4.3798e-07; direction=Activated"
"7","SMAD3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.66666666666667","10","5","Literature--ChIP-seq(rank=6); Enrichr--Queries(rank=124); ReMap--ChIP-seq(rank=134); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=908)","166","rank=166; score=0.03659","rank=60; score=19.468; p=0.011681; adjP=0.27762","rank=10; score=3.2947; p=3.2388e-06; direction=Activated"
"8","PPARG","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.00000000000000","32","5","Literature--ChIP-seq(rank=33); Enrichr--Queries(rank=49); ARCHS4--Coexpression(rank=67); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=1582)","158","rank=158; score=0.0349","rank=32; score=23.708; p=0.0077225; adjP=0.27478","rank=68; score=1.4977; p=0.0038564; direction=Activated"
"9","ATF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","95.33333333333334","4","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=276; score=0.06409","rank=6; score=540.64; p=0.00049931; adjP=0.010555","rank=4; score=2.8976; p=1.7206e-07; direction=Activated"
"10","SOX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","96.00000000000000","31","5","Literature--ChIP-seq(rank=8); ReMap--ChIP-seq(rank=52); Enrichr--Queries(rank=301); ARCHS4--Coexpression(rank=805); GTEx--Coexpression(rank=1528)","219","rank=219; score=0.04878","rank=38; score=24.397; p=0.010872; adjP=0.27762","rank=31; score=1.7132; p=0.00060913; direction=Activated"
