"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=2; score=8.7711; p=1.6939e-09","rank=1; score=8.0024; p=9.9439e-09"
"2","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=20.742; p=1.8133e-21","rank=2; score=6.6502; p=2.2379e-07"
"3","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","3","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","rank=5; score=6.5186; p=3.0299e-07","rank=3; score=6.1205; p=7.5772e-07"
"4","TFDP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","4","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","rank=4; score=7.3196; p=4.7902e-08","rank=4; score=5.2058; p=6.2263e-06"
"5","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","6","5","ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=27); GTEx--Coexpression(rank=575); Enrichr--Queries(rank=1092); ARCHS4--Coexpression(rank=1171)","284","rank=6; score=3.3277; p=0.00047026","rank=7; score=4.0073; p=9.8323e-05"
"6","MYC","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","6","6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=19); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=567)","193","rank=11; score=2.2594; p=0.0055031","rank=6; score=4.268; p=5.3953e-05"
"7","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.0","12","6","Literature--ChIP-seq(rank=53); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=156); Enrichr--Queries(rank=456); GTEx--Coexpression(rank=798); ARCHS4--Coexpression(rank=928)","1040","rank=14; score=2.0628; p=0.0086542","rank=12; score=2.3909; p=0.0040653"
"8","SP3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","16","3","GTEx--Coexpression(rank=631); Enrichr--Queries(rank=1132); ARCHS4--Coexpression(rank=1379)","1188","rank=21; score=1.4862; p=0.032641","rank=16; score=1.8783; p=0.013235"
"9","GATA6","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.5","10","5","Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=208); ARCHS4--Coexpression(rank=372); GTEx--Coexpression(rank=1186)","482","rank=31; score=1.0796; p=0.083262","rank=10; score=2.9603; p=0.0010956"
"10","CDX2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","15","5","ReMap--ChIP-seq(rank=38); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=66); GTEx--Coexpression(rank=99); Enrichr--Queries(rank=1115)","154","rank=15; score=1.8447; p=0.014298","rank=28; score=1.4588; p=0.034769"
