"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.00000000000000","2","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=6; score=540.64; p=0.00049931; adjP=0.010555","rank=2; score=3.3016; p=0.00049933","rank=4; score=2.8976; p=1.7206e-07; direction=Activated"
"2","FOSL1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.33333333333333","7","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=19; score=927.7; p=0.006632; adjP=0.041425","rank=7; score=2.0696; p=0.0085193","rank=41; score=1.8339; p=0.0010321; direction=Activated"
"3","ATF3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.33333333333333","6","6","Enrichr--Queries(rank=55); ReMap--ChIP-seq(rank=59); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=68); ARCHS4--Coexpression(rank=85); GTEx--Coexpression(rank=1012)","177","rank=24; score=774.04; p=0.007576; adjP=0.041425","rank=40; score=0; p=1","rank=6; score=3.4731; p=4.3798e-07; direction=Activated"
"4","HDAC7","ENRICHR;TRRUST;CollecTRI","3","ENRICHR;TRRUST;CollecTRI","26.00000000000000","9","0","",NA,"rank=40; score=406.73; p=0.012283; adjP=0.041425","rank=9; score=1.9107; p=0.012284","rank=29; score=2.4093; p=0.0005326; direction=Activated"
"5","NFKB1","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.66666666666667","5","4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","rank=5; score=34.418; p=0.023831; adjP=0.21596","rank=29; score=0.59882; p=0.25187","rank=49; score=1.6274; p=0.0018546; direction=Activated"
"6","STAT3","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.33333333333334","1","6","ENCODE--ChIP-seq(rank=10); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=237); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=721)","310","rank=4; score=216.03; p=0.00031238; adjP=0.010555","rank=1; score=3.5053; p=0.00031239","rank=92; score=2.222; p=0.0083428; direction=Activated"
"7","MEF2D","ENRICHR;TRRUST;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","38.33333333333334","5","3","GTEx--Coexpression(rank=137); Enrichr--Queries(rank=1124); ARCHS4--Coexpression(rank=1167)","348","rank=15; score=1147.4; p=0.0056871; adjP=0.041425","rank=5; score=2.2451; p=0.0056872","rank=95; score=1.3428; p=0.0085074; direction=Activated"
"8","MYC","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.33333333333334","14","6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=169); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=624); ARCHS4--Coexpression(rank=825)","408","rank=75; score=26.757; p=0.090883; adjP=0.10253","rank=26; score=1.0415; p=0.090883","rank=14; score=2.6211; p=1.9334e-05; direction=Repressed"
"9","PAX5","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.00000000000000","14","5","ENCODE--ChIP-seq(rank=48); Enrichr--Queries(rank=156); ReMap--ChIP-seq(rank=248); ARCHS4--Coexpression(rank=634); GTEx--Coexpression(rank=679)","423","rank=69; score=217.55; p=0.019771; adjP=0.041425","rank=14; score=1.704; p=0.019771","rank=34; score=2.122; p=0.00074804; direction=Activated"
"10","TP53","ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.66666666666666","18","5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1085)","385","rank=18; score=25.532; p=0.01694; adjP=0.15076","rank=28; score=0.83899; p=0.14488","rank=73; score=1.7861; p=0.0048035; direction=Activated"
