"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.6","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","rank=1; score=26.145; p=7.159e-27","rank=1; score=9.9455; direction=Repressed","rank=1; score=328.19; p=1.2895e-39; adjP=1.3411e-37","rank=4; score=5.6483; p=2.2476e-06","rank=1; score=9.161; p=5.1434e-20; direction=Repressed"
"2","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.8","3","6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=248); GTEx--Coexpression(rank=723)","324","rank=7; score=6.2459; p=5.6767e-07","rank=3; score=7.0135; direction=Repressed","rank=3; score=25.454; p=2.772e-08; adjP=8.0388e-07","rank=22; score=2.2853; p=0.0051849","rank=4; score=4.6753; p=2.9346e-06; direction=Repressed"
"3","SREBF2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.8","2","6","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=1403)","676","rank=11; score=4.417; p=3.8281e-05","rank=2; score=7.0234; direction=Repressed","rank=39; score=53.183; p=0.00026588; adjP=0.010524","rank=10; score=3.5753; p=0.00026589","rank=17; score=3.4494; p=0.00056173; direction=Repressed"
"4","FOXO3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.8","2","4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","rank=61; score=1.6459; p=0.0226","rank=36; score=3.4277; direction=Activated","rank=48; score=43.988; p=0.0007953; adjP=0.025184","rank=12; score=3.0995; p=0.00079532","rank=2; score=5.8045; p=6.4571e-09; direction=Activated"
"5","E2F3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.4","4","3","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=47); GTEx--Coexpression(rank=864)","76","rank=4; score=7.9443; p=1.137e-08","rank=58; score=2.9295; direction=Repressed","rank=17; score=108.91; p=6.538e-05; adjP=0.003882","rank=6; score=4.1845; p=6.5384e-05","rank=102; score=2.0854; p=0.037032; direction=Repressed"
"6","KLF6","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.2","12","4","ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=151); Enrichr--Queries(rank=483); GTEx--Coexpression(rank=1090)","385","rank=38; score=2.168; p=0.0067926","rank=107; score=2.1707; direction=Activated","rank=63; score=33.448; p=1.1131e-05; adjP=0.00013114","rank=16; score=2.7856; p=0.0016382","rank=12; score=3.6378; p=0.00027496; direction=Activated"
"7","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.4","11","6","GTEx--Coexpression(rank=21); ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=437)","47","rank=58; score=1.6539; p=0.022187","rank=11; score=5.2037; direction=Activated","rank=94; score=21.729; p=1.3091e-07; adjP=3.223e-06","rank=65; score=1.3101; p=0.048969","rank=14; score=3.5298; p=0.00041581; direction=Activated"
"8","E2F1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.0","2","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=40)","6","rank=5; score=6.9967; p=1.0076e-07","rank=31; score=3.6979; direction=Repressed","rank=4; score=50.114; p=4.0413e-14; adjP=6.0942e-12","rank=2; score=6.7418; p=1.8121e-07","rank=258; score=1.4065; p=0.15957; direction=Repressed"
"9","SREBF1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","61.8","5","6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=258); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=1192)","160","rank=13; score=3.874; p=0.00013364","rank=38; score=3.3438; direction=Repressed","rank=14; score=74.011; p=1.5204e-05; adjP=0.0012036","rank=5; score=4.818; p=1.5205e-05","rank=239; score=1.4712; p=0.14124; direction=Repressed"
"10","IRF9","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","68.2","7","4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=429); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=608)","926","rank=53; score=1.6841; p=0.020695","rank=43; score=3.2875; direction=Activated","rank=185; score=19.925; p=0.032231; adjP=0.21264","rank=53; score=1.4917; p=0.032231","rank=7; score=4.0661; p=4.7811e-05; direction=Activated"
