Pathway,E2F TARGETS,G2M CHECKPOINT,MYC TARGETS V1,MYC TARGETS V2,MTORC1 SIGNALING,UNFOLDED PROTEIN RESPONSE,GLYCOLYSIS,OXIDATIVE PHOSPHORYLATION,ADIPOGENESIS,FATTY ACID METABOLISM,XENOBIOTIC METABOLISM,BILE ACID METABOLISM,HEME METABOLISM,EPITHELIAL MESENCHYMAL TRANSITION,ANGIOGENESIS,COAGULATION,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,ALLOGRAFT REJECTION,DNA REPAIR,MITOTIC SPINDLE,MYOGENESIS,PANCREAS BETA CELLS,KRAS SIGNALING DN
E2F TARGETS,1.0,0.365,0.175,0.06,0.07,0.03,0.035,0.0,0.01,0.01,0.0,0.0,0.005,0.005,0.0,0.0,0.01,0.01,0.015,0.075,0.095,0.005,0.0,0.005
G2M CHECKPOINT,0.365,1.0,0.145,0.03,0.045,0.03,0.035,0.0,0.005,0.015,0.005,0.0,0.015,0.01,0.0,0.0,0.025,0.015,0.015,0.01,0.195,0.01,0.0,0.01
MYC TARGETS V1,0.175,0.145,1.0,0.09,0.095,0.05,0.025,0.055,0.015,0.02,0.02,0.0,0.005,0.005,0.0,0.0,0.005,0.005,0.025,0.04,0.005,0.005,0.0,0.0
MYC TARGETS V2,0.20689655172413793,0.10344827586206896,0.3103448275862069,1.0,0.15517241379310345,0.08620689655172414,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.0,0.017241379310344827,0.0,0.0,0.0,0.034482758620689655,0.017241379310344827,0.017241379310344827,0.0,0.017241379310344827,0.0,0.0,0.0
MTORC1 SIGNALING,0.07,0.045,0.095,0.045,1.0,0.085,0.135,0.035,0.07,0.05,0.06,0.03,0.05,0.01,0.005,0.015,0.05,0.025,0.02,0.015,0.02,0.025,0.005,0.005
UNFOLDED PROTEIN RESPONSE,0.05309734513274336,0.05309734513274336,0.08849557522123894,0.04424778761061947,0.1504424778761062,1.0,0.05309734513274336,0.008849557522123894,0.02654867256637168,0.0,0.008849557522123894,0.0,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.0,0.04424778761061947,0.008849557522123894,0.017699115044247787,0.0,0.017699115044247787,0.017699115044247787,0.02654867256637168,0.0
GLYCOLYSIS,0.035,0.035,0.025,0.005,0.135,0.03,1.0,0.04,0.05,0.065,0.04,0.015,0.03,0.07,0.015,0.01,0.025,0.025,0.01,0.005,0.01,0.04,0.0,0.01
OXIDATIVE PHOSPHORYLATION,0.0,0.0,0.055,0.005,0.035,0.005,0.04,1.0,0.205,0.155,0.045,0.02,0.025,0.0,0.0,0.005,0.0,0.0,0.0,0.02,0.01,0.005,0.0,0.0
ADIPOGENESIS,0.01,0.005,0.015,0.005,0.07,0.015,0.05,0.205,1.0,0.145,0.08,0.045,0.025,0.015,0.005,0.005,0.03,0.005,0.005,0.01,0.005,0.045,0.0,0.0
FATTY ACID METABOLISM,0.012658227848101266,0.0189873417721519,0.02531645569620253,0.0,0.06329113924050633,0.0,0.08227848101265822,0.1962025316455696,0.18354430379746836,1.0,0.15822784810126583,0.06962025316455696,0.0379746835443038,0.012658227848101266,0.0,0.006329113924050633,0.006329113924050633,0.0,0.006329113924050633,0.0,0.0,0.02531645569620253,0.0,0.006329113924050633
XENOBIOTIC METABOLISM,0.0,0.005,0.02,0.005,0.06,0.005,0.04,0.045,0.08,0.125,1.0,0.06,0.045,0.025,0.005,0.055,0.035,0.025,0.03,0.01,0.01,0.02,0.0,0.005
BILE ACID METABOLISM,0.0,0.0,0.0,0.0,0.05357142857142857,0.0,0.026785714285714284,0.03571428571428571,0.08035714285714286,0.09821428571428571,0.10714285714285714,1.0,0.03571428571428571,0.0,0.0,0.008928571428571428,0.008928571428571428,0.026785714285714284,0.008928571428571428,0.0,0.0,0.017857142857142856,0.0,0.026785714285714284
HEME METABOLISM,0.005,0.015,0.005,0.005,0.05,0.005,0.03,0.025,0.025,0.03,0.045,0.02,1.0,0.005,0.0,0.02,0.01,0.015,0.005,0.01,0.015,0.015,0.005,0.01
EPITHELIAL MESENCHYMAL TRANSITION,0.005,0.01,0.005,0.0,0.01,0.005,0.07,0.0,0.015,0.01,0.025,0.0,0.005,1.0,0.06,0.09,0.11,0.065,0.045,0.0,0.015,0.1,0.0,0.005
ANGIOGENESIS,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0,0.0,0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.0,0.0,0.05555555555555555,0.0,0.0
COAGULATION,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.014492753623188406,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.07971014492753623,0.007246376811594203,0.028985507246376812,0.13043478260869565,0.028985507246376812,1.0,0.050724637681159424,0.06521739130434782,0.043478260869565216,0.007246376811594203,0.007246376811594203,0.036231884057971016,0.007246376811594203,0.021739130434782608
TNFA SIGNALING VIA NFKB,0.01,0.025,0.005,0.01,0.05,0.025,0.025,0.0,0.03,0.005,0.035,0.005,0.01,0.11,0.02,0.035,1.0,0.255,0.095,0.005,0.01,0.025,0.0,0.04
INFLAMMATORY RESPONSE,0.01,0.015,0.005,0.005,0.025,0.005,0.025,0.0,0.005,0.0,0.025,0.015,0.015,0.065,0.015,0.045,0.255,1.0,0.185,0.01,0.01,0.02,0.0,0.03
ALLOGRAFT REJECTION,0.015,0.015,0.025,0.005,0.02,0.01,0.01,0.0,0.005,0.005,0.03,0.005,0.005,0.045,0.015,0.03,0.095,0.185,1.0,0.01,0.015,0.01,0.0,0.03
DNA REPAIR,0.1,0.013333333333333334,0.05333333333333334,0.0,0.02,0.0,0.006666666666666667,0.02666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.013333333333333334,1.0,0.006666666666666667,0.006666666666666667,0.0,0.006666666666666667
MITOTIC SPINDLE,0.09547738693467336,0.19597989949748743,0.005025125628140704,0.005025125628140704,0.020100502512562814,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.0,0.010050251256281407,0.0,0.01507537688442211,0.01507537688442211,0.0,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.005025125628140704,1.0,0.020100502512562814,0.0,0.005025125628140704
MYOGENESIS,0.005,0.01,0.005,0.0,0.025,0.01,0.04,0.005,0.045,0.02,0.02,0.01,0.015,0.1,0.01,0.025,0.025,0.02,0.01,0.005,0.02,1.0,0.0,0.035
PANCREAS BETA CELLS,0.0,0.0,0.0,0.0,0.025,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05
KRAS SIGNALING DN,0.005,0.01,0.0,0.0,0.005,0.0,0.01,0.0,0.0,0.005,0.005,0.015,0.01,0.005,0.0,0.015,0.04,0.03,0.03,0.005,0.005,0.035,0.01,1.0
