Pathway,"GSE28726 NAIVE CD4 TCELL VS NAIVE VA24NEG
NKTCELL UP",GSE28726 NAIVE VS ACTIVATED CD4 TCELL DN,GSE24574 BCL6 HIGH VS LOW TFH CD4 TCELL DN,GSE24574 BCL6 LOW TFH VS TCONV CD4 TCELL DN,"GSE26156 DOUBLE POSITIVE VS CD4 SINGLE
POSITIVE THYMOCYTE DN",GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,"GSE21063 WT VS NFATC1 KO 8H ANTI IGM STIM
BCELL UP",GSE32901 NAIVE VS TH17 NEG CD4 TCELL UP,GSE12392 CD8A POS VS NEG SPLEEN DC DN,"GSE40666 UNTREATED VS IFNA STIM EFFECTOR CD8
TCELL 90MIN UP",GSE32986 UNSTIM VS CURDLAN LOWDOSE STIM DC DN,GSE22886 DAY0 VS DAY7 MONOCYTE IN CULTURE DN,GSE3982 DC VS BCELL UP,GSE3982 MAST CELL VS NKCELL UP,"GSE2770 UNTREATED VS IL12 TREATED ACT CD4
TCELL 6H UP",GSE13306 RA VS UNTREATED MEM CD4 TCELL DN,"GSE7219 UNSTIM VS LPS AND ANTI CD40 STIM NIK
NFKB2 KO DC DN",GSE7219 WT VS NIK NFKB2 KO DC UP,"GSE37301 HEMATOPOIETIC STEM CELL VS GRAN MONO
PROGENITOR DN","GSE24671 CTRL VS BAKIMULC INFECTED MOUSE
SPLENOCYTES DN","GSE27241 WT VS RORGT KO TH17 POLARIZED CD4
TCELL TREATED WITH DIGOXIN UP","GSE22196 HEALTHY VS OBESE MOUSE SKIN
GAMMADELTA TCELL DN",GSE16266 CTRL VS LPS STIM MEF UP,"GSE22025 UNTREATED VS TGFB1 TREATED CD4 TCELL
UP",GSE6259 BCELL VS CD8 TCELL UP,GSE1432 1H VS 24H IFNG MICROGLIA UP,GSE22886 NAIVE BCELL VS DC DN,GSE22886 NAIVE BCELL VS MONOCYTE DN,GSE42724 NAIVE VS B1 BCELL DN,"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP","GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN",GSE42088 UNINF VS LEISHMANIA INF DC 2H DN,"GSE35685 CD34POS CD10NEG CD62LPOS VS CD34POS
CD10POS BONE MARROW UP",GSE22886 UNSTIM VS IL15 STIM NKCELL DN,GSE22886 UNSTIM VS IL2 STIM NKCELL DN,GSE3982 BASOPHIL VS TH1 DN,GSE3982 EFF MEMORY CD4 TCELL VS TH1 DN,"GSE6674 ANTI IGM VS ANTI IGM AND CPG STIM
BCELL DN","GSE32986 UNSTIM VS GMCSF AND CURDLAN LOWDOSE
STIM DC UP","GSE24026 PD1 LIGATION VS CTRL IN ACT TCELL
LINE DN"
"GSE28726 NAIVE CD4 TCELL VS NAIVE VA24NEG
NKTCELL UP",1.0,0.53,0.36,0.45,0.4,0.24,0.15,0.08,0.105,0.03,0.06,0.055,0.02,0.045,0.045,0.065,0.03,0.035,0.025,0.01,0.025,0.045,0.01,0.025,0.015,0.015,0.04,0.04,0.02,0.025,0.055,0.0,0.015,0.16,0.18,0.08,0.085,0.075,0.1,0.065
GSE28726 NAIVE VS ACTIVATED CD4 TCELL DN,0.5326633165829145,1.0,0.38190954773869346,0.41708542713567837,0.4120603015075377,0.19597989949748743,0.135678391959799,0.05527638190954774,0.08542713567839195,0.04020100502512563,0.09045226130653267,0.06532663316582915,0.03015075376884422,0.04020100502512563,0.02512562814070352,0.02512562814070352,0.03015075376884422,0.02512562814070352,0.02512562814070352,0.010050251256281407,0.02512562814070352,0.04522613065326633,0.0,0.03015075376884422,0.01507537688442211,0.01507537688442211,0.04020100502512563,0.04522613065326633,0.035175879396984924,0.03015075376884422,0.04522613065326633,0.005025125628140704,0.01507537688442211,0.15577889447236182,0.1658291457286432,0.05527638190954774,0.08542713567839195,0.07537688442211055,0.07537688442211055,0.06030150753768844
GSE24574 BCL6 HIGH VS LOW TFH CD4 TCELL DN,0.36,0.38,1.0,0.445,0.435,0.175,0.135,0.04,0.09,0.035,0.07,0.075,0.025,0.015,0.025,0.025,0.035,0.015,0.03,0.015,0.01,0.065,0.01,0.03,0.01,0.015,0.055,0.045,0.035,0.05,0.05,0.01,0.02,0.115,0.09,0.04,0.075,0.04,0.08,0.04
GSE24574 BCL6 LOW TFH VS TCONV CD4 TCELL DN,0.45,0.415,0.445,1.0,0.425,0.19,0.125,0.04,0.07,0.04,0.075,0.065,0.025,0.03,0.03,0.025,0.015,0.015,0.02,0.005,0.015,0.065,0.005,0.025,0.01,0.025,0.045,0.035,0.02,0.035,0.055,0.0,0.025,0.14,0.15,0.055,0.06,0.08,0.08,0.045
"GSE26156 DOUBLE POSITIVE VS CD4 SINGLE
POSITIVE THYMOCYTE DN",0.4020100502512563,0.4120603015075377,0.4371859296482412,0.4271356783919598,1.0,0.22110552763819097,0.135678391959799,0.04522613065326633,0.06532663316582915,0.02512562814070352,0.08040201005025126,0.08542713567839195,0.02512562814070352,0.05025125628140704,0.020100502512562814,0.020100502512562814,0.02512562814070352,0.02512562814070352,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.06030150753768844,0.005025125628140704,0.05025125628140704,0.010050251256281407,0.010050251256281407,0.05025125628140704,0.03015075376884422,0.010050251256281407,0.04522613065326633,0.04522613065326633,0.0,0.03015075376884422,0.15577889447236182,0.1507537688442211,0.08040201005025126,0.07537688442211055,0.06030150753768844,0.06532663316582915,0.05025125628140704
GSE33292 WT VS TCF1 KO DN3 THYMOCYTE DN,0.24120603015075376,0.19597989949748743,0.17587939698492464,0.19095477386934673,0.22110552763819097,1.0,0.17587939698492464,0.10552763819095477,0.10552763819095477,0.03015075376884422,0.05025125628140704,0.05527638190954774,0.03015075376884422,0.04020100502512563,0.03015075376884422,0.04020100502512563,0.02512562814070352,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.020100502512562814,0.03015075376884422,0.005025125628140704,0.04020100502512563,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.035175879396984924,0.1306532663316583,0.1457286432160804,0.09045226130653267,0.10552763819095477,0.05025125628140704,0.06030150753768844,0.06532663316582915
"GSE21063 WT VS NFATC1 KO 8H ANTI IGM STIM
BCELL UP",0.1507537688442211,0.135678391959799,0.135678391959799,0.12562814070351758,0.135678391959799,0.17587939698492464,1.0,0.09045226130653267,0.10050251256281408,0.035175879396984924,0.05527638190954774,0.035175879396984924,0.020100502512562814,0.01507537688442211,0.020100502512562814,0.02512562814070352,0.03015075376884422,0.02512562814070352,0.010050251256281407,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.010050251256281407,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.020100502512562814,0.020100502512562814,0.010050251256281407,0.03015075376884422,0.01507537688442211,0.04020100502512563,0.1306532663316583,0.12562814070351758,0.09547738693467336,0.07035175879396985,0.04522613065326633,0.07537688442211055,0.07035175879396985
GSE32901 NAIVE VS TH17 NEG CD4 TCELL UP,0.09302325581395349,0.06395348837209303,0.046511627906976744,0.046511627906976744,0.05232558139534884,0.12209302325581395,0.10465116279069768,1.0,0.10465116279069768,0.029069767441860465,0.046511627906976744,0.029069767441860465,0.023255813953488372,0.023255813953488372,0.005813953488372093,0.03488372093023256,0.040697674418604654,0.040697674418604654,0.046511627906976744,0.011627906976744186,0.029069767441860465,0.03488372093023256,0.01744186046511628,0.023255813953488372,0.005813953488372093,0.023255813953488372,0.03488372093023256,0.029069767441860465,0.011627906976744186,0.03488372093023256,0.029069767441860465,0.011627906976744186,0.011627906976744186,0.046511627906976744,0.040697674418604654,0.023255813953488372,0.05232558139534884,0.03488372093023256,0.046511627906976744,0.011627906976744186
GSE12392 CD8A POS VS NEG SPLEEN DC DN,0.105,0.085,0.09,0.07,0.065,0.105,0.1,0.09,1.0,0.035,0.03,0.01,0.035,0.03,0.025,0.04,0.04,0.035,0.02,0.01,0.05,0.02,0.005,0.02,0.005,0.025,0.025,0.025,0.005,0.03,0.025,0.03,0.035,0.05,0.055,0.025,0.055,0.0,0.035,0.025
"GSE40666 UNTREATED VS IFNA STIM EFFECTOR CD8
TCELL 90MIN UP",0.03,0.04,0.035,0.04,0.025,0.03,0.035,0.025,0.035,1.0,0.075,0.035,0.01,0.025,0.03,0.04,0.05,0.03,0.06,0.02,0.015,0.06,0.06,0.045,0.025,0.03,0.035,0.09,0.01,0.02,0.02,0.04,0.05,0.045,0.04,0.005,0.02,0.005,0.015,0.005
