"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"CD8_c0_t_Teff","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007446625725629156","0.770662512310799186","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002323347226396297","161.12804047365477800","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c0_Tcm","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004370813403024205180082742081070885330775484868131858","0.709358204658261826","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000681846890871775981851204219463117674917516307591745","125.35943773383675648","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD4_c4_Tstr","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011082101090524977003675898393210625213233271728955494","0.708559268144248744","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001152538513414597545402204924452447974135957863402992","124.95537789253950223","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"CD8_c4_Tstr","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176007330633586923485298922684429313073161927406245358796051512432067284247546071723","0.637444447181304219","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013728571789419780244751307969793022415209316150052580398421854685235328217561098187","93.75446924362098855","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_10_SPP1","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026391195893603602105686291214244609134261914397498212025783317454222335385467381783959062","0.623515138910781030","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000001646810623760864771394824571768863609977943458403888430408879009143473728053164623319045","88.57854092966530857","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mph_02_CCL20","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000004400987301124853788919026230179199892503465512805336907534146634507009713545061975415749029315","0.608708603127327441","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000228851339658492411654027972382438166772209624974241800176223558726187368657954016035316689131","83.35644988457482896","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_09_IFIT1","0.000000000000000000000000000000000000000000000000000000000000000000000000000000023849930251135520945384046618637501270548366300900895316350874439614015680254256667439780554326375","0.597619782624855156","0.000000000000000000000000000000000000000000000000000000000000000000000000000001063025462622040267968541686336196561838213259225631184952312388991223135995405739528463739607240","79.62251288671154725","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"T_cell_exhaustion_Peng_et_al","0.000000000000000000000000000000000000000000000000000000000000000000000000000007268487516947812883087280961842832201350182565472677777926026703968157405929999004587688866140335636","0.589995388153716771","0.000000000000000000000000000000000000000000000000000000000000000000000000000283471013160964733122238115622661412701231838717657201934211994576317920778451943598327707790197193","77.13855595109163232","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_11_CCL4","0.000000000000000000000000000000000000000000000000000000000000000000000000000029479089411224301816691137499367646863203248218538295627794751817877556901056779962742987444985358442","0.588097527520486496","0.000000000000000000000000000000000000000000000000000000000000000000000000001021941766255775714493735011682635872994846688471400198843292854695595887377483085590002652730894818","76.53048593566333579","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Neu_08_CD74","0.000000000000000000000000000000000000000000000000000000000000000000000000009967090237210818408771647238412235693534753564426312612877939794386848605015748478849242002090004245217","0.580066747735450416","0.000000000000000000000000000000000000000000000000000000000000000000000000310973215400977512360936669304646795769225952871586072992826225587335624776751307541864809311921095510","74.00143160982922552","****","IOBR::batch_cor","<0.001","<0.001","***","***"
