"TF","MVL_CRC29"
"AHR","-2.630146458017770250"
"AR","0.798013446343106891"
"ARID2","-1.315910328414576336"
"ARID3A","2.353314702392718338"
"ARNT","-0.874808975966627878"
"ARNTL","1.794623331946525902"
"ASCL1","3.441796108146023325"
"ATF1","-0.297593310495335328"
"ATF2","0.972121930592748651"
"ATF3","-0.491148498008873002"
"ATF4","0.564855015281118034"
"ATF6","-3.089040840431265700"
"ATF7","-1.296595667984147937"
"BACH1","-0.258965090560689226"
"BACH2","-0.619088918574558944"
"BATF","-2.664512841988686098"
"BCL11A","0.605886316691183979"
"BCL6","-0.883109763758565536"
"BHLHE22","-0.542182229229022705"
"BHLHE40","-2.674692784792549460"
"CDX2","0.324498528196309755"
"CEBPA","1.335165829204781662"
"CEBPB","0.165217009022626149"
"CEBPD","1.960016744041547465"
"CEBPG","-2.000365914332145945"
"CLOCK","-0.374411582060345860"
"CREB1","-1.995886275419037847"
"CREB3","0.031516333579439046"
"CREB3L1","2.591453581214175905"
"CREM","-0.603267678653023554"
"CTCF","0.010184193542049627"
"CTCFL","4.217981112894750417"
"CUX1","1.068697701816671009"
"DUX4","-1.042692442106559092"
"E2F1","-0.948040291725836926"
"E2F2","-1.101640544347264772"
"E2F3","-0.028345678555987415"
"E2F4","0.415678228878843148"
"E2F5","-0.501128790162180482"
"E2F6","-3.096824405510377076"
"E2F7","-0.596926357444303224"
"EBF1","0.198578455521974534"
"EGR1","2.511591231340375430"
"EHF","-0.391603653179819822"
"ELF1","-0.002847272117522611"
"ELF3","-1.802873974793504530"
"ELF5","-0.199782759099337792"
"ELK1","3.237609690801510620"
"ELK4","0.570284904809953086"
"EOMES","-0.447219813141330191"
"EPAS1","3.076166311221743221"
"ERG","0.882613011940335923"
"ESR1","1.324445815979662600"
"ESR2","1.663236416844854348"
"ESRRA","0.970202411609344506"
"ETS1","0.494824499566502707"
"ETS2","-0.379023313171675924"
"ETV1","-0.899399609233013986"
"ETV4","0.154733809716888521"
"FLI1","-1.315896586185884676"
"FOS","2.029157337758010993"
"FOSL2","-0.132331837361131133"
"FOXA1","-1.652740516898608236"
"FOXJ2","-0.949091505192010798"
"FOXK2","-0.755938919797118025"
"FOXL2","1.042865198185737974"
"FOXM1","3.706660430544959528"
"FOXO1","-1.640577152905885017"
"FOXO3","-0.622642487551498869"
"FOXO4","-0.831393661597493061"
"FOXP1","3.987648402298449302"
"FOXP2","-1.098021867415763353"
"GABPA","-1.301230716213743088"
"GATA1","-1.092339574090869236"
"GATA2","1.895639453260615781"
"GATA3","-2.316614101210209498"
"GATA4","-1.380909451220609929"
"GATA6","1.327450701710344072"
"GFI1B","-0.367054801175165146"
"GLI2","1.070473051275768972"
"GRHL2","-0.102350034868925632"
"HBP1","2.441596343349494713"
"HHEX","-0.003743062184567011"
"HIF1A","4.571719021641775349"
"HINFP","0.400817814926941796"
"HMBOX1","0.947017929456418717"
"HNF1B","-1.415935510440117007"
"HNF4A","1.334028041791882169"
"HNF4G","-0.315676952811404676"
"HOXA9","0.734325417706993222"
"HOXB13","-2.502652691015763597"
"HSF1","0.005966613124245157"
"IKZF1","-0.783551442742978610"
"IRF1","-0.096293077729271065"
"IRF2","1.190887526129383200"
"IRF3","7.013467674021363507"
"IRF4","-1.571146092166154640"
"IRF9","0.526430786904267589"
"JUN","0.353620218116812934"
"JUNB","0.682408853762674683"
"JUND","0.605922089292741828"
"KDM5B","-0.593310333238136756"
"KLF1","4.667057875024228863"
"KLF13","-3.180181085695690246"
"KLF3","-3.213026833394942550"
"KLF4","-0.377782475890991343"
"KLF5","8.089212188650368063"
"KLF6","0.533837909528771415"
"KLF9","5.371898901289090311"
"KMT2A","2.152833526082192250"
"LEF1","-0.620817949093677268"
"LHX2","-0.362847582923799927"
"LYL1","2.351099490825680149"
"MAF","0.882099528756679407"
"MAFB","-0.965829954781001088"
"MAFF","-1.377370436443199786"
"MAFG","-0.426860626722382563"
"MAFK","-2.343661888528891790"
"MAX","2.759607611534405258"
"MAZ","6.825000483093307757"
"MBD1","-3.727862633710210538"
"MBD2","3.739469039366152714"
