Pathway,"REFERENCE REGULATION OF GF RTK RAS ERK
SIGNALING MRAS SHOC2 PP1 HOLOPHOSPHATASE","REFERENCE REGULATION OF GF RTK RAS ERK
SIGNALING UBIQUITINATION OF RTK BY CBL",REFERENCE GF RTK RAS PI3K SIGNALING PATHWAY,REFERENCE GF RTK PI3K SIGNALING PATHWAY,REFERENCE TGF BETA SIGNALING PATHWAY,REFERENCE IFN RIPK1 3 SIGNALING PATHWAY,"PATHOGEN HTLV 1 P12 TO JAK STAT SIGNALING
PATHWAY",REFERENCE PRL JAK STAT SIGNALING PATHWAY,"REFERENCE REGULATION OF FIBRINOLYTIC SYSTEM
C1INH","VARIANT TMPRSS2 ERG FUSION TO TRANSCRIPTIONAL
ACTIVATION","PATHOGEN HTLV 1 TAX TO SRF MEDIATED
TRANSCRIPTION","VARIANT PAX8 PPARG FUSION TO PPARG MEDIATED
TRANSCRIPTION","PATHOGEN HCV CORE TO RXRA PPARA MEDIATED
TRANSCRIPTION","PATHOGEN SHIGELLA IPAC TO ACTIN SIGNALING
PATHWAY","REFERENCE TIGHT JUNCTION ACTIN SIGNALING
PATHWAY","REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON","PATHOGEN SALMONELLA SOPB TO ARNO ARF ACTB G
SIGNALING PATHWAY","PATHOGEN SHIGELLA IPGD TO ARNO ARF ACTB G
SIGNALING PATHWAY","REFERENCE AUTOPHAGY VESICLE NUCLEATION
ELONGATION MATURATION PI3P SYNTHESIS BY
PI3KC3 C1",REFERENCE HOMOLOGOUS RECOMBINATION,REFERENCE MISMATCH REPAIR,REFERENCE OKAZAKI FRAGMENT MATURATION,"PATHOGEN HIV GP120 TO CXCR4 GNAQ PLCB G
CALCINEURIN","REFERENCE EGF EGFR PLCG CALCINEURIN SIGNALING
PATHWAY",REFERENCE CA2 CAM CAMK SIGNALING PATHWAY,"REFERENCE PDGF PDGFR PLCG CAMK SIGNALING
PATHWAY","REFERENCE ASSEMBLY AND TRAFFICKING OF
TELOMERASE",REFERENCE TELOMERE ELONGATION,REFERENCE WNT SIGNALING MODULATION LGR RSPO,REFERENCE WNT5A ROR SIGNALING PATHWAY,REFERENCE SEROTONIN METABOLISM,REFERENCE HEME BIOSYNTHESIS,"VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",REFERENCE ITGA B FAK CDC42 SIGNALING PATHWAY,REFERENCE TSC1 2 MTORC1 SIGNALING PATHWAY,"VARIANT FUS DDIT3 FUSION TO NFKB MEDIATED
TRANSCRIPTION",REFERENCE REGULATION OF SERCA,REFERENCE GLUCONEOGENESIS,REFERENCE BCR PLCG ITPR SIGNALING PATHWAY,REFERENCE COPI VESICLE FORMATION
"REFERENCE REGULATION OF GF RTK RAS ERK
SIGNALING MRAS SHOC2 PP1 HOLOPHOSPHATASE",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE REGULATION OF GF RTK RAS ERK
SIGNALING UBIQUITINATION OF RTK BY CBL",0.0,1.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE GF RTK RAS PI3K SIGNALING PATHWAY,0.0,0.2696629213483146,1.0,0.9325842696629213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.033707865168539325,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE GF RTK PI3K SIGNALING PATHWAY,0.0,0.2891566265060241,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.03614457831325301,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE TGF BETA SIGNALING PATHWAY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE IFN RIPK1 3 SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,1.0,0.0967741935483871,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATHOGEN HTLV 1 P12 TO JAK STAT SIGNALING
PATHWAY",0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE PRL JAK STAT SIGNALING PATHWAY,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE REGULATION OF FIBRINOLYTIC SYSTEM
C1INH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT TMPRSS2 ERG FUSION TO TRANSCRIPTIONAL
ACTIVATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
