Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	0.021	9	0.5625	14	8	0.7	0.8235	keep	KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN	KEGG_MEDICUS_PATHOGEN_HIV_GP120_TO_CXCR4_GNAQ_PLCB_G_CALCINEURIN	False	PPP3CA,EGFR,NFATC1,CALM3,NFATC2,PPP3CB,NFATC4,PPP3R1,PLCG1
KEGG_MEDICUS_REFERENCE_SEROTONIN_METABOLISM	KEGG_MEDICUS_REFERENCE_SEROTONIN_METABOLISM	0.0215	2	0.4	0	0	1	0	keep	itself		True	MAOB,MAOA
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	0.0226	10	0.2703	12	5	0.16	0.6154	keep	KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPAC_TO_ACTIN_SIGNALING_PATHWAY	False	CLDN2,ARPC1A,TJP1,CLDN9,CLDN7,ACTR2,ARPC5,CLDN19,ACTR3,CTTN
KEGG_MEDICUS_REFERENCE_PRL_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PRL_JAK_STAT_SIGNALING_PATHWAY	0.0262	1	0.2	2	1	0.4	0.3548	keep	KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY	False	STAT5A
KEGG_MEDICUS_REFERENCE_HEME_BIOSYNTHESIS	KEGG_MEDICUS_REFERENCE_HEME_BIOSYNTHESIS	0.0263	5	0.5556	0	0	1	0	keep	itself		True	HMBS,ALAD,FECH,UROD,ALAS1
KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY	0.0273	7	0.3684	0	0	1	0	keep	itself		True	CAMKK1,CALM3,PHKG2,CAMK2G,CAMK2D,MYLK,CAMK1D
KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_RXRA_PPARA_MEDIATED_TRANSCRIPTION	KEGG_MEDICUS_PATHOGEN_HCV_CORE_TO_RXRA_PPARA_MEDIATED_TRANSCRIPTION	0.0279	2	0.4	0	0	1	0	keep	itself		True	MYC,CCND1
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	0.0283	13	0.3611	0	0	1	0	keep	itself		True	PSMD12,PSMA6,PSMC4,PSMD2,PSMB1,PSMB3,PSMD13,PRNP,PSMB5,PSMD11,PSMB4,PSMA1,PSMB2
KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	0.0284	8	0.5	10	5	0.6958	0.395	keep	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO	False	FZD4,WNT5A,FZD7,ROR2,ROR1,FZD10,FZD6,FZD2
KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_CDC42_SIGNALING_PATHWAY	0.0306	9	0.3462	0	0	1	0	keep	itself		True	ITGA2B,FN1,ITGB1,ITGA5,SRC,ITGA3,ITGAV,ITGB5,PXN
KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION	KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION	0.0315	5	0.2632	0	0	1	0	keep	itself		True	NHP2,RUVBL1,TERF1,TERF2IP,POT1
KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TSC1_2_MTORC1_SIGNALING_PATHWAY	0.0319	9	0.8182	0	0	1	0	keep	itself		True	TTI1,AKT1S1,TELO2,TSC2,RPTOR,DEPTOR,MTOR,TBC1D7,RHEB
KEGG_MEDICUS_REFERENCE_ANXA2_S100A10_REGULATED_ACTIN_CYTOSKELETON	KEGG_MEDICUS_REFERENCE_ANXA2_S100A10_REGULATED_ACTIN_CYTOSKELETON	0.0336	2	0.4	0	0	1	0	keep	itself		True	AHNAK,ANXA2
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	0.0358	18	0.6207	28	18	0.3793	0.6069	keep	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	False	CYFIP1,PIK3CA,ARF1,CYTH4,ARPC2,CYFIP2,ARPC4,ARF6,NCKAP1,CYTH1,BRK1,ARPC1A,ABI1,ACTR2,ARPC5,ACTR3,CYTH3,PIK3CD
KEGG_MEDICUS_VARIANT_FUS_DDIT3_FUSION_TO_NFKB_MEDIATED_TRANSCRIPTION	KEGG_MEDICUS_VARIANT_FUS_DDIT3_FUSION_TO_NFKB_MEDIATED_TRANSCRIPTION	0.0359	3	0.6	0	0	1	0	keep	itself		True	NFKB1,DDIT3,RELA
KEGG_MEDICUS_REFERENCE_REGULATION_OF_SERCA	KEGG_MEDICUS_REFERENCE_REGULATION_OF_SERCA	0.0376	4	0.5	0	0	1	0	keep	itself		True	ATP2A1,ELN,ARLN,ATP2A3
KEGG_MEDICUS_REFERENCE_GLUCONEOGENESIS	KEGG_MEDICUS_REFERENCE_GLUCONEOGENESIS	0.0384	1	0.2	0	0	1	0	keep	itself		True	MDH1
KEGG_MEDICUS_REFERENCE_BCR_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_BCR_PLCG_ITPR_SIGNALING_PATHWAY	0.0419	1	0.1111	0	0	1	0	keep	itself		True	SYK
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION	KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION	0.0419	8	0.3478	0	0	1	0	keep	itself		True	KDELR2,TMED5,TMED4,TMED10,KDELR1,COPZ2,COPG2,TMED7
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	0.0419	5	0.2941	11	3	0.7946	0.9326	keep	KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CA2_CAM_CAMK_SIGNALING_PATHWAY	False	CAMK2G,PLCG1,CAMK2D,PDGFRB,CAMK1D
KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION	KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION	0.0486	7	0.6364	5	4	0.3485	0.1162	keep	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION	False	RNASEH2B,POLD3,RNASEH2C,POLD1,FEN1,POLD2,PCNA
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION	0.0486	18	0.6	0	0	1	0	keep	itself		True	RFC4,POLA1,GINS2,WDHD1,GINS3,MCM10,PRIM2,RPA2,MCM4,MCM3,RFC5,PCNA,RFC2,PRIM1,MCM2,POLA2,CDC45,MCM5
