Pathway,ANTIGEN BINDING,ATP DEPENDENT ACTIVITY ACTING ON DNA,CATALYTIC ACTIVITY ACTING ON DNA,DNA HELICASE ACTIVITY,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,ISOMERASE ACTIVITY,"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",ATP HYDROLYSIS ACTIVITY,DAMAGED DNA BINDING,SINGLE STRANDED DNA BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA,CATALYTIC ACTIVITY ACTING ON RNA,TRNA BINDING,"TRANSFERASE ACTIVITY TRANSFERRING ONE CARBON
GROUPS","S ADENOSYLMETHIONINE DEPENDENT
METHYLTRANSFERASE ACTIVITY",STRUCTURAL CONSTITUENT OF RIBOSOME,MONOATOMIC CATION CHANNEL ACTIVITY,SODIUM CHANNEL ACTIVITY,GATED CHANNEL ACTIVITY,LIGAND GATED CHANNEL ACTIVITY,"CALCIUM ION TRANSMEMBRANE TRANSPORTER
ACTIVITY",TRANSPORTER REGULATOR ACTIVITY,VITAMIN BINDING,"OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN","OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED
DONORS WITH INCORPORATION OR REDUCTION OF
MOLECULAR OXYGEN REDUCED FLAVIN OR
FLAVOPROTEIN AS ONE DONOR AND INCORPORATION
OF ONE ATOM OF OXYGEN",MONOOXYGENASE ACTIVITY,IRON ION BINDING,ENDOPEPTIDASE REGULATOR ACTIVITY,PEPTIDASE REGULATOR ACTIVITY,SERINE TYPE ENDOPEPTIDASE INHIBITOR ACTIVITY,PEPTIDASE INHIBITOR ACTIVITY,ENZYME INHIBITOR ACTIVITY,UNFOLDED PROTEIN BINDING,HISTONE BINDING,RIBONUCLEOPROTEIN COMPLEX BINDING,STRUCTURAL CONSTITUENT OF NUCLEAR PORE,MOLECULAR CARRIER ACTIVITY,NUCLEOCYTOPLASMIC CARRIER ACTIVITY,SNORNA BINDING,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY"
ANTIGEN BINDING,1.0,0.0,0.0,0.0,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.011627906976744186,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.01744186046511628,0.01744186046511628,0.0,0.01744186046511628,0.023255813953488372,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP DEPENDENT ACTIVITY ACTING ON DNA,0.0,1.0,1.0,0.5371900826446281,0.6776859504132231,0.6776859504132231,0.6776859504132231,0.7024793388429752,0.09090909090909091,0.2644628099173554,0.0,0.10743801652892562,0.008264462809917356,0.0,0.0,0.0,0.008264462809917356,0.0,0.008264462809917356,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.008264462809917356,0.14049586776859505,0.04132231404958678,0.0,0.01652892561983471,0.0,0.008264462809917356,0.0
CATALYTIC ACTIVITY ACTING ON DNA,0.0,0.4745098039215686,1.0,0.2549019607843137,0.3411764705882353,0.34901960784313724,0.3411764705882353,0.3333333333333333,0.1568627450980392,0.19215686274509805,0.00784313725490196,0.12549019607843137,0.011764705882352941,0.027450980392156862,0.023529411764705882,0.00392156862745098,0.00392156862745098,0.0,0.00392156862745098,0.00392156862745098,0.0,0.0,0.00392156862745098,0.03529411764705882,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.011764705882352941,0.00784313725490196,0.07450980392156863,0.03137254901960784,0.0,0.011764705882352941,0.0,0.011764705882352941,0.0
DNA HELICASE ACTIVITY,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461538461538461,0.12307692307692308,0.3230769230769231,0.0,0.18461538461538463,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.06153846153846154,0.0,0.015384615384615385,0.0,0.015384615384615385,0.0
NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,0.006289308176100629,0.5157232704402516,0.5471698113207547,0.4088050314465409,1.0,1.0,1.0,0.8050314465408805,0.050314465408805034,0.16981132075471697,0.0,0.5031446540880503,0.012578616352201259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012578616352201259,0.006289308176100629,0.050314465408805034,0.07547169811320754,0.0,0.006289308176100629,0.0,0.018867924528301886,0.0
ISOMERASE ACTIVITY,0.002257336343115124,0.18510158013544017,0.20090293453724606,0.14672686230248308,0.35891647855530473,1.0,0.6410835214446953,0.43115124153498874,0.01805869074492099,0.06320541760722348,0.01805869074492099,0.1986455981941309,0.009029345372460496,0.0,0.0,0.0,0.0,0.0,0.002257336343115124,0.002257336343115124,0.0,0.006772009029345372,0.006772009029345372,0.013544018058690745,0.004514672686230248,0.009029345372460496,0.013544018058690745,0.004514672686230248,0.004514672686230248,0.0,0.002257336343115124,0.011286681715575621,0.01580135440180587,0.01805869074492099,0.029345372460496615,0.0,0.002257336343115124,0.0,0.009029345372460496,0.0
"MACROMOLECULAR CONFORMATION ISOMERASE
ACTIVITY",0.0035211267605633804,0.2887323943661972,0.30633802816901406,0.22887323943661972,0.5598591549295775,1.0,1.0,0.6690140845070423,0.028169014084507043,0.09507042253521127,0.0,0.28169014084507044,0.007042253521126761,0.0,0.0,0.0,0.0,0.0,0.0035211267605633804,0.0035211267605633804,0.0,0.0035211267605633804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.0035211267605633804,0.028169014084507043,0.04225352112676056,0.0,0.0035211267605633804,0.0,0.01056338028169014,0.0
ATP HYDROLYSIS ACTIVITY,0.004987531172069825,0.2119700748129676,0.2119700748129676,0.1371571072319202,0.3192019950124688,0.4763092269326683,0.47381546134663344,1.0,0.02493765586034913,0.0798004987531172,0.0,0.18703241895261846,0.004987531172069825,0.0,0.0,0.0,0.012468827930174564,0.0,0.007481296758104738,0.007481296758104738,0.022443890274314215,0.014962593516209476,0.0024937655860349127,0.0,0.0,0.0,0.0024937655860349127,0.00997506234413965,0.017456359102244388,0.0,0.0,0.017456359102244388,0.08728179551122195,0.04488778054862843,0.0399002493765586,0.0,0.00997506234413965,0.0,0.007481296758104738,0.0
DAMAGED DNA BINDING,0.0,0.1506849315068493,0.547945205479452,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.1095890410958904,0.136986301369863,1.0,0.3013698630136986,0.0,0.0273972602739726,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0273972602739726,0.0
SINGLE STRANDED DNA BINDING,0.016260162601626018,0.2601626016260163,0.3983739837398374,0.17073170731707318,0.21951219512195122,0.22764227642276422,0.21951219512195122,0.2601626016260163,0.17886178861788618,1.0,0.0,0.06504065040650407,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016260162601626018,0.0,0.0,0.0,0.008130081300813009,0.024390243902439025,0.0,0.008130081300813009,0.04878048780487805,0.008130081300813009,0.008130081300813009,0.024390243902439025,0.0,0.008130081300813009,0.0,0.0,0.0
