"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"FOXA1","2.9647021044116605992","2.9647021044116605992","0.003029761577272375040054130934663589869160205125808715820312","HVL_TOR10=2.965","Activated","29","collectri","29","2.9647021044116605992",NA,"6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=37); GTEx--Coexpression(rank=156); ReMap--ChIP-seq(rank=232); ARCHS4--Coexpression(rank=325); Enrichr--Queries(rank=329)","382","0.097080000000000000","GTEx Coexpression,0.09708"
"HCFC1","2.9615875836836229595","-2.9615875836836229595","0.003060574330451654254808824262568123231176286935806274414062","HVL_TOR10=-2.962","Repressed","30","collectri","30","2.9615875836836229595",NA,"0","",NA,NA,NA
"GATA1","2.9437859057190274292","2.9437859057190274292","0.003242242004521271592221154378421488218009471893310546875000","HVL_TOR10=2.944","Activated","31","collectri","31","2.9437859057190274292",NA,"6","Literature--ChIP-seq(rank=40); ENCODE--ChIP-seq(rank=41); Enrichr--Queries(rank=270); ReMap--ChIP-seq(rank=278); ARCHS4--Coexpression(rank=1080); GTEx--Coexpression(rank=1305)","702","0.192299999999999999","Enrichr Queries,0.1923"
"FOXA2","2.7890226228336967296","2.7890226228336967296","0.005286737194555751404023702377799054374918341636657714843750","HVL_TOR10=2.789","Activated","32","collectri","32","2.7890226228336967296",NA,"6","Literature--ChIP-seq(rank=11); ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=189); ARCHS4--Coexpression(rank=307); Enrichr--Queries(rank=676)","270","0.067070000000000005","Literature ChIP-seq,0.06707"
"PHOX2B","2.7734140771380610957","2.7734140771380610957","0.005547148702880254009239813228759885532781481742858886718750","HVL_TOR10=2.773","Activated","33","collectri","33","2.7734140771380610957",NA,"3","GTEx--Coexpression(rank=172); ARCHS4--Coexpression(rank=216); Enrichr--Queries(rank=1274)","419","0.106999999999999998","GTEx Coexpression,0.107"
"NR1I3","2.7270086256272110248","2.7270086256272110248","0.006391136836297669522599651514838114962913095951080322265625","HVL_TOR10=2.727","Activated","34","collectri","34","2.7270086256272110248",NA,"3","Enrichr--Queries(rank=284); GTEx--Coexpression(rank=482); ARCHS4--Coexpression(rank=1086)","730","0.202300000000000008","Enrichr Queries,0.2023"
"ESR2","2.6862243560223255656","2.6862243560223255656","0.007226454685277322077807671263371958048082888126373291015625","HVL_TOR10=2.686","Activated","35","collectri","35","2.6862243560223255656",NA,"5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=127); Enrichr--Queries(rank=505); GTEx--Coexpression(rank=801); ARCHS4--Coexpression(rank=1390)","324","0.079269999999999993","Literature ChIP-seq,0.07927"
"TP53","2.6805876825059145041","-2.6805876825059145041","0.007349300777893540831398055956924508791416883468627929687500","HVL_TOR10=-2.681","Repressed","36","collectri","36","2.6805876825059145041",NA,"5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","0.007985000000000001","ARCHS4 Coexpression,0.007985"
"ERG","2.6783378563116300164","2.6783378563116300164","0.007398854522467870897806108132499502971768379211425781250000","HVL_TOR10=2.678","Activated","37","collectri","37","2.6783378563116300164",NA,"5","ReMap--ChIP-seq(rank=94); Literature--ChIP-seq(rank=105); GTEx--Coexpression(rank=802); Enrichr--Queries(rank=1007); ARCHS4--Coexpression(rank=1290)","1032","0.316500000000000004","ReMap ChIP-seq,0.3165"
"TBX15","2.6428803888506924302","-2.6428803888506924302","0.008220406945608292603733247005948214791715145111083984375000","HVL_TOR10=-2.643","Repressed","38","collectri","38","2.6428803888506924302",NA,"3","ARCHS4--Coexpression(rank=611); Enrichr--Queries(rank=808); GTEx--Coexpression(rank=1001)","1142","0.375300000000000022","ARCHS4 Coexpression,0.3753"
