Pathway,"GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN","GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP","GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN",GSE14000 TRANSLATED RNA VS MRNA DC DN,GSE42724 NAIVE VS B1 BCELL DN,"GSE3720 UNSTIM VS PMA STIM VD1 GAMMADELTA
TCELL UP",GSE22886 NEUTROPHIL VS MONOCYTE DN,GSE3982 NEUTROPHIL VS BCELL DN,GSE45837 WT VS GFI1 KO PDC DN,"GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP","GSE24634 TREG VS TCONV POST DAY5 IL4
CONVERSION UP","GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION UP",GSE37532 TREG VS TCONV CD4 TCELL FROM LN UP,"GSE26156 DOUBLE POSITIVE VS CD4 SINGLE
POSITIVE THYMOCYTE DN",GSE22886 UNSTIM VS IL2 STIM NKCELL DN,GSE22886 UNSTIM VS IL15 STIM NKCELL DN,"GSE21927 SPLEEN C57BL6 VS EL4 TUMOR BALBC
MONOCYTES DN","GSE24210 CTRL VS IL35 TREATED TCONV CD4 TCELL
DN","GSE15930 NAIVE VS 48H IN VITRO STIM CD8 TCELL
DN","GSE15930 NAIVE VS 48H IN VITRO STIM IFNAB CD8
TCELL DN",GSE18893 TCONV VS TREG 24H TNF STIM UP,GSE13547 2H VS 12 H ANTI IGM STIM BCELL DN,"GSE17974 CTRL VS ACT IL4 AND ANTI IL12 24H
CD4 TCELL DN",GSE14769 UNSTIM VS 80MIN LPS BMDM DN,GSE14769 UNSTIM VS 60MIN LPS BMDM DN,GSE14769 UNSTIM VS 40MIN LPS BMDM DN,GSE14769 UNSTIM VS 120MIN LPS BMDM DN,GSE9988 LOW LPS VS CTRL TREATED MONOCYTE UP,GSE9988 LPS VS CTRL TREATED MONOCYTE UP,"GSE9988 LOW LPS VS VEHICLE TREATED MONOCYTE
UP","GSE36891 POLYIC TLR3 VS PAM TLR2 STIM
PERITONEAL MACROPHAGE UP","GSE29617 CTRL VS DAY7 TIV FLU VACCINE PBMC
2008 UP",GSE7219 WT VS NIK NFKB2 KO DC UP,"GSE17974 CTRL VS ACT IL4 AND ANTI IL12 12H
CD4 TCELL UP","GSE19888 ADENOSINE A3R INH PRETREAT AND ACT
BY A3R VS A3R INH AND TCELL MEMBRANES ACT
MAST CELL UP","GSE19888 CTRL VS A3R INHIBITOR TREATED MAST
CELL DN",GSE18893 TCONV VS TREG 2H TNF STIM DN,"GSE39556 CD8A DC VS NK CELL MOUSE 3H POST
POLYIC INJ DN","GSE21546 UNSTIM VS ANTI CD3 STIM SAP1A KO DP
THYMOCYTES UP","GSE21546 UNSTIM VS ANTI CD3 STIM DP
THYMOCYTES UP"
"GSE2405 0H VS 9H A PHAGOCYTOPHILUM STIM
NEUTROPHIL DN",1.0,0.55,0.35,0.165,0.105,0.115,0.095,0.09,0.055,0.045,0.025,0.03,0.005,0.075,0.06,0.06,0.04,0.05,0.045,0.015,0.065,0.06,0.015,0.0,0.005,0.01,0.005,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.03,0.015,0.005,0.0,0.005,0.015
"GSE2405 0H VS 24H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP",0.55,1.0,0.3,0.155,0.11,0.095,0.085,0.09,0.07,0.055,0.01,0.025,0.005,0.045,0.02,0.015,0.03,0.045,0.01,0.01,0.02,0.03,0.015,0.01,0.0,0.005,0.025,0.005,0.005,0.01,0.005,0.01,0.01,0.0,0.02,0.01,0.01,0.005,0.0,0.01
"GSE41978 ID2 KO VS ID2 KO AND BIM KO KLRG1
LOW EFFECTOR CD8 TCELL DN",0.35,0.3,1.0,0.125,0.095,0.07,0.065,0.05,0.035,0.02,0.01,0.04,0.015,0.045,0.05,0.035,0.035,0.02,0.03,0.015,0.035,0.025,0.015,0.02,0.025,0.02,0.005,0.01,0.01,0.01,0.01,0.015,0.03,0.005,0.025,0.02,0.005,0.0,0.015,0.005
GSE14000 TRANSLATED RNA VS MRNA DC DN,0.16923076923076924,0.15897435897435896,0.1282051282051282,1.0,0.09743589743589744,0.06666666666666667,0.05641025641025641,0.041025641025641026,0.041025641025641026,0.041025641025641026,0.010256410256410256,0.015384615384615385,0.020512820512820513,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.015384615384615385,0.035897435897435895,0.020512820512820513,0.020512820512820513,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.0,0.0,0.0,0.005128205128205128,0.0,0.0,0.005128205128205128,0.0,0.0,0.0,0.010256410256410256,0.010256410256410256,0.015384615384615385,0.005128205128205128,0.015384615384615385,0.005128205128205128,0.010256410256410256
GSE42724 NAIVE VS B1 BCELL DN,0.10552763819095477,0.11055276381909548,0.09547738693467336,0.09547738693467336,1.0,0.05527638190954774,0.07035175879396985,0.02512562814070352,0.05527638190954774,0.04020100502512563,0.01507537688442211,0.035175879396984924,0.04522613065326633,0.010050251256281407,0.05025125628140704,0.04522613065326633,0.04522613065326633,0.05527638190954774,0.01507537688442211,0.035175879396984924,0.03015075376884422,0.010050251256281407,0.04020100502512563,0.0,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0
"GSE3720 UNSTIM VS PMA STIM VD1 GAMMADELTA
TCELL UP",0.13142857142857142,0.10857142857142857,0.08,0.07428571428571429,0.06285714285714286,1.0,0.05142857142857143,0.05714285714285714,0.04,0.05142857142857143,0.011428571428571429,0.017142857142857144,0.005714285714285714,0.017142857142857144,0.017142857142857144,0.04,0.045714285714285714,0.017142857142857144,0.017142857142857144,0.017142857142857144,0.02857142857142857,0.02857142857142857,0.017142857142857144,0.011428571428571429,0.022857142857142857,0.02857142857142857,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.017142857142857144,0.0,0.017142857142857144,0.017142857142857144,0.022857142857142857,0.0,0.0,0.0,0.0
GSE22886 NEUTROPHIL VS MONOCYTE DN,0.09547738693467336,0.08542713567839195,0.06532663316582915,0.05527638190954774,0.07035175879396985,0.04522613065326633,1.0,0.06532663316582915,0.05527638190954774,0.04020100502512563,0.020100502512562814,0.03015075376884422,0.01507537688442211,0.04522613065326633,0.05025125628140704,0.05527638190954774,0.06532663316582915,0.04522613065326633,0.05527638190954774,0.05025125628140704,0.02512562814070352,0.03015075376884422,0.020100502512562814,0.010050251256281407,0.02512562814070352,0.010050251256281407,0.01507537688442211,0.0,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.0,0.01507537688442211,0.020100502512562814,0.020100502512562814,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.01507537688442211
GSE3982 NEUTROPHIL VS BCELL DN,0.09090909090909091,0.09090909090909091,0.050505050505050504,0.04040404040404041,0.025252525252525252,0.050505050505050504,0.06565656565656566,1.0,0.045454545454545456,0.025252525252525252,0.03535353535353535,0.06060606060606061,0.025252525252525252,0.03535353535353535,0.045454545454545456,0.050505050505050504,0.06060606060606061,0.04040404040404041,0.04040404040404041,0.07575757575757576,0.030303030303030304,0.03535353535353535,0.010101010101010102,0.010101010101010102,0.015151515151515152,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.005050505050505051,0.0,0.010101010101010102,0.005050505050505051,0.015151515151515152,0.005050505050505051,0.010101010101010102,0.025252525252525252,0.005050505050505051,0.005050505050505051
GSE45837 WT VS GFI1 KO PDC DN,0.055,0.07,0.035,0.04,0.055,0.035,0.055,0.045,1.0,0.08,0.04,0.04,0.055,0.09,0.04,0.05,0.06,0.08,0.035,0.04,0.045,0.035,0.05,0.0,0.005,0.005,0.005,0.005,0.01,0.01,0.0,0.0,0.005,0.0,0.005,0.0,0.005,0.015,0.0,0.01
"GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP",0.045,0.055,0.02,0.04,0.04,0.045,0.04,0.025,0.08,1.0,0.015,0.05,0.03,0.03,0.07,0.03,0.075,0.035,0.05,0.04,0.01,0.03,0.02,0.0,0.01,0.01,0.005,0.0,0.0,0.005,0.0,0.0,0.015,0.01,0.0,0.01,0.015,0.005,0.0,0.0
"GSE24634 TREG VS TCONV POST DAY5 IL4
CONVERSION UP",0.025,0.01,0.01,0.01,0.015,0.01,0.02,0.035,0.04,0.015,1.0,0.125,0.08,0.09,0.125,0.12,0.09,0.045,0.065,0.075,0.085,0.075,0.095,0.01,0.005,0.005,0.005,0.015,0.015,0.01,0.0,0.005,0.005,0.0,0.005,0.0,0.0,0.01,0.0,0.0
"GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION UP",0.03,0.025,0.04,0.015,0.035,0.015,0.03,0.06,0.04,0.05,0.125,1.0,0.08,0.055,0.145,0.115,0.075,0.07,0.085,0.08,0.105,0.08,0.07,0.005,0.01,0.01,0.01,0.0,0.0,0.015,0.01,0.005,0.02,0.0,0.0,0.0,0.0,0.0,0.005,0.0
GSE37532 TREG VS TCONV CD4 TCELL FROM LN UP,0.005,0.005,0.015,0.02,0.045,0.005,0.015,0.025,0.055,0.03,0.08,0.08,1.0,0.06,0.075,0.03,0.08,0.085,0.035,0.065,0.03,0.03,0.065,0.025,0.01,0.005,0.015,0.01,0.01,0.015,0.015,0.005,0.02,0.0,0.005,0.0,0.005,0.005,0.0,0.0
"GSE26156 DOUBLE POSITIVE VS CD4 SINGLE
POSITIVE THYMOCYTE DN",0.07537688442211055,0.04522613065326633,0.04522613065326633,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.04522613065326633,0.035175879396984924,0.09045226130653267,0.03015075376884422,0.09045226130653267,0.05527638190954774,0.06030150753768844,1.0,0.1507537688442211,0.15577889447236182,0.07537688442211055,0.07537688442211055,0.08040201005025126,0.08040201005025126,0.05527638190954774,0.09045226130653267,0.12562814070351758,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.02512562814070352,0.0,0.0,0.0,0.0,0.010050251256281407,0.0,0.0
GSE22886 UNSTIM VS IL2 STIM NKCELL DN,0.06,0.02,0.05,0.01,0.05,0.015,0.05,0.045,0.04,0.07,0.125,0.145,0.075,0.15,1.0,0.555,0.1,0.065,0.115,0.1,0.12,0.13,0.085,0.005,0.015,0.015,0.015,0.01,0.01,0.015,0.005,0.005,0.035,0.0,0.0,0.0,0.0,0.01,0.005,0.0
GSE22886 UNSTIM VS IL15 STIM NKCELL DN,0.06,0.015,0.035,0.005,0.045,0.035,0.055,0.05,0.05,0.03,0.12,0.115,0.03,0.155,0.555,1.0,0.095,0.07,0.15,0.12,0.12,0.15,0.11,0.005,0.01,0.01,0.015,0.015,0.01,0.005,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.005,0.005,0.0
"GSE21927 SPLEEN C57BL6 VS EL4 TUMOR BALBC
MONOCYTES DN",0.04,0.03,0.035,0.015,0.045,0.04,0.065,0.06,0.06,0.075,0.09,0.075,0.08,0.075,0.1,0.095,1.0,0.065,0.1,0.08,0.1,0.06,0.065,0.015,0.015,0.02,0.025,0.005,0.0,0.015,0.02,0.02,0.025,0.0,0.0,0.0,0.0,0.01,0.005,0.0
"GSE24210 CTRL VS IL35 TREATED TCONV CD4 TCELL
DN",0.05025125628140704,0.04522613065326633,0.020100502512562814,0.035175879396984924,0.05527638190954774,0.01507537688442211,0.04522613065326633,0.04020100502512563,0.08040201005025126,0.035175879396984924,0.04522613065326633,0.07035175879396985,0.08542713567839195,0.07537688442211055,0.06532663316582915,0.07035175879396985,0.06532663316582915,1.0,0.09547738693467336,0.08542713567839195,0.06030150753768844,0.06030150753768844,0.04020100502512563,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.010050251256281407,0.0,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704
"GSE15930 NAIVE VS 48H IN VITRO STIM CD8 TCELL
DN",0.045,0.01,0.03,0.02,0.015,0.015,0.055,0.04,0.035,0.05,0.065,0.085,0.035,0.08,0.115,0.15,0.1,0.095,1.0,0.455,0.08,0.12,0.075,0.01,0.02,0.015,0.0,0.005,0.005,0.005,0.01,0.015,0.025,0.0,0.005,0.0,0.0,0.0,0.0,0.0
"GSE15930 NAIVE VS 48H IN VITRO STIM IFNAB CD8
TCELL DN",0.015,0.01,0.015,0.02,0.035,0.015,0.05,0.075,0.04,0.04,0.075,0.08,0.065,0.08,0.1,0.12,0.08,0.085,0.455,1.0,0.055,0.095,0.06,0.02,0.025,0.02,0.01,0.01,0.01,0.01,0.0,0.005,0.015,0.005,0.0,0.0,0.005,0.0,0.01,0.0
GSE18893 TCONV VS TREG 24H TNF STIM UP,0.065,0.02,0.035,0.005,0.03,0.025,0.025,0.03,0.045,0.01,0.085,0.105,0.03,0.055,0.12,0.12,0.1,0.06,0.08,0.055,1.0,0.13,0.105,0.0,0.0,0.025,0.005,0.015,0.01,0.005,0.005,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.0
