Pathway,STK33 UP,STK33 NOMO UP,STK33 SKM UP,HOXA9 DN.V1 UP,RPS14 DN.V1 UP,EGFR UP.V1 UP,MEK UP.V1 UP,RAF UP.V1 UP,LTE2 UP.V1 UP,E2F1 UP.V1 DN,EIF4E DN,TGFB UP.V1 UP,CSR EARLY UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 UP,KRAS.LUNG.BREAST UP.V1 UP,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,PGF UP.V1 UP,TBK1.DF DN,LEF1 UP.V1 UP,P53 DN.V1 UP,ESC V6.5 UP EARLY.V1 DN,CORDENONSI YAP CONSERVED SIGNATURE,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,RELA DN.V1 UP,LTE2 UP.V1 DN,LEF1 UP.V1 DN,TBK1.DF UP,BCAT BILD ET AL DN,MYC UP.V1 DN,CAMP UP.V1 DN,VEGF A UP.V1 UP,SIRNA EIF4GI UP,MTOR UP.N4.V1 DN,MYC UP.V1 UP,RPS14 DN.V1 DN,CSR LATE UP.V1 UP,RB P130 DN.V1 DN,RB DN.V1 DN
STK33 UP,1.0,0.6503496503496503,0.6153846153846154,0.07692307692307693,0.0944055944055944,0.07692307692307693,0.027972027972027972,0.03146853146853147,0.017482517482517484,0.027972027972027972,0.006993006993006993,0.04195804195804196,0.01048951048951049,0.04895104895104895,0.03146853146853147,0.038461538461538464,0.03146853146853147,0.04195804195804196,0.027972027972027972,0.02097902097902098,0.027972027972027972,0.027972027972027972,0.006993006993006993,0.03146853146853147,0.006993006993006993,0.04895104895104895,0.027972027972027972,0.017482517482517484,0.06293706293706294,0.0034965034965034965,0.03496503496503497,0.024475524475524476,0.02097902097902098,0.0034965034965034965,0.027972027972027972,0.0034965034965034965,0.0034965034965034965,0.0,0.006993006993006993,0.013986013986013986
STK33 NOMO UP,0.6413793103448275,1.0,0.3,0.06896551724137931,0.09655172413793103,0.06896551724137931,0.03103448275862069,0.034482758620689655,0.03103448275862069,0.03793103448275862,0.013793103448275862,0.034482758620689655,0.020689655172413793,0.05862068965517241,0.04482758620689655,0.03793103448275862,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.020689655172413793,0.02413793103448276,0.02413793103448276,0.010344827586206896,0.027586206896551724,0.010344827586206896,0.041379310344827586,0.020689655172413793,0.02413793103448276,0.06551724137931035,0.0034482758620689655,0.027586206896551724,0.02413793103448276,0.020689655172413793,0.0034482758620689655,0.02413793103448276,0.006896551724137931,0.0034482758620689655,0.010344827586206896,0.010344827586206896,0.010344827586206896
STK33 SKM UP,0.6330935251798561,0.3129496402877698,1.0,0.08273381294964029,0.08273381294964029,0.07913669064748201,0.03237410071942446,0.02877697841726619,0.02158273381294964,0.03597122302158273,0.01079136690647482,0.03597122302158273,0.0035971223021582736,0.017985611510791366,0.0035971223021582736,0.02877697841726619,0.025179856115107913,0.039568345323741004,0.03237410071942446,0.017985611510791366,0.02877697841726619,0.025179856115107913,0.007194244604316547,0.02877697841726619,0.01079136690647482,0.03597122302158273,0.03597122302158273,0.007194244604316547,0.0539568345323741,0.0035971223021582736,0.03237410071942446,0.025179856115107913,0.014388489208633094,0.0035971223021582736,0.03237410071942446,0.0035971223021582736,0.0035971223021582736,0.0,0.014388489208633094,0.007194244604316547
HOXA9 DN.V1 UP,0.11458333333333333,0.10416666666666667,0.11979166666666667,1.0,0.17708333333333334,0.046875,0.046875,0.041666666666666664,0.03125,0.03125,0.036458333333333336,0.015625,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.041666666666666664,0.026041666666666668,0.03125,0.046875,0.005208333333333333,0.020833333333333332,0.005208333333333333,0.005208333333333333,0.010416666666666666,0.005208333333333333,0.026041666666666668,0.057291666666666664,0.036458333333333336,0.08854166666666667,0.010416666666666666,0.03125,0.026041666666666668,0.015625,0.005208333333333333,0.046875,0.005208333333333333,0.0,0.010416666666666666,0.015625,0.005208333333333333
RPS14 DN.V1 UP,0.14136125654450263,0.14659685863874344,0.12041884816753927,0.17801047120418848,1.0,0.031413612565445025,0.05759162303664921,0.05235602094240838,0.05235602094240838,0.031413612565445025,0.020942408376963352,0.010471204188481676,0.0,0.06806282722513089,0.041884816753926704,0.05235602094240838,0.04712041884816754,0.015706806282722512,0.010471204188481676,0.03664921465968586,0.04712041884816754,0.031413612565445025,0.02617801047120419,0.020942408376963352,0.010471204188481676,0.031413612565445025,0.02617801047120419,0.03664921465968586,0.06282722513089005,0.015706806282722512,0.015706806282722512,0.03664921465968586,0.041884816753926704,0.005235602094240838,0.015706806282722512,0.0,0.0,0.0,0.0,0.010471204188481676
EGFR UP.V1 UP,0.11458333333333333,0.10416666666666667,0.11458333333333333,0.046875,0.03125,1.0,0.3333333333333333,0.234375,0.20833333333333334,0.046875,0.03125,0.08854166666666667,0.026041666666666668,0.07291666666666667,0.057291666666666664,0.09375,0.08854166666666667,0.036458333333333336,0.06770833333333333,0.03125,0.0625,0.052083333333333336,0.020833333333333332,0.057291666666666664,0.046875,0.020833333333333332,0.052083333333333336,0.020833333333333332,0.08854166666666667,0.015625,0.036458333333333336,0.026041666666666668,0.036458333333333336,0.015625,0.010416666666666666,0.0,0.015625,0.005208333333333333,0.010416666666666666,0.03125
MEK UP.V1 UP,0.041025641025641026,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.05641025641025641,0.3282051282051282,1.0,0.24615384615384617,0.2358974358974359,0.03076923076923077,0.02564102564102564,0.06666666666666667,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.046153846153846156,0.05641025641025641,0.0,0.046153846153846156,0.05641025641025641,0.06666666666666667,0.05641025641025641,0.010256410256410256,0.046153846153846156,0.06153846153846154,0.010256410256410256,0.020512820512820513,0.046153846153846156,0.08717948717948718,0.005128205128205128,0.020512820512820513,0.03076923076923077,0.041025641025641026,0.0,0.010256410256410256,0.010256410256410256,0.02564102564102564,0.005128205128205128,0.010256410256410256,0.020512820512820513
RAF UP.V1 UP,0.046632124352331605,0.05181347150259067,0.04145077720207254,0.04145077720207254,0.05181347150259067,0.23316062176165803,0.24870466321243523,1.0,0.16580310880829016,0.02072538860103627,0.02072538860103627,0.05181347150259067,0.015544041450777202,0.02072538860103627,0.015544041450777202,0.04145077720207254,0.025906735751295335,0.025906735751295335,0.046632124352331605,0.025906735751295335,0.07772020725388601,0.031088082901554404,0.010362694300518135,0.04145077720207254,0.046632124352331605,0.010362694300518135,0.04145077720207254,0.025906735751295335,0.07253886010362694,0.0051813471502590676,0.025906735751295335,0.015544041450777202,0.010362694300518135,0.015544041450777202,0.031088082901554404,0.010362694300518135,0.02072538860103627,0.010362694300518135,0.0051813471502590676,0.025906735751295335
LTE2 UP.V1 UP,0.026595744680851064,0.047872340425531915,0.031914893617021274,0.031914893617021274,0.05319148936170213,0.2127659574468085,0.24468085106382978,0.1702127659574468,1.0,0.03723404255319149,0.015957446808510637,0.026595744680851064,0.0,0.010638297872340425,0.005319148936170213,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.047872340425531915,0.047872340425531915,0.03723404255319149,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.0425531914893617,0.02127659574468085,0.0,0.047872340425531915,0.10106382978723404,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.010638297872340425,0.005319148936170213,0.015957446808510637,0.010638297872340425,0.015957446808510637,0.026595744680851064
E2F1 UP.V1 DN,0.0427807486631016,0.058823529411764705,0.053475935828877004,0.03208556149732621,0.03208556149732621,0.0481283422459893,0.03208556149732621,0.0213903743315508,0.0374331550802139,1.0,0.03208556149732621,0.016042780748663103,0.016042780748663103,0.03208556149732621,0.026737967914438502,0.0481283422459893,0.0427807486631016,0.0427807486631016,0.0481283422459893,0.016042780748663103,0.03208556149732621,0.0481283422459893,0.0213903743315508,0.03208556149732621,0.026737967914438502,0.026737967914438502,0.026737967914438502,0.03208556149732621,0.0374331550802139,0.0,0.03208556149732621,0.03208556149732621,0.0213903743315508,0.0106951871657754,0.0213903743315508,0.0106951871657754,0.0213903743315508,0.0053475935828877,0.0374331550802139,0.0213903743315508
