"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","GRHL3","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","6.0","1","3","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=13)","1","rank=1; score=0.0006143","rank=11; score=74225; p=0.02245; adjP=0.89444"
"2","SOX2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","10.0","2","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=49); Enrichr--Queries(rank=461); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=726)","18","rank=18; score=0.006098","rank=2; score=144.15; p=1.5311e-20; adjP=1.1407e-17"
"3","TP63","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","7","5","ARCHS4--Coexpression(rank=4); GTEx--Coexpression(rank=6); Literature--ChIP-seq(rank=11); Enrichr--Queries(rank=16); ReMap--ChIP-seq(rank=27)","7","rank=7; score=0.002457","rank=13; score=47.634; p=4.7801e-10; adjP=7.1223e-08"
"4","TCF12","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","22.5","17","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=88); GTEx--Coexpression(rank=436); ARCHS4--Coexpression(rank=1070); Enrichr--Queries(rank=1220)","28","rank=28; score=0.008475","rank=17; score=80.902; p=0.0002473; adjP=0.050327"
"5","SMAD3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.5","12","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=7); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=271); ARCHS4--Coexpression(rank=853)","45","rank=45; score=0.0122","rank=12; score=131.68; p=2.2567e-18; adjP=5.6041e-16"
"6","TP53","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.0","3","5","Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=492); ARCHS4--Coexpression(rank=614); Enrichr--Queries(rank=1020)","65","rank=65; score=0.01829","rank=3; score=74.519; p=1.3654e-10; adjP=2.543e-08"
"7","KLF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.5","27","5","ARCHS4--Coexpression(rank=23); GTEx--Coexpression(rank=24); ReMap--ChIP-seq(rank=44); Literature--ChIP-seq(rank=48); Enrichr--Queries(rank=57)","50","rank=50; score=0.01413","rank=27; score=98.558; p=2.6939e-05; adjP=0.0012623"
"8","FOSL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.0","20","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=28); Enrichr--Queries(rank=103); GTEx--Coexpression(rank=335); ARCHS4--Coexpression(rank=755)","58","rank=58; score=0.01695","rank=20; score=21.075; p=0.00049617; adjP=0.080776"
"9","IRF6","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","46.5","11","3","GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=10); Enrichr--Queries(rank=14)","11","rank=11; score=0.003111","rank=82; score=11.187; p=0.16613; adjP=0.92861"
"10","FOXM1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","8","6","ENCODE--ChIP-seq(rank=3); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=50); GTEx--Coexpression(rank=134); ARCHS4--Coexpression(rank=281); Enrichr--Queries(rank=902)","88","rank=88; score=0.02439","rank=8; score=50.321; p=6.5035e-10; adjP=8.0752e-08"
