Pathway,COLLAGEN TRIMER,COMPLEX OF COLLAGEN TRIMERS,COLLAGEN TYPE IV TRIMER,TRANS GOLGI NETWORK,GOLGI APPARATUS SUBCOMPARTMENT,EARLY ENDOSOME,EARLY ENDOSOME MEMBRANE,NUCLEAR SPECK,NUCLEAR RIBONUCLEOPROTEIN GRANULE,SPLICEOSOMAL COMPLEX,U12 TYPE CATALYTIC STEP 2 SPLICEOSOME,CATALYTIC STEP 2 SPLICEOSOME,CATALYTIC STEP 1 SPLICEOSOME,TELOMERASE HOLOENZYME COMPLEX,CYTOSOLIC RIBOSOME,CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,SPERMATOPROTEASOME COMPLEX,PEPTIDASE COMPLEX,PROTEASOME CORE COMPLEX BETA SUBUNIT COMPLEX,PROTEASOME CORE COMPLEX,PROTEASOME STORAGE GRANULE,FICOLIN 1 RICH GRANULE LUMEN,IGM IMMUNOGLOBULIN COMPLEX,SMALL SUBUNIT PROCESSOME,NUCLEAR EXOSOME RNASE COMPLEX,SPINDLE POLE,FLEMMING BODY,ORGANELLAR RIBOSOME,MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,A BAND,M BAND,HEMOGLOBIN COMPLEX,CYTOSOLIC 4FE 4S ASSEMBLY TARGETING COMPLEX,CORE MEDIATOR COMPLEX,HISTONE ACETYLTRANSFERASE COMPLEX,HISTONE DEACETYLASE COMPLEX,NUCLEOTIDE ACTIVATED PROTEIN KINASE COMPLEX,GAP JUNCTION,BCL 2 FAMILY PROTEIN COMPLEX,CASPASE COMPLEX
COLLAGEN TRIMER,1.0,0.38372093023255816,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMPLEX OF COLLAGEN TRIMERS,1.0,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLAGEN TYPE IV TRIMER,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRANS GOLGI NETWORK,0.0,0.0,0.0,1.0,1.0,0.2198581560283688,0.11702127659574468,0.0070921985815602835,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLGI APPARATUS SUBCOMPARTMENT,0.0,0.0,0.0,0.6997518610421837,1.0,0.1588089330024814,0.08436724565756824,0.004962779156327543,0.009925558312655087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024813895781637717,0.0,0.0,0.0,0.0024813895781637717,0.0,0.0,0.0,0.009925558312655087,0.0024813895781637717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EARLY ENDOSOME,0.0,0.0,0.0,0.13566739606126915,0.1400437636761488,1.0,0.4638949671772429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002188183807439825,0.0,0.0,0.00437636761487965,0.0,0.0,0.0,0.0087527352297593,0.0,0.0,0.0,0.002188183807439825,0.006564551422319475,0.0,0.002188183807439825,0.002188183807439825,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EARLY ENDOSOME MEMBRANE,0.0,0.0,0.0,0.15566037735849056,0.16037735849056603,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEAR SPECK,0.0,0.0,0.0,0.0049382716049382715,0.0049382716049382715,0.0,0.0,1.0,1.0,0.18271604938271604,0.03950617283950617,0.10864197530864197,0.08148148148148149,0.0049382716049382715,0.0049382716049382715,0.0,0.0024691358024691358,0.0049382716049382715,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0049382716049382715,0.024691358024691357,0.0,0.0,0.0024691358024691358,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.037037037037037035,0.007407407407407408,0.0,0.0,0.0
NUCLEAR RIBONUCLEOPROTEIN GRANULE,0.0,0.0,0.0,0.006237006237006237,0.008316008316008316,0.0,0.0,0.841995841995842,1.0,0.16216216216216217,0.033264033264033266,0.09771309771309772,0.07068607068607069,0.016632016632016633,0.004158004158004158,0.0,0.002079002079002079,0.004158004158004158,0.0,0.0,0.0,0.010395010395010396,0.0,0.006237006237006237,0.004158004158004158,0.02286902286902287,0.0,0.0,0.002079002079002079,0.0,0.0,0.0,0.0,0.0,0.018711018711018712,0.031185031185031187,0.006237006237006237,0.0,0.0,0.0
SPLICEOSOMAL COMPLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378995433789954,0.3561643835616438,1.0,0.1735159817351598,0.4931506849315068,0.3059360730593607,0.0228310502283105,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0091324200913242,0.0,0.0045662100456621,0.0045662100456621,0.0091324200913242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0,0.0
U12 TYPE CATALYTIC STEP 2 SPLICEOSOME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.42105263157894735,1.0,1.0,1.0,0.8157894736842105,0.07894736842105263,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
