Pathway,PSMB5 TARGET GENES,EGFR TARGET GENES,MAPK3 TARGET GENES,CTR9 TARGET GENES,NPAT TARGET GENES,NR1I2 TARGET GENES,ZNF16 TARGET GENES,FOXR2 TARGET GENES,SOX11 TARGET GENES,CASP8AP2 TARGET GENES,ALKBH3 TARGET GENES,RUVBL1 TARGET GENES,"SS18 SSX1 FUSION UNIPROT Q8IZH1 UNREVIEWED
TARGET GENES",HOXA13 TARGET GENES,SIX1 TARGET GENES,PRMT5 TARGET GENES,TAFAZZIN TARGET GENES,CHAF1A TARGET GENES,MYBL1 TARGET GENES,PHF21A TARGET GENES,NFXL1 TARGET GENES,ZNF746 TARGET GENES,ZNF486 TARGET GENES,TERF1 TARGET GENES,TERF2 TARGET GENES,EMX1 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,TRIP13 TARGET GENES,ZNF581 TARGET GENES,ERCC8 TARGET GENES,MED16 TARGET GENES,GTF2E2 TARGET GENES,ZNF101 TARGET GENES,ZNF354C TARGET GENES,ZNF558 TARGET GENES,ZNF445 TARGET GENES,RBM15 TARGET GENES,ZNF622 TARGET GENES,PPARGC1A TARGET GENES
PSMB5 TARGET GENES,1.0,0.04823151125401929,0.07395498392282958,0.02572347266881029,0.06752411575562701,0.06109324758842444,0.003215434083601286,0.012861736334405145,0.00964630225080386,0.07395498392282958,0.06430868167202572,0.06430868167202572,0.006430868167202572,0.003215434083601286,0.01929260450160772,0.02572347266881029,0.02572347266881029,0.01607717041800643,0.07717041800643087,0.02572347266881029,0.06430868167202572,0.01607717041800643,0.003215434083601286,0.00964630225080386,0.0,0.03858520900321544,0.07395498392282958,0.028938906752411574,0.0,0.07395498392282958,0.003215434083601286,0.022508038585209004,0.3054662379421222,0.03858520900321544,0.003215434083601286,0.03536977491961415,0.003215434083601286,0.1189710610932476,0.00964630225080386,0.02572347266881029
EGFR TARGET GENES,0.4166666666666667,1.0,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0,0.1111111111111111,0.08333333333333333,0.0,0.05555555555555555,0.0,0.08333333333333333,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.0,0.05555555555555555,0.0,0.027777777777777776,0.0,0.0,0.1388888888888889,0.2777777777777778,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0
MAPK3 TARGET GENES,0.21296296296296297,0.1111111111111111,1.0,0.06481481481481481,0.09259259259259259,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.027777777777777776,0.0,0.027777777777777776,0.06481481481481481,0.037037037037037035,0.009259259259259259,0.037037037037037035,0.018518518518518517,0.06481481481481481,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.046296296296296294,0.05555555555555555,0.027777777777777776,0.0,0.046296296296296294,0.0,0.018518518518518517,0.1388888888888889,0.05555555555555555,0.0,0.009259259259259259,0.0,0.12037037037037036,0.0,0.027777777777777776
CTR9 TARGET GENES,0.11428571428571428,0.02857142857142857,0.1,1.0,0.04285714285714286,0.04285714285714286,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.04285714285714286,0.014285714285714285,0.05714285714285714,0.0,0.0,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.0,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.04285714285714286,0.0,0.0,0.08571428571428572,0.05714285714285714,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.014285714285714285
NPAT TARGET GENES,0.075,0.007142857142857143,0.03571428571428571,0.010714285714285714,1.0,0.06428571428571428,0.0035714285714285713,0.017857142857142856,0.007142857142857143,0.18571428571428572,0.03214285714285714,0.014285714285714285,0.0035714285714285713,0.007142857142857143,0.014285714285714285,0.02142857142857143,0.02142857142857143,0.010714285714285714,0.05,0.04285714285714286,0.060714285714285714,0.0,0.007142857142857143,0.0035714285714285713,0.007142857142857143,0.007142857142857143,0.017857142857142856,0.010714285714285714,0.0035714285714285713,0.060714285714285714,0.0,0.0,0.05714285714285714,0.03571428571428571,0.0035714285714285713,0.04642857142857143,0.0,0.02857142857142857,0.010714285714285714,0.0035714285714285713
NR1I2 TARGET GENES,0.05459770114942529,0.0028735632183908046,0.022988505747126436,0.008620689655172414,0.05172413793103448,1.0,0.0028735632183908046,0.040229885057471264,0.0,0.040229885057471264,0.05172413793103448,0.034482758620689655,0.02586206896551724,0.008620689655172414,0.022988505747126436,0.011494252873563218,0.034482758620689655,0.0028735632183908046,0.05747126436781609,0.022988505747126436,0.022988505747126436,0.0028735632183908046,0.005747126436781609,0.011494252873563218,0.011494252873563218,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.0,0.08620689655172414,0.0,0.0028735632183908046,0.034482758620689655,0.028735632183908046,0.0,0.008620689655172414,0.0,0.011494252873563218,0.0028735632183908046,0.014367816091954023
ZNF16 TARGET GENES,0.01282051282051282,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.01282051282051282,0.01282051282051282,1.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,0.0,0.05128205128205128,0.0,0.01282051282051282,0.0,0.07692307692307693,0.01282051282051282,0.0,0.02564102564102564,0.05128205128205128,0.0,0.01282051282051282,0.0,0.0,0.0,0.038461538461538464,0.05128205128205128,0.0,0.01282051282051282,0.0,0.0,0.0,0.01282051282051282,0.0,0.02564102564102564,0.0,0.0,0.01282051282051282,0.0
FOXR2 TARGET GENES,0.017094017094017096,0.004273504273504274,0.02564102564102564,0.008547008547008548,0.021367521367521368,0.05982905982905983,0.004273504273504274,1.0,0.01282051282051282,0.03418803418803419,0.05982905982905983,0.05128205128205128,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.029914529914529916,0.004273504273504274,0.03418803418803419,0.01282051282051282,0.021367521367521368,0.0,0.01282051282051282,0.021367521367521368,0.01282051282051282,0.008547008547008548,0.05128205128205128,0.05982905982905983,0.004273504273504274,0.038461538461538464,0.0,0.0,0.038461538461538464,0.04700854700854701,0.004273504273504274,0.02564102564102564,0.0,0.01282051282051282,0.004273504273504274,0.008547008547008548
SOX11 TARGET GENES,0.06382978723404255,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.06382978723404255,1.0,0.06382978723404255,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0851063829787234,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0425531914893617,0.0,0.0425531914893617,0.0425531914893617,0.10638297872340426,0.0,0.0425531914893617,0.0,0.0,0.0,0.02127659574468085
CASP8AP2 TARGET GENES,0.06705539358600583,0.011661807580174927,0.023323615160349854,0.008746355685131196,0.15160349854227406,0.04081632653061224,0.0029154518950437317,0.023323615160349854,0.008746355685131196,1.0,0.30612244897959184,0.07580174927113703,0.023323615160349854,0.011661807580174927,0.014577259475218658,0.014577259475218658,0.03498542274052478,0.011661807580174927,0.026239067055393587,0.02040816326530612,0.03206997084548105,0.0,0.008746355685131196,0.014577259475218658,0.0058309037900874635,0.04664723032069971,0.04081632653061224,0.029154518950437316,0.02040816326530612,0.04081632653061224,0.0,0.011661807580174927,0.11661807580174927,0.08454810495626822,0.0,0.05539358600583091,0.0,0.043731778425655975,0.008746355685131196,0.02040816326530612
