Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,RRNA BINDING,ELECTRON TRANSFER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY","PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY","ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY",PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,4 IRON 4 SULFUR CLUSTER BINDING,CATALYTIC ACTIVITY ACTING ON A TRNA,CATALYTIC ACTIVITY ACTING ON RNA,LIGASE ACTIVITY FORMING CARBON OXYGEN BONDS,TRNA BINDING,PROTEOGLYCAN BINDING,COLLAGEN BINDING,EXTRACELLULAR MATRIX BINDING,NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,GTPASE BINDING,PHOSPHATIDYLINOSITOL BINDING,PHOSPHATIDYLINOSITOL PHOSPHATE BINDING,ACTIN BINDING,DNA BINDING TRANSCRIPTION ACTIVATOR ACTIVITY,TRANSCRIPTION COACTIVATOR BINDING,DNA BINDING TRANSCRIPTION REPRESSOR ACTIVITY,BETA CATENIN BINDING,SMAD BINDING,CYTOKINE ACTIVITY,CYTOKINE RECEPTOR BINDING,G PROTEIN COUPLED RECEPTOR BINDING,FRIZZLED BINDING,"OXIDOREDUCTASE ACTIVITY ACTING ON CH OH GROUP
OF DONORS",NUCLEOSOMAL DNA BINDING,PROTEIN SERINE THREONINE KINASE ACTIVITY,PROTEIN SERINE KINASE ACTIVITY,"INTRAMOLECULAR OXIDOREDUCTASE ACTIVITY
INTERCONVERTING ALDOSES AND KETOSES",LYASE ACTIVITY,CARBON OXYGEN LYASE ACTIVITY,"TRANSFERASE ACTIVITY TRANSFERRING ALKYL OR
ARYL OTHER THAN METHYL GROUPS",TRANSLATION INITIATION FACTOR ACTIVITY
STRUCTURAL CONSTITUENT OF RIBOSOME,1.0,0.16374269005847952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.005847953216374269,0.0,0.0
RRNA BINDING,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.12857142857142856,0.0,0.04285714285714286,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0
ELECTRON TRANSFER ACTIVITY,0.0,0.0,1.0,0.35964912280701755,0.5350877192982456,0.5350877192982456,0.5350877192982456,0.543859649122807,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11403508771929824,0.0,0.0,0.0,0.0,0.03508771929824561,0.008771929824561403,0.0,0.0
NADH DEHYDROGENASE UBIQUINONE ACTIVITY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.0,0.0,0.9242424242424242,0.6212121212121212,1.0,1.0,0.9393939393939394,0.9393939393939394,0.07575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY",0.0,0.0,0.3696969696969697,0.24848484848484848,0.4,1.0,0.703030303030303,0.5454545454545454,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.012121212121212121,0.006060606060606061,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY",0.0,0.0,0.5258620689655172,0.35344827586206895,0.5344827586206896,1.0,1.0,0.7672413793103449,0.04310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.008620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,0.0,0.0,0.3315508021390374,0.2192513368983957,0.3315508021390374,0.48128342245989303,0.47593582887700536,1.0,0.026737967914438502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 IRON 4 SULFUR CLUSTER BINDING,0.0,0.0,0.17777777777777778,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,0.15555555555555556,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.08888888888888889,0.044444444444444446,0.0
CATALYTIC ACTIVITY ACTING ON A TRNA,0.0,0.012903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,1.0,1.0,0.2645161290322581,0.3096774193548387,0.0,0.0,0.0,0.012903225806451613,0.0064516129032258064,0.012903225806451613,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.012903225806451613,0.012903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0064516129032258064,0.025806451612903226,0.0
