"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","7.00000000000000","2","4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=933)","1161","rank=2; score=4.4304; p=3.7119e-05","rank=3; score=4.8831; p=1.3089e-05","rank=16; score=2.3074; p=0.0001341; direction=Activated"
"2","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.00000000000000","2","4","Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=919)","790","rank=24; score=1.9642; p=0.010858","rank=10; score=2.6032; p=0.0024934","rank=2; score=6.1236; p=1.8548e-10; direction=Activated"
"3","STAT1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.33333333333333","8","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=8; score=2.8833; p=0.0013084","rank=19; score=2.2876; p=0.0051566","rank=19; score=3.2845; p=0.00017041; direction=Activated"
"4","REST","DoRothEA;TRRUST;CollecTRI","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","26.00000000000000","5","6","ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=98); Literature--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=163); GTEx--Coexpression(rank=917); Enrichr--Queries(rank=1072)","257","rank=49; score=1.3125; p=0.048692","rank=24; score=2.1087; p=0.0077851","rank=5; score=2.9289; p=6.9712e-06; direction=Activated"
"5","MYC","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.66666666666666","4","6","ENCODE--ChIP-seq(rank=21); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=1132)","643","rank=32; score=1.6529; p=0.022238","rank=65; score=1.1879; p=0.064879","rank=4; score=3.8728; p=6.7951e-06; direction=Repressed"
"6","FOS","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.66666666666666","20","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=20; score=2.2044; p=0.0062458","rank=38; score=1.6302; p=0.023433","rank=49; score=2.4248; p=0.0027584; direction=Activated"
"7","CREB1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.66666666666666","22","6","Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=133); GTEx--Coexpression(rank=514); Enrichr--Queries(rank=1096); ARCHS4--Coexpression(rank=1503)","709","rank=38; score=1.4107; p=0.038845","rank=22; score=2.2044; p=0.0062458","rank=56; score=2.045; p=0.0032372; direction=Activated"
"8","HIF1A","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.00000000000000","1","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=553)","163","rank=1; score=4.4555; p=3.5034e-05","rank=105; score=0.53402; p=0.2924","rank=23; score=2.6986; p=0.00022772; direction=Activated"
"9","KLF6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.66666666666666","27","4","ARCHS4--Coexpression(rank=82); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=124); GTEx--Coexpression(rank=870)","221","rank=27; score=1.7208; p=0.019021","rank=74; score=1.0978; p=0.079844","rank=36; score=2.0021; p=0.0012089; direction=Activated"
"10","CLOCK","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.33333333333334","29","5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=1002); GTEx--Coexpression(rank=1531)","577","rank=29; score=1.7049; p=0.01973","rank=60; score=1.2474; p=0.056576","rank=59; score=1.6378; p=0.0036968; direction=Activated"
