"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","E2F4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.333333333333334","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","rank=1; score=26.145; p=7.159e-27","rank=18; score=0.006098","rank=1; score=9.9455; direction=Repressed","rank=1; score=328.19; p=1.2895e-39; adjP=1.3411e-37","rank=4; score=5.6483; p=2.2476e-06","rank=1; score=9.161; p=5.1434e-20; direction=Repressed"
"2","FOXO3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.166666666666664","2","4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","rank=61; score=1.6459; p=0.0226","rank=100; score=0.02641","rank=36; score=3.4277; direction=Activated","rank=48; score=43.988; p=0.0007953; adjP=0.025184","rank=12; score=3.0995; p=0.00079532","rank=2; score=5.8045; p=6.4571e-09; direction=Activated"
"3","E2F3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.833333333333336","4","3","Enrichr--Queries(rank=29); ARCHS4--Coexpression(rank=47); GTEx--Coexpression(rank=864)","76","rank=4; score=7.9443; p=1.137e-08","rank=76; score=0.02066","rank=58; score=2.9295; direction=Repressed","rank=17; score=108.91; p=6.538e-05; adjP=0.003882","rank=6; score=4.1845; p=6.5384e-05","rank=102; score=2.0854; p=0.037032; direction=Repressed"
"4","STAT1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.166666666666664","11","6","GTEx--Coexpression(rank=21); ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=437)","47","rank=58; score=1.6539; p=0.022187","rank=47; score=0.01307","rank=11; score=5.2037; direction=Activated","rank=94; score=21.729; p=1.3091e-07; adjP=3.223e-06","rank=65; score=1.3101; p=0.048969","rank=14; score=3.5298; p=0.00041581; direction=Activated"
"5","E2F1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.000000000000000","2","6","ENCODE--ChIP-seq(rank=3); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=4); ARCHS4--Coexpression(rank=24); ReMap--ChIP-seq(rank=40)","6","rank=5; score=6.9967; p=1.0076e-07","rank=6; score=0.001867","rank=31; score=3.6979; direction=Repressed","rank=4; score=50.114; p=4.0413e-14; adjP=6.0942e-12","rank=2; score=6.7418; p=1.8121e-07","rank=258; score=1.4065; p=0.15957; direction=Repressed"
"6","MYC","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","60.500000000000000","3","6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=248); GTEx--Coexpression(rank=723)","324","rank=7; score=6.2459; p=5.6767e-07","rank=324; score=0.07927","rank=3; score=7.0135; direction=Repressed","rank=3; score=25.454; p=2.772e-08; adjP=8.0388e-07","rank=22; score=2.2853; p=0.0051849","rank=4; score=4.6753; p=2.9346e-06; direction=Repressed"
"7","FOXM1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.500000000000000","6","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=3); Enrichr--Queries(rank=5); GTEx--Coexpression(rank=5); ARCHS4--Coexpression(rank=10)","11","rank=15; score=3.7449; p=0.00017991","rank=11; score=0.003111","rank=74; score=2.7707; direction=Repressed","rank=6; score=157.88; p=1.7469e-17; adjP=6.5859e-15","rank=11; score=3.2768; p=0.00052866","rank=300; score=1.2402; p=0.21491; direction=Repressed"
"8","SREBF1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.166666666666657","5","6","ReMap--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=158); GTEx--Coexpression(rank=258); Enrichr--Queries(rank=418); ARCHS4--Coexpression(rank=1192)","160","rank=13; score=3.874; p=0.00013364","rank=160; score=0.0404","rank=38; score=3.3438; direction=Repressed","rank=14; score=74.011; p=1.5204e-05; adjP=0.0012036","rank=5; score=4.818; p=1.5205e-05","rank=239; score=1.4712; p=0.14124; direction=Repressed"
"9","FOS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","83.833333333333329","33","5","ENCODE--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=451); GTEx--Coexpression(rank=609); ARCHS4--Coexpression(rank=829)","87","rank=52; score=1.7003; p=0.019941","rank=87; score=0.02357","rank=136; score=1.7379; direction=Activated","rank=33; score=12.002; p=0.00011757; adjP=0.0076263","rank=57; score=1.4215; p=0.037889","rank=138; score=1.8617; p=0.062646; direction=Activated"
"10","TP53","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","88.833333333333343","1","5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=57); GTEx--Coexpression(rank=70); Enrichr--Queries(rank=575)","29","rank=2; score=9.4016; p=3.966e-10","rank=29; score=0.0086","rank=5; score=6.1647; direction=Activated","rank=2; score=57.485; p=4.3413e-12; adjP=2.9757e-10","rank=1; score=7.8987; p=1.2627e-08","rank=494; score=0.52346; p=0.60065; direction=Repressed"
