"TF","HT55","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"CEBPG","-0.882147674492223088","1.72119404842939305","0.4195231869685849824","1.3016708614608081","Activated","140","viper","140","1.3016708614608081",NA,NA,"4","ReMap--ChIP-seq(rank=31); Enrichr--Queries(rank=98); ARCHS4--Coexpression(rank=192); GTEx--Coexpression(rank=619)","260","0.06980000000000000","Enrichr Queries,0.0698"
"TP63","1.901214998181988580","-0.68922139977793251","0.6059967992020280914","1.2952181989799605","Activated","141","viper","141","1.2952181989799605",NA,NA,"5","Literature--ChIP-seq(rank=56); GTEx--Coexpression(rank=175); ReMap--ChIP-seq(rank=278); ARCHS4--Coexpression(rank=463); Enrichr--Queries(rank=660)","394","0.10890000000000000","GTEx Coexpression,0.1089"
"LEF1","-0.865409517519877491","-1.72301397157344183","-1.2942117445466596592","1.2942117445466597","Repressed","142","viper","142","1.2942117445466597",NA,NA,"4","Enrichr--Queries(rank=217); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=320); GTEx--Coexpression(rank=425)","562","0.15459999999999999","Enrichr Queries,0.1546"
"HMBOX1","-0.608410889543432698","-1.96380773621495397","-1.2861093128791933893","1.2861093128791934","Repressed","143","viper","143","1.2861093128791934",NA,NA,"4","ReMap--ChIP-seq(rank=105); GTEx--Coexpression(rank=456); Enrichr--Queries(rank=1266); ARCHS4--Coexpression(rank=1268)","908","0.28380000000000000","GTEx Coexpression,0.2838"
"MAX","2.105103472149762123","-0.44367293103384248","0.8307152705579597951","1.2743882015918022","Activated","144","viper","144","1.2743882015918022",NA,NA,"5","ENCODE--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=103); ReMap--ChIP-seq(rank=137); Enrichr--Queries(rank=538); GTEx--Coexpression(rank=656)","232","0.06327000000000001","ARCHS4 Coexpression,0.06327"
"GLI2","0.996091278070603270","-1.53411882256607490","-0.2690137722477358162","1.2651050503183390","Repressed","145","viper","145","1.2651050503183390",NA,NA,"3","GTEx--Coexpression(rank=337); Enrichr--Queries(rank=591); ARCHS4--Coexpression(rank=624)","725","0.20970000000000000","GTEx Coexpression,0.2097"
"CTCFL","1.043291582109265647","-1.46606748125128772","-0.2113879495710110357","1.2546795316802766","Repressed","146","viper","146","1.2546795316802766",NA,NA,"5","ENCODE--ChIP-seq(rank=102); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=617); ARCHS4--Coexpression(rank=1061); GTEx--Coexpression(rank=1260)","1233","0.43950000000000000","Enrichr Queries,0.4395"
"TGIF2","-1.246159967806311109","1.24736743092339353","0.0006037315585412095","1.2467636993648523","Activated","147","viper","147","1.2467636993648523",NA,NA,"4","ReMap--ChIP-seq(rank=178); Enrichr--Queries(rank=426); GTEx--Coexpression(rank=678); ARCHS4--Coexpression(rank=785)","959","0.30340000000000000","Enrichr Queries,0.3034"
"MEIS1","-0.435404493770844780","2.05341996778735947","0.8090077370082573438","1.2444122307791021","Activated","148","viper","148","1.2444122307791021",NA,NA,"5","Literature--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=123); GTEx--Coexpression(rank=183); Enrichr--Queries(rank=218); ARCHS4--Coexpression(rank=314)","412","0.11390000000000000","GTEx Coexpression,0.1139"
"ZNF143","-2.189778870944121270","0.28958491233818368","-0.9500969793029687693","1.2396818916411525","Repressed","149","viper","149","1.2396818916411525",NA,NA,"5","ENCODE--ChIP-seq(rank=94); ARCHS4--Coexpression(rank=216); ReMap--ChIP-seq(rank=227); Enrichr--Queries(rank=639); GTEx--Coexpression(rank=672)","480","0.13270000000000001","ARCHS4 Coexpression,0.1327"
"E2F3","1.896852795392163671","-0.57847578885540674","0.6591885032683784118","1.2376642921237853","Activated","150","viper","150","1.2376642921237853",NA,NA,"3","GTEx--Coexpression(rank=571); ARCHS4--Coexpression(rank=577); Enrichr--Queries(rank=1116)","1079","0.35439999999999999","ARCHS4 Coexpression,0.3544"
"E2F1","1.070455349992632144","1.38205598376635574","1.2262556668794939441","1.2262556668794939","Activated","151","viper","151","1.2262556668794939",NA,NA,"6","Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=100); ENCODE--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=809); GTEx--Coexpression(rank=928); Enrichr--Queries(rank=1392)","916","0.28660000000000002","Literature ChIP-seq,0.2866"
"ARNT","-0.045635899756270318","2.37823388217269072","1.1662989912082102339","1.2119348909644805","Activated","152","viper","152","1.2119348909644805",NA,NA,"5","ReMap--ChIP-seq(rank=87); Literature--ChIP-seq(rank=98); ARCHS4--Coexpression(rank=533); GTEx--Coexpression(rank=880); Enrichr--Queries(rank=954)","931","0.29289999999999999","ReMap ChIP-seq,0.2929"
"ATF7","-2.304746587591160356","0.10389517228431266","-1.1004257076534238458","1.2043208799377365","Repressed","153","viper","153","1.2043208799377365",NA,NA,"4","ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=131); Enrichr--Queries(rank=1182); GTEx--Coexpression(rank=1301)","298","0.08047000000000000","ARCHS4 Coexpression,0.08047"
"ZNF740","-0.609743027423592210","-1.78830105564255959","-1.1990220415330758996","1.1990220415330759","Repressed","154","viper","154","1.1990220415330759",NA,NA,"4","ReMap--ChIP-seq(rank=151); ARCHS4--Coexpression(rank=1304); Enrichr--Queries(rank=1365); GTEx--Coexpression(rank=1502)","1336","0.50839999999999996","ReMap ChIP-seq,0.5084"
"HNF4A","1.873449403727758256","-0.51149234751036399","0.6809785281086970787","1.1924708756190612","Activated","155","viper","155","1.1924708756190612",NA,NA,"6","ENCODE--ChIP-seq(rank=24); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=661); ARCHS4--Coexpression(rank=781); GTEx--Coexpression(rank=863)","709","0.20340000000000000","ENCODE ChIP-seq,0.2034"
"MXI1","-2.122703663651225092","0.24337472941680685","-0.9396644671172090790","1.1830391965340159","Repressed","156","viper","156","1.1830391965340159",NA,NA,"5","ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=108); ReMap--ChIP-seq(rank=191); GTEx--Coexpression(rank=319); ARCHS4--Coexpression(rank=1343)","184","0.05085000000000000","ENCODE ChIP-seq,0.05085"
"PROX1","0.173578604300359957","2.16864606130315174","1.1711123328017558620","1.1711123328017559","Activated","157","viper","157","1.1711123328017559",NA,NA,"4","ReMap--ChIP-seq(rank=71); ARCHS4--Coexpression(rank=346); Enrichr--Queries(rank=352); GTEx--Coexpression(rank=604)","735","0.21249999999999999","ARCHS4 Coexpression,0.2125"
"ZEB2","0.177544705742927744","-2.13207046547201395","-0.9772628798645430770","1.1548075856074709","Repressed","158","viper","158","1.1548075856074709",NA,NA,"4","ReMap--ChIP-seq(rank=37); Enrichr--Queries(rank=227); GTEx--Coexpression(rank=383); ARCHS4--Coexpression(rank=695)","451","0.12460000000000000","ReMap ChIP-seq,0.1246"
"ZEB1","-0.167662240760583059","2.12808260573024555","0.9802101824848312717","1.1478724232454143","Activated","159","viper","159","1.1478724232454143",NA,NA,"5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=92); GTEx--Coexpression(rank=290); Enrichr--Queries(rank=360); ARCHS4--Coexpression(rank=826)","643","0.18049999999999999","GTEx Coexpression,0.1805"
"CLOCK","0.592302202262047994","1.70330890218872266","1.1478055522253853837","1.1478055522253854","Activated","160","viper","160","1.1478055522253854",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=1045); Enrichr--Queries(rank=1399); GTEx--Coexpression(rank=1497)","250","0.06734000000000000","ReMap ChIP-seq,0.06734"
"BCL6","-1.714239559540631008","0.58031932061225067","-0.5669601194641902264","1.1472794400764408","Repressed","161","viper","161","1.1472794400764408",NA,NA,"5","ARCHS4--Coexpression(rank=78); Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=120); ReMap--ChIP-seq(rank=181); GTEx--Coexpression(rank=575)","171","0.04791000000000000","ARCHS4 Coexpression,0.04791"
"STAT4","1.885509145816631760","0.37246530414605783","1.1289872249813448501","1.1289872249813449","Activated","162","viper","162","1.1289872249813449",NA,NA,"4","Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=85); Enrichr--Queries(rank=388); GTEx--Coexpression(rank=660)","189","0.05221000000000000","ARCHS4 Coexpression,0.05221"
"E2F2","1.324957764997058307","-0.90035183079778913","0.2123029670996345875","1.1126547978974237","Activated","163","viper","163","1.1126547978974237",NA,NA,"3","GTEx--Coexpression(rank=597); ARCHS4--Coexpression(rank=824); Enrichr--Queries(rank=1030)","1109","0.37150000000000000","GTEx Coexpression,0.3715"
"YY1","-0.276583787623885857","-1.92411497464490244","-1.1003493811343940667","1.1003493811343941","Repressed","164","viper","164","1.1003493811343941",NA,NA,"6","Literature--ChIP-seq(rank=81); ENCODE--ChIP-seq(rank=101); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=978); GTEx--Coexpression(rank=1274); Enrichr--Queries(rank=1393)","1313","0.49390000000000001","Literature ChIP-seq,0.4939"
"FOXP2","-0.773999365529677852","-1.37821010273639333","-1.0761047341330356453","1.0761047341330356","Repressed","165","viper","165","1.0761047341330356",NA,NA,"6","Literature--ChIP-seq(rank=38); ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=52); GTEx--Coexpression(rank=555); Enrichr--Queries(rank=652); ARCHS4--Coexpression(rank=656)","629","0.17510000000000001","ReMap ChIP-seq,0.1751"
"ELK4","-0.351044160868663635","1.79664653056934620","0.7228011848503412828","1.0738453457190049","Activated","166","viper","166","1.0738453457190049",NA,NA,"5","ENCODE--ChIP-seq(rank=93); ReMap--ChIP-seq(rank=156); GTEx--Coexpression(rank=1019); ARCHS4--Coexpression(rank=1175); Enrichr--Queries(rank=1278)","1363","0.52529999999999999","ReMap ChIP-seq,0.5253"
"BHLHE22","-0.885141131580788554","-1.25080982823526710","-1.0679754799080278804","1.0679754799080279","Repressed","167","viper","167","1.0679754799080279",NA,NA,"3","ReMap--ChIP-seq(rank=103); GTEx--Coexpression(rank=161); ARCHS4--Coexpression(rank=1328)","369","0.10020000000000000","GTEx Coexpression,0.1002"
"TEAD4","0.603822965230667030","1.49531027628640611","1.0495666207585365726","1.0495666207585366","Activated","168","viper","168","1.0495666207585366",NA,NA,"6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=120); ReMap--ChIP-seq(rank=168); Enrichr--Queries(rank=483); ARCHS4--Coexpression(rank=674); GTEx--Coexpression(rank=791)","554","0.15250000000000000","ENCODE ChIP-seq,0.1525"
"RXRA","1.893841562159740199","0.19487194289099427","1.0443567525253671935","1.0443567525253672","Activated","169","viper","169","1.0443567525253672",NA,NA,"6","ENCODE--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=46); Literature--ChIP-seq(rank=111); ARCHS4--Coexpression(rank=362); GTEx--Coexpression(rank=403); Enrichr--Queries(rank=858)","564","0.15490000000000001","ReMap ChIP-seq,0.1549"
"NFATC1","-0.215953027490837418","1.85562208008486595","0.8198345262970142544","1.0357875537878516","Activated","170","viper","170","1.0357875537878516",NA,NA,"5","ARCHS4--Coexpression(rank=39); ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=228); Enrichr--Queries(rank=357); GTEx--Coexpression(rank=773)","91","0.02396000000000000","ARCHS4 Coexpression,0.02396"
"RUNX1","1.750223725443154743","0.31912973171494091","1.0346767285790479107","1.0346767285790479","Activated","171","viper","171","1.0346767285790479",NA,NA,"5","ReMap--ChIP-seq(rank=59); Literature--ChIP-seq(rank=95); Enrichr--Queries(rank=165); ARCHS4--Coexpression(rank=640); GTEx--Coexpression(rank=941)","427","0.11749999999999999","Enrichr Queries,0.1175"
"BACH1","-1.064209686901245844","0.98622575629232523","-0.0389919653044603076","1.0252177215967855","Repressed","172","viper","172","1.0252177215967855",NA,NA,"6","Literature--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=41); Enrichr--Queries(rank=111); ARCHS4--Coexpression(rank=127); ReMap--ChIP-seq(rank=182); GTEx--Coexpression(rank=1475)","135","0.03659000000000000","Literature ChIP-seq,0.03659"
"POU2F1","1.356853450821913443","-0.68268525937362989","0.3370840957241417746","1.0197693550977718","Activated","173","viper","173","1.0197693550977718",NA,NA,"4","ReMap--ChIP-seq(rank=173); GTEx--Coexpression(rank=818); ARCHS4--Coexpression(rank=953); Enrichr--Queries(rank=1308)","1337","0.50900000000000001","GTEx Coexpression,0.509"
"JUND","1.725395326860477585","0.29528086942899245","1.0103380981447349640","1.0103380981447350","Activated","174","viper","174","1.0103380981447350",NA,NA,"6","Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=9); ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=239)","21","0.00560000000000000","GTEx Coexpression,0.0056"
"ARID3A","1.305785577756436000","0.71270181631953244","1.0092436970379843331","1.0092436970379843","Activated","175","viper","175","1.0092436970379843",NA,NA,"5","ReMap--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=74); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=286); ARCHS4--Coexpression(rank=413)","128","0.03367000000000000","ReMap ChIP-seq,0.03367"
"ZFX","0.868047157746033027","1.11319504365719979","0.9906211007016163528","0.9906211007016164","Activated","176","viper","176","0.9906211007016164",NA,NA,"5","Literature--ChIP-seq(rank=146); ReMap--ChIP-seq(rank=252); GTEx--Coexpression(rank=912); Enrichr--Queries(rank=1311); ARCHS4--Coexpression(rank=1602)","1426","0.56750000000000000","GTEx Coexpression,0.5675"
"FOXA2","0.538038592918362091","1.44028577720566608","0.9891621850620140322","0.9891621850620140","Activated","177","viper","177","0.9891621850620140",NA,NA,"6","ReMap--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=67); Literature--ChIP-seq(rank=79); ARCHS4--Coexpression(rank=397); GTEx--Coexpression(rank=491); Enrichr--Queries(rank=747)","313","0.08418000000000000","ReMap ChIP-seq,0.08418"
"NFE2","-0.925635164018503653","-1.04220293100520522","-0.9839190475118544388","0.9839190475118544","Repressed","178","viper","178","0.9839190475118544",NA,NA,"5","ENCODE--ChIP-seq(rank=29); ReMap--ChIP-seq(rank=61); GTEx--Coexpression(rank=228); Enrichr--Queries(rank=312); ARCHS4--Coexpression(rank=390)","516","0.14190000000000000","GTEx Coexpression,0.1419"
"NR2F6","-0.738095096361562342","1.20712998109179948","0.2345174423651185669","0.9726125387266809","Activated","179","viper","179","0.9726125387266809",NA,NA,"4","ReMap--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=944); Enrichr--Queries(rank=960)","840","0.25590000000000002","ReMap ChIP-seq,0.2559"
"EBF1","1.865126594105871449","0.06515604328211279","0.9651413186939921118","0.9651413186939921","Activated","180","viper","180","0.9651413186939921",NA,NA,"5","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=64); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=302); Enrichr--Queries(rank=338)","144","0.03931000000000000","ARCHS4 Coexpression,0.03931"
"XBP1","-1.872672998598642780","-0.05020303282113692","-0.9614380157098898483","0.9614380157098898","Repressed","181","viper","181","0.9614380157098898",NA,NA,"4","ReMap--ChIP-seq(rank=286); Enrichr--Queries(rank=397); GTEx--Coexpression(rank=539); ARCHS4--Coexpression(rank=697)","906","0.28280000000000000","Enrichr Queries,0.2828"
"E2F6","-0.831577219414342816","1.07759623697983331","0.1230095087827452471","0.9545867281970881","Activated","182","viper","182","0.9545867281970881",NA,NA,"5","ENCODE--ChIP-seq(rank=97); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=305); Enrichr--Queries(rank=498); GTEx--Coexpression(rank=1489)","667","0.18729999999999999","ARCHS4 Coexpression,0.1873"
"IKZF1","-0.870434781996148876","1.03594145008038341","0.0827533340421172658","0.9531881160382661","Activated","183","viper","183","0.9531881160382661",NA,NA,"6","ReMap--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=49); ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=57); Literature--ChIP-seq(rank=86); Enrichr--Queries(rank=1037)","113","0.03010000000000000","ARCHS4 Coexpression,0.0301"
"TBP","0.190376827339925586","1.69647051031963203","0.9434236688297787943","0.9434236688297788","Activated","184","viper","184","0.9434236688297788",NA,NA,"5","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=52); ReMap--ChIP-seq(rank=189); GTEx--Coexpression(rank=999); ARCHS4--Coexpression(rank=1413)","488","0.13560000000000000","ENCODE ChIP-seq,0.1356"
"E2F5","0.770208203734385033","-1.11616473726767573","-0.1729782667666453499","0.9431864705010304","Repressed","185","viper","185","0.9431864705010304",NA,NA,"4","ReMap--ChIP-seq(rank=197); Enrichr--Queries(rank=600); GTEx--Coexpression(rank=718); ARCHS4--Coexpression(rank=1279)","1215","0.42740000000000000","Enrichr Queries,0.4274"
"NR4A1","-0.298315981906955463","1.58614792511176739","0.6439159716024059898","0.9422319535093614","Activated","186","viper","186","0.9422319535093614",NA,NA,"4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=12); ARCHS4--Coexpression(rank=25); ReMap--ChIP-seq(rank=133)","11","0.00248900000000000","GTEx Coexpression,0.002489"
"RFX2","-0.918918437294001689","-0.95508296399603043","-0.9370007006450160603","0.9370007006450161","Repressed","187","viper","187","0.9370007006450161",NA,NA,"4","Enrichr--Queries(rank=189); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=623); GTEx--Coexpression(rank=1399)","486","0.13460000000000000","Enrichr Queries,0.1346"
"RFX1","-1.769973964287311574","0.10270617789438202","-0.8336338931964647481","0.9363400710908468","Repressed","188","viper","188","0.9363400710908468",NA,NA,"4","ReMap--ChIP-seq(rank=220); ARCHS4--Coexpression(rank=627); GTEx--Coexpression(rank=1194); Enrichr--Queries(rank=1368)","1136","0.38510000000000000","ARCHS4 Coexpression,0.3851"
"TCF7","-0.084908187939050528","1.76864345550516888","0.8418676337830591772","0.9267758217221097","Activated","189","viper","189","0.9267758217221097",NA,NA,"5","GTEx--Coexpression(rank=51); ReMap--ChIP-seq(rank=111); Literature--ChIP-seq(rank=119); ARCHS4--Coexpression(rank=278); Enrichr--Queries(rank=302)","121","0.03174000000000000","GTEx Coexpression,0.03174"
"TCF4","0.053919744973327181","1.79461636803302915","0.9242680565031781148","0.9242680565031781","Activated","190","viper","190","0.9242680565031781",NA,NA,"5","Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=104); ReMap--ChIP-seq(rank=150); Enrichr--Queries(rank=665); ARCHS4--Coexpression(rank=1128)","239","0.06472000000000000","GTEx Coexpression,0.06472"
"PGR","0.917431011412524589",NA,"0.9174310114125245885","0.9174310114125246","Activated","191","viper","191","0.9174310114125246",NA,NA,"4","ReMap--ChIP-seq(rank=95); ARCHS4--Coexpression(rank=264); GTEx--Coexpression(rank=381); Enrichr--Queries(rank=1108)","590","0.16220000000000001","ARCHS4 Coexpression,0.1622"
"ATF3","0.652168948475379984","-1.15521555881257409","-0.2515233051685970556","0.9036922536439771","Repressed","192","viper","192","0.9036922536439771",NA,NA,"6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","0.00124500000000000","GTEx Coexpression,0.001245"
"SOX6","0.824216222087317485","0.91990459345339726","0.8720604077703573154","0.8720604077703573","Activated","193","viper","193","0.8720604077703573",NA,NA,"4","ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=990); ARCHS4--Coexpression(rank=1227); GTEx--Coexpression(rank=1503)","754","0.21890000000000001","ReMap ChIP-seq,0.2189"
"KLF3","0.357191542284392316","1.36282981634277922","0.8600106793135857686","0.8600106793135858","Activated","194","viper","194","0.8600106793135858",NA,NA,"4","ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=210); ARCHS4--Coexpression(rank=291); Enrichr--Queries(rank=410)","475","0.13070000000000001","GTEx Coexpression,0.1307"
"SP2","0.444443102462112660","1.27505757595135139","0.8597503392067320505","0.8597503392067321","Activated","195","viper","195","0.8597503392067321",NA,NA,"5","ENCODE--ChIP-seq(rank=110); ReMap--ChIP-seq(rank=260); GTEx--Coexpression(rank=519); ARCHS4--Coexpression(rank=759); Enrichr--Queries(rank=809)","1001","0.32300000000000001","GTEx Coexpression,0.323"
"KDM5B","1.400738074310420078","-0.28412910506143141","0.5583044846244943349","0.8424335896859257","Activated","196","viper","196","0.8424335896859257",NA,NA,"5","ENCODE--ChIP-seq(rank=92); Literature--ChIP-seq(rank=132); ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=713); ARCHS4--Coexpression(rank=925)","1241","0.44369999999999998","GTEx Coexpression,0.4437"
"MAFG","0.208086087227493305","1.46128569807459163","0.8346858926510424270","0.8346858926510424","Activated","197","viper","197","0.8346858926510424",NA,NA,"4","Enrichr--Queries(rank=30); ReMap--ChIP-seq(rank=250); ARCHS4--Coexpression(rank=482); GTEx--Coexpression(rank=503)","81","0.02137000000000000","Enrichr Queries,0.02137"
"HSF1","1.580953955401927402","-0.06461996854817291","0.7581669934268772115","0.8227869619750502","Activated","198","viper","198","0.8227869619750502",NA,NA,"5","Literature--ChIP-seq(rank=30); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=254); GTEx--Coexpression(rank=828); ARCHS4--Coexpression(rank=1364)","652","0.18290000000000001","Literature ChIP-seq,0.1829"
"PBX2","0.320501055861999451","1.31702706844624462","0.8187640621541220076","0.8187640621541220","Activated","199","viper","199","0.8187640621541220",NA,NA,"4","ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=90); ARCHS4--Coexpression(rank=712); Enrichr--Queries(rank=1015)","205","0.05600000000000000","GTEx Coexpression,0.056"
"TCF3","0.457107743776649478","-1.15663609929061728","-0.3497641777569838739","0.8068719215336334","Repressed","200","viper","200","0.8068719215336334",NA,NA,"6","ENCODE--ChIP-seq(rank=22); Literature--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=154); ARCHS4--Coexpression(rank=796); GTEx--Coexpression(rank=962); Enrichr--Queries(rank=1350)","663","0.18640000000000001","ENCODE ChIP-seq,0.1864"
"MYBL2","-1.067026346729895714","-0.52187969881981655","-0.7944530227748560769","0.7944530227748561","Repressed","201","viper","201","0.7944530227748561",NA,NA,"6","ENCODE--ChIP-seq(rank=61); ReMap--ChIP-seq(rank=97); Literature--ChIP-seq(rank=131); GTEx--Coexpression(rank=820); ARCHS4--Coexpression(rank=937); Enrichr--Queries(rank=1287)","1008","0.32660000000000000","ReMap ChIP-seq,0.3266"
"EHF","1.417907269737125331","-0.13965430535825929","0.6391264821894330206","0.7787807875476923","Activated","202","viper","202","0.7787807875476923",NA,NA,"4","GTEx--Coexpression(rank=284); ReMap--ChIP-seq(rank=293); ARCHS4--Coexpression(rank=460); Enrichr--Queries(rank=534)","631","0.17670000000000000","GTEx Coexpression,0.1767"
"HNF4G","1.512241596441748159","-0.03478649503964158","0.7387275507010533371","0.7735140457406948","Activated","203","viper","203","0.7735140457406948",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=132); Enrichr--Queries(rank=370); ARCHS4--Coexpression(rank=725); GTEx--Coexpression(rank=1307)","856","0.26350000000000001","Enrichr Queries,0.2635"
"IRF1","1.017513037673697385","0.52087447387597430","0.7691937557748358412","0.7691937557748358","Activated","204","viper","204","0.7691937557748358",NA,NA,"6","GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=33); Literature--ChIP-seq(rank=42); Enrichr--Queries(rank=93); ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=120)","51","0.01307000000000000","GTEx Coexpression,0.01307"
"ELF5","-1.374355134984050153","-0.15318338145131424","-0.7637692582176821565","0.7637692582176822","Repressed","205","viper","205","0.7637692582176822",NA,NA,"5","Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=291); Enrichr--Queries(rank=475); GTEx--Coexpression(rank=1057); ARCHS4--Coexpression(rank=1505)","1040","0.33829999999999999","Enrichr Queries,0.3383"
"PKNOX1","0.572926945928784015","0.91996552319119285","0.7464462345599884863","0.7464462345599885","Activated","206","viper","206","0.7464462345599885",NA,NA,"4","ReMap--ChIP-seq(rank=67); ARCHS4--Coexpression(rank=990); Enrichr--Queries(rank=1000); GTEx--Coexpression(rank=1042)","771","0.22559999999999999","ReMap ChIP-seq,0.2256"
"HINFP","0.528407362440098227","0.95410547856904315","0.7412564205045706345","0.7412564205045706","Activated","207","viper","207","0.7412564205045706",NA,NA,"3","ReMap--ChIP-seq(rank=32); GTEx--Coexpression(rank=450); ARCHS4--Coexpression(rank=1353)","392","0.10770000000000000","ReMap ChIP-seq,0.1077"
"TAL1","-0.933268909710455175","0.54754101997177484","-0.1928639448693401648","0.7404049648411151","Repressed","208","viper","208","0.7404049648411151",NA,NA,"6","ReMap--ChIP-seq(rank=60); ENCODE--ChIP-seq(rank=82); Literature--ChIP-seq(rank=93); GTEx--Coexpression(rank=280); ARCHS4--Coexpression(rank=332); Enrichr--Queries(rank=829)","626","0.17419999999999999","GTEx Coexpression,0.1742"
"ETV1","-1.030113650439111961","-0.44187267250703666","-0.7359931614730743643","0.7359931614730744","Repressed","209","viper","209","0.7359931614730744",NA,NA,"4","GTEx--Coexpression(rank=119); ReMap--ChIP-seq(rank=184); Enrichr--Queries(rank=512); ARCHS4--Coexpression(rank=1476)","274","0.07405000000000000","GTEx Coexpression,0.07405"
"PPARA","0.982197538844392204","0.48115411393955282","0.7316758263919724836","0.7316758263919725","Activated","210","viper","210","0.7316758263919725",NA,NA,"3","ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=654); GTEx--Coexpression(rank=1246)","645","0.18120000000000000","ARCHS4 Coexpression,0.1812"
"FOSL1","-0.229957940537328459","1.21363816936995228","0.4918401144163119243","0.7217980549536404","Activated","211","viper","211","0.7217980549536404",NA,NA,"5","ENCODE--ChIP-seq(rank=8); Enrichr--Queries(rank=71); ReMap--ChIP-seq(rank=188); ARCHS4--Coexpression(rank=285); GTEx--Coexpression(rank=455)","183","0.05057000000000000","Enrichr Queries,0.05057"
"BATF","-0.998325515658190055","0.41680857631182960","-0.2907584696731801976","0.7075670459850099","Repressed","212","viper","212","0.7075670459850099",NA,NA,"5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=161); GTEx--Coexpression(rank=219); Enrichr--Queries(rank=418)","364","0.09889000000000001","ARCHS4 Coexpression,0.09889"
"CREB3L1","1.285071491766314411","0.12004611601756678","0.7025588038919405864","0.7025588038919406","Activated","213","viper","213","0.7025588038919406",NA,NA,"4","ReMap--ChIP-seq(rank=107); Enrichr--Queries(rank=157); GTEx--Coexpression(rank=396); ARCHS4--Coexpression(rank=1604)","404","0.11180000000000000","Enrichr Queries,0.1118"
"SIX2","0.291673808189876982","1.09081773000471127","0.6912457690972941826","0.6912457690972942","Activated","214","viper","214","0.6912457690972942",NA,NA,"4","ReMap--ChIP-seq(rank=280); GTEx--Coexpression(rank=430); Enrichr--Queries(rank=647); ARCHS4--Coexpression(rank=1127)","867","0.26760000000000000","GTEx Coexpression,0.2676"
