"TF","HT55","SW948","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZBTB33","1.296284355767732821","2.29063444051055631","1.7934593981391446782","1.7934593981391447","Activated","85","viper","85","1.7934593981391447",NA,NA,"5","GTEx--Coexpression(rank=41); ENCODE--ChIP-seq(rank=90); ReMap--ChIP-seq(rank=251); ARCHS4--Coexpression(rank=306); Enrichr--Queries(rank=1264)","98","0.02551000000000000","GTEx Coexpression,0.02551"
"PAX5","-1.284865156688461463","-2.29713839712150003","-1.7910017769049808578","1.7910017769049809","Repressed","86","viper","86","1.7910017769049809",NA,NA,"5","ENCODE--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=142); ARCHS4--Coexpression(rank=805); Enrichr--Queries(rank=818); GTEx--Coexpression(rank=945)","1290","0.47810000000000002","ReMap ChIP-seq,0.4781"
"PDX1","-1.081818501342801220","2.49267329544867211","0.7054273970529354454","1.7872458983957367","Activated","87","viper","87","1.7872458983957367",NA,NA,"5","Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=147); ReMap--ChIP-seq(rank=190); GTEx--Coexpression(rank=603); Enrichr--Queries(rank=1065)","334","0.09029000000000000","ARCHS4 Coexpression,0.09029"
"NFKB2","-2.909840734214850677","-0.65950786894272584","-1.7846743015787882580","1.7846743015787883","Repressed","88","viper","88","1.7846743015787883",NA,NA,"4","ARCHS4--Coexpression(rank=37); GTEx--Coexpression(rank=55); ReMap--ChIP-seq(rank=85); Enrichr--Queries(rank=122)","86","0.02273000000000000","ARCHS4 Coexpression,0.02273"
"THAP11","2.834423751010745729","-0.73153811345751363","1.0514428187766160505","1.7829809322341297","Activated","89","viper","89","1.7829809322341297",NA,NA,"5","Literature--ChIP-seq(rank=136); ReMap--ChIP-seq(rank=234); GTEx--Coexpression(rank=1096); Enrichr--Queries(rank=1198); ARCHS4--Coexpression(rank=1587)","1558","0.68200000000000016","GTEx Coexpression,0.682"
"NFE2L1","-1.488304778676657891","2.06609356312940529","0.2888943922263736974","1.7771991709030317","Activated","90","viper","90","1.7771991709030317",NA,NA,"4","ReMap--ChIP-seq(rank=148); Enrichr--Queries(rank=959); GTEx--Coexpression(rank=1247); ARCHS4--Coexpression(rank=1379)","1322","0.49830000000000002","ReMap ChIP-seq,0.4983"
"LYL1","-0.370951766257921589","-3.15994039876774524","-1.7654460825128333035","1.7654460825128333","Repressed","91","viper","91","1.7654460825128333",NA,NA,"5","ReMap--ChIP-seq(rank=118); Literature--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=140); Enrichr--Queries(rank=558); GTEx--Coexpression(rank=578)","319","0.08599999999999999","ARCHS4 Coexpression,0.086"
"ZKSCAN1","2.022308630273174757","-1.49125621037591993","0.2655262099486274119","1.7567824203245475","Activated","92","viper","92","1.7567824203245475",NA,NA,"5","ENCODE--ChIP-seq(rank=58); ReMap--ChIP-seq(rank=224); GTEx--Coexpression(rank=653); ARCHS4--Coexpression(rank=694); Enrichr--Queries(rank=1286)","1180","0.40629999999999999","GTEx Coexpression,0.4063"
"STAT6","2.469305640605714558","1.00709356466002853","1.7381996026328714322","1.7381996026328714","Activated","93","viper","93","1.7381996026328714",NA,NA,"4","Literature--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=142); Enrichr--Queries(rank=531); GTEx--Coexpression(rank=813)","322","0.08722000000000001","ARCHS4 Coexpression,0.08722"
"SOX13","2.753557160716623375","0.69547004885223485","1.7245136047844291660","1.7245136047844292","Activated","94","viper","94","1.7245136047844292",NA,NA,"4","ReMap--ChIP-seq(rank=86); Enrichr--Queries(rank=377); GTEx--Coexpression(rank=429); ARCHS4--Coexpression(rank=666)","864","0.26700000000000002","GTEx Coexpression,0.267"
"OTX2","-0.706911377032538035","2.73025868915184589","1.0116736560596539807","1.7185850330921919","Activated","95","viper","95","1.7185850330921919",NA,NA,"4","GTEx--Coexpression(rank=273); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=886); ARCHS4--Coexpression(rank=1325)","616","0.16990000000000000","GTEx Coexpression,0.1699"
"NCOA3","-0.435846164350181420","2.99943228633719539","1.2817930609935070940","1.7176392253436883","Activated","96","viper","96","1.7176392253436883",NA,NA,"4","ReMap--ChIP-seq(rank=276); GTEx--Coexpression(rank=719); Enrichr--Queries(rank=770); ARCHS4--Coexpression(rank=1264)","1246","0.44740000000000002","GTEx Coexpression,0.4474"
"MAFK","-1.760881922549297984","1.63276619663445866","-0.0640578629574196645","1.6968240595918784","Repressed","97","viper","97","1.6968240595918784",NA,NA,"5","ENCODE--ChIP-seq(rank=40); Enrichr--Queries(rank=43); ReMap--ChIP-seq(rank=91); GTEx--Coexpression(rank=110); ARCHS4--Coexpression(rank=1234)","116","0.03063000000000000","Enrichr Queries,0.03063"
"NEUROD1","1.767447908891637276","-1.60063612427900059","0.0834058923063183411","1.6840420165853189","Activated","98","viper","98","1.6840420165853189",NA,NA,"4","ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=155); ARCHS4--Coexpression(rank=466); Enrichr--Queries(rank=788)","357","0.09644999999999999","GTEx Coexpression,0.09645"
"LHX2","-0.602290640706824476","2.72103564627182859","1.0593725027825020568","1.6616631434893265","Activated","99","viper","99","1.6616631434893265",NA,NA,"4","ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=314); Enrichr--Queries(rank=437); ARCHS4--Coexpression(rank=1242)","688","0.19539999999999999","GTEx Coexpression,0.1954"
"IRF2","1.277104004841584040","2.00661698357887630","1.6418604942102301703","1.6418604942102302","Activated","100","viper","100","1.6418604942102302",NA,NA,"4","ARCHS4--Coexpression(rank=83); ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=276); Enrichr--Queries(rank=540)","185","0.05098000000000000","ARCHS4 Coexpression,0.05098"
"KLF6","1.711478703937755030","1.56934414228469921","1.6404114231112272293","1.6404114231112272","Activated","101","viper","101","1.6404114231112272",NA,NA,"4","ARCHS4--Coexpression(rank=5); ReMap--ChIP-seq(rank=44); GTEx--Coexpression(rank=59); Enrichr--Queries(rank=62)","13","0.00307100000000000","ARCHS4 Coexpression,0.003071"
"SMAD5","-1.879224416230818484","-1.39884715256833880","-1.6390357843995786435","1.6390357843995786","Repressed","102","viper","102","1.6390357843995786",NA,NA,"4","ReMap--ChIP-seq(rank=108); ARCHS4--Coexpression(rank=229); GTEx--Coexpression(rank=1215); Enrichr--Queries(rank=1255)","510","0.14069999999999999","ARCHS4 Coexpression,0.1407"
"CREM","-0.911387729862093154","2.35909611700060040","0.7238541935692536233","1.6352419234313467","Activated","103","viper","103","1.6352419234313467",NA,NA,"5","ARCHS4--Coexpression(rank=40); Enrichr--Queries(rank=52); Literature--ChIP-seq(rank=109); ReMap--ChIP-seq(rank=115); GTEx--Coexpression(rank=1419)","95","0.02457000000000000","ARCHS4 Coexpression,0.02457"
"CREB1","1.379198288669147843","1.86775694530778691","1.6234776169884672647","1.6234776169884673","Activated","104","viper","104","1.6234776169884673",NA,NA,"6","ENCODE--ChIP-seq(rank=48); Literature--ChIP-seq(rank=57); ReMap--ChIP-seq(rank=146); Enrichr--Queries(rank=1273); GTEx--Coexpression(rank=1428); ARCHS4--Coexpression(rank=1468)","1064","0.34760000000000002","Literature ChIP-seq,0.3476"
"ONECUT1","0.876475490107386679","2.36819081486392324","1.6223331524856550168","1.6223331524856550","Activated","105","viper","105","1.6223331524856550",NA,NA,"4","ReMap--ChIP-seq(rank=187); GTEx--Coexpression(rank=222); Enrichr--Queries(rank=603); ARCHS4--Coexpression(rank=775)","498","0.13810000000000000","GTEx Coexpression,0.1381"
"ZNF274","-0.807981459560899173","-2.40587406934976977","-1.6069277644553343620","1.6069277644553344","Repressed","106","viper","106","1.6069277644553344",NA,NA,"6","Enrichr--Queries(rank=18); ENCODE--ChIP-seq(rank=103); Literature--ChIP-seq(rank=151); ReMap--ChIP-seq(rank=206); ARCHS4--Coexpression(rank=425); GTEx--Coexpression(rank=1110)","49","0.01282000000000000","Enrichr Queries,0.01282"
"MITF","1.882027335537136414","1.32185453405664011","1.6019409347968882606","1.6019409347968883","Activated","107","viper","107","1.6019409347968883",NA,NA,"5","Literature--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=112); Enrichr--Queries(rank=155); GTEx--Coexpression(rank=908)","255","0.06880000000000000","ARCHS4 Coexpression,0.0688"
"MAFF","-0.251431035759374699","2.94281359225162609","1.3456912782461256661","1.5971223140055004","Activated","108","viper","108","1.5971223140055004",NA,NA,"5","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=74); ENCODE--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=1619)","14","0.00311100000000000","GTEx Coexpression,0.003111"
"PBX3","-0.314560412528836209","2.87666063868515165","1.2810501130781577483","1.5956105256069939","Activated","109","viper","109","1.5956105256069939",NA,NA,"5","ENCODE--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=622); Enrichr--Queries(rank=622); GTEx--Coexpression(rank=1249)","1132","0.38210000000000000","ARCHS4 Coexpression,0.3821"
"ZNF217","0.659057280318303351","2.47688497252913953","1.5679711264237214952","1.5679711264237215","Activated","110","viper","110","1.5679711264237215",NA,NA,"6","ENCODE--ChIP-seq(rank=57); Literature--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=63); GTEx--Coexpression(rank=589); Enrichr--Queries(rank=604); ARCHS4--Coexpression(rank=783)","732","0.21210000000000001","ReMap ChIP-seq,0.2121"
"GABPA","-0.938537564026548199","2.16705684599840431","0.6142596409859280016","1.5527972050124763","Activated","111","viper","111","1.5527972050124763",NA,NA,"6","Literature--ChIP-seq(rank=15); ENCODE--ChIP-seq(rank=88); ReMap--ChIP-seq(rank=283); ARCHS4--Coexpression(rank=1034); Enrichr--Queries(rank=1358); GTEx--Coexpression(rank=1603)","337","0.09146000000000000","Literature ChIP-seq,0.09146"
"FOXJ2","0.343435830886329008","2.75901057786570325","1.5512232043760161293","1.5512232043760161","Activated","112","viper","112","1.5512232043760161",NA,NA,"4","ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=321); Enrichr--Queries(rank=554); GTEx--Coexpression(rank=665)","182","0.05051000000000000","ReMap ChIP-seq,0.05051"
"USF2","1.631425705220939326","1.40632489604741506","1.5188753006341770835","1.5188753006341771","Activated","113","viper","113","1.5188753006341771",NA,NA,"5","ReMap--ChIP-seq(rank=23); ENCODE--ChIP-seq(rank=26); Enrichr--Queries(rank=1144); ARCHS4--Coexpression(rank=1164); GTEx--Coexpression(rank=1594)","287","0.07743999999999999","ReMap ChIP-seq,0.07744"
"RARA","1.272077871960934692","1.70200914247407531","1.4870435072175050006","1.4870435072175050","Activated","114","viper","114","1.4870435072175050",NA,NA,"5","Literature--ChIP-seq(rank=70); ReMap--ChIP-seq(rank=172); Enrichr--Queries(rank=180); GTEx--Coexpression(rank=199); ARCHS4--Coexpression(rank=403)","448","0.12379999999999999","GTEx Coexpression,0.1238"
"GRHL2","2.089355672818428378","0.84126630140059411","1.4653109871095111316","1.4653109871095111","Activated","115","viper","115","1.4653109871095111",NA,NA,"5","ReMap--ChIP-seq(rank=47); Literature--ChIP-seq(rank=97); GTEx--Coexpression(rank=138); ARCHS4--Coexpression(rank=661); Enrichr--Queries(rank=1147)","318","0.08587000000000000","GTEx Coexpression,0.08587"
"MYB","1.759057563346345665","-1.17006292571085768","0.2944973188177439916","1.4645602445286017","Activated","116","viper","116","1.4645602445286017",NA,NA,"6","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=99); Literature--ChIP-seq(rank=115); ARCHS4--Coexpression(rank=537); GTEx--Coexpression(rank=629); Enrichr--Queries(rank=810)","877","0.27120000000000000","ENCODE ChIP-seq,0.2712"
"MEF2B","0.948381659289823320","1.93069463150889753","1.4395381453993603138","1.4395381453993603","Activated","117","viper","117","1.4395381453993603",NA,NA,"4","Enrichr--Queries(rank=261); GTEx--Coexpression(rank=270); ReMap--ChIP-seq(rank=282); ARCHS4--Coexpression(rank=524)","609","0.16800000000000001","GTEx Coexpression,0.168"
"ZNF384","-1.135096033147154015","1.71668053834953471","0.2907922526011903486","1.4258882857483444","Activated","118","viper","118","1.4258882857483444",NA,NA,"5","ENCODE--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=90); Enrichr--Queries(rank=1029); GTEx--Coexpression(rank=1333); ARCHS4--Coexpression(rank=1366)","943","0.29659999999999992","ENCODE ChIP-seq,0.2966"
"TEAD2","2.360682040190170916","0.48013491494639998","1.4204084775682854769","1.4204084775682855","Activated","119","viper","119","1.4204084775682855",NA,NA,"4","ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=615); ARCHS4--Coexpression(rank=699); Enrichr--Queries(rank=801)","780","0.22900000000000001","ReMap ChIP-seq,0.229"
