"sig_names","p.value","statistic","p.adj","log10pvalue","stars","Method_Source","p.value.label","p.adj.label","Significance","Adjusted_Significance"
"Eosinophils_CIBERSORT","0.00001270874449188488","0.203059959958105024","0.0003050098678052372","4.89589735166305395","****","IOBR::batch_cor","<0.001","<0.001","***","***"
"Mast_cells_activated_CIBERSORT","0.00028757441303745875","0.169238605578644175","0.0034508929564495052","3.54124975796573249","***","IOBR::batch_cor","<0.001","0.003","***","**"
"Dendritic_cells_activated_CIBERSORT","0.00071692688380036004","0.158035513335244737","0.0057354150704028804","3.14452513384574139","***","IOBR::batch_cor","<0.001","0.006","***","**"
"T_cells_follicular_helper_CIBERSORT","0.00144403133381082265","0.148924026663747516","0.0086641880028649355","2.84042338297587005","**","IOBR::batch_cor","0.001","0.009","**","**"
"T_cells_regulatory_(Tregs)_CIBERSORT","0.00405916372952286157","-0.134470578956381620","0.0194839859017097335","2.39156343072405253","**","IOBR::batch_cor","0.004","0.019","**","*"
"Mast_cells_resting_CIBERSORT","0.00571987477034011007","-0.129362299554349081","0.0228794990813604403","2.24261347944921718","**","IOBR::batch_cor","0.006","0.023","**","*"
"Macrophages_M2_CIBERSORT","0.01873934257409316795","-0.110168799680916335","0.0642491745397480024","1.72724564938484004","*","IOBR::batch_cor","0.019","0.064","*","ns"
"Macrophages_M0_CIBERSORT","0.03810364004516354069","-0.097255298231238657","0.1143109201354906290","1.41903353414021960","*","IOBR::batch_cor","0.038","0.114","*","ns"
"RMSE_CIBERSORT","0.04308969957821111307","-0.094879141262169328","0.1149058655418963015","1.36562653380627097","*","IOBR::batch_cor","0.043","0.115","*","ns"
"B_cells_memory_CIBERSORT","0.05188659291115045591","0.091200427102821655","0.1245278229867610859","1.28494484594540048","+","IOBR::batch_cor","0.052","0.125","ns","ns"
"T_cells_CD4_memory_resting_CIBERSORT","0.06604420895035556516","0.086249170899606514","0.1440964558916848492","1.18016525724954313","+","IOBR::batch_cor","0.066","0.144","ns","ns"
"Monocytes_CIBERSORT","0.08810340843340880301","0.080046367504426300","0.1653591606194785846","1.05500728982645686","+","IOBR::batch_cor","0.088","0.165","ns","ns"
"Correlation_CIBERSORT","0.09412583473995464467","0.078574231240588766","0.1653591606194785846","1.02629115930281123","+","IOBR::batch_cor","0.094","0.165","ns","ns"
"NK_cells_resting_CIBERSORT","0.09645951036136250767","-0.078024006575868554","0.1653591606194785846","1.01565494693308800","+","IOBR::batch_cor","0.096","0.165","ns","ns"
"P-value_CIBERSORT","0.10838237438216020980","-0.075367541696463120","0.1734117990114563412","0.96504133893190669","+","IOBR::batch_cor","0.108","0.173","ns","ns"
"T_cells_gamma_delta_CIBERSORT","0.12250278152551542787","0.072504522750592493","0.1837541722882731487","0.91185405017725940","+","IOBR::batch_cor","0.123","0.184","ns","ns"
"T_cells_CD4_memory_activated_CIBERSORT","0.20185373554684432618","0.059944378073966409","0.2849699795955449311","0.69496320903608089","+","IOBR::batch_cor","0.202","0.285","ns","ns"
"NK_cells_activated_CIBERSORT","0.26308065058329416219","-0.052574394037483402","0.3507742007777255311","0.57991109282621722","+","IOBR::batch_cor","0.263","0.351","ns","ns"
"Neutrophils_CIBERSORT","0.39002560338667890960","0.040391967164859821","0.4926639200673838537","0.40890688260279401","+","IOBR::batch_cor","0.390","0.493","ns","ns"
"T_cells_CD8_CIBERSORT","0.49735570803431861098","-0.031895535028271041","0.5968268496411822666","0.30333289339817343","+","IOBR::batch_cor","0.497","0.597","ns","ns"
"Macrophages_M1_CIBERSORT","0.60437577637116413065","-0.024353143911984603","0.6907151729956161335","0.21869295068502911","","IOBR::batch_cor","0.604","0.691","ns","ns"
"Plasma_cells_CIBERSORT","0.66646375297747006972","-0.020259543950381962","0.7270513668845127730","0.17622346561987437","","IOBR::batch_cor","0.666","0.727","ns","ns"
"Dendritic_cells_resting_CIBERSORT","0.76732574928900898481","-0.013908408677146997","0.8006877383885311339","0.11502022785622514","","IOBR::batch_cor","0.767","0.801","ns","ns"
"B_cells_naive_CIBERSORT","0.84542197040491395832","-0.009165021554868041","0.8454219704049139583","0.07292647013174949","","IOBR::batch_cor","0.845","0.845","ns","ns"
