"Input_Type","TF_Analysis_Name","Intersection_Name","Required_Methods","Number_Of_Methods","Intersected_TF_Count","Reported_Top_N","Result_File","Summary_File"
"DEG","RKO","ALL_6_METHODS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","150","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ALL_6_METHODS/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ALL_6_METHODS/summary/summary.csv"
"DEG","RKO","WITHOUT_CHEA3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","5","150","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/WITHOUT_CHEA3/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/WITHOUT_CHEA3/summary/summary.csv"
"DEG","RKO","DOROTHEA_CHEA3_VIPER","DoRothEA;ChEA3;VIPER","3","255","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/DOROTHEA_CHEA3_VIPER/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/DOROTHEA_CHEA3_VIPER/summary/summary.csv"
"DEG","RKO","ENRICHR_TRRUST_COLLECTRI","ENRICHR;TRRUST;CollecTRI","3","269","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ENRICHR_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ENRICHR_TRRUST_COLLECTRI/summary/summary.csv"
"DEG","RKO","ACTIVITY_METHODS_VIPER_COLLECTRI","VIPER;CollecTRI","2","222","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ACTIVITY_METHODS_VIPER_COLLECTRI/summary/summary.csv"
"DEG","RKO","ORA_METHODS_DOROTHEA_TRRUST","DoRothEA;TRRUST","2","174","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ORA_METHODS_DOROTHEA_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/ORA_METHODS_DOROTHEA_TRRUST/summary/summary.csv"
"DEG","RKO","API_METHODS_CHEA3_ENRICHR","ChEA3;ENRICHR","2","357","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/API_METHODS_CHEA3_ENRICHR/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/API_METHODS_CHEA3_ENRICHR/summary/summary.csv"
"DEG","RKO","SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI","DoRothEA;VIPER;CollecTRI","3","222","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/SIGNED_NETWORK_DOROTHEA_VIPER_COLLECTRI/summary/summary.csv"
"DEG","RKO","LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST","DoRothEA;ChEA3;ENRICHR;TRRUST","4","166","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/LIST_BASED_ORA_API_DOROTHEA_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"DEG","RKO","CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST","ChEA3;ENRICHR;TRRUST","3","227","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/CHIP_LITERATURE_EVIDENCE_CHEA3_ENRICHR_TRRUST/summary/summary.csv"
"DEG","RKO","BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI","ChEA3;ENRICHR;CollecTRI","3","314","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/BROAD_DATABASE_EVIDENCE_CHEA3_ENRICHR_COLLECTRI/summary/summary.csv"
"DEG","RKO","CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI","DoRothEA;TRRUST;CollecTRI","3","170","10","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/candidates/top10_tf_candidates.csv","results/ngs/GSE114012/TF_summary/deg/RKO/intersections/CURATED_REGULON_NETWORK_DOROTHEA_TRRUST_COLLECTRI/summary/summary.csv"
