Pathway,PROTON TRANSMEMBRANE TRANSPORT,NEURON CELLULAR HOMEOSTASIS,SPERMIDINE TRANSPORT,SPERMIDINE TRANSMEMBRANE TRANSPORT,"PHOSPHOLIPASE C ACTIVATING G PROTEIN COUPLED
RECEPTOR SIGNALING PATHWAY","PHOSPHOLIPASE C ACTIVATING SEROTONIN RECEPTOR
SIGNALING PATHWAY","G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY
COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER","POSITIVE REGULATION OF TELOMERE MAINTENANCE
VIA TELOMERE LENGTHENING",POSITIVE REGULATION OF TELOMERE MAINTENANCE,"POSITIVE REGULATION OF CHROMOSOME
ORGANIZATION",REGULATION OF DNA DAMAGE CHECKPOINT,"NEGATIVE REGULATION OF INTERLEUKIN 10
PRODUCTION",T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,"T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT
WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN
PRESENTING CELL","CELLULAR RESPONSE TO MOLECULE OF BACTERIAL
ORIGIN",DENDRITIC CELL DIFFERENTIATION,DENDRITIC CELL APOPTOTIC PROCESS,REGULATION OF CHROMOSOME CONDENSATION,"REGULATION OF HISTAMINE SECRETION BY MAST
CELL","DE NOVO NADPLUS BIOSYNTHETIC PROCESS FROM L
TRYPTOPHAN",QUINOLINATE METABOLIC PROCESS,NUCLEOBASE CONTAINING COMPOUND TRANSPORT,RNA LOCALIZATION,PORE COMPLEX ASSEMBLY,NUCLEAR PORE COMPLEX ASSEMBLY,"PYRIMIDINE DEOXYRIBONUCLEOSIDE METABOLIC
PROCESS",CARDIAC ATRIUM DEVELOPMENT,RENAL SYSTEM VASCULATURE MORPHOGENESIS,POSITIVE REGULATION OF MUSCLE HYPERTROPHY,POSITIVE REGULATION OF MRNA METABOLIC PROCESS,"NEGATIVE REGULATION OF MAST CELL
DEGRANULATION",NEGATIVE REGULATION OF MAST CELL ACTIVATION,C21 STEROID HORMONE METABOLIC PROCESS,MAMMARY GLAND BRANCHING INVOLVED IN PREGNANCY,"REGULATION OF MODIFICATION OF POSTSYNAPTIC
ACTIN CYTOSKELETON",INORGANIC ION IMPORT ACROSS PLASMA MEMBRANE,MYELIN MAINTENANCE,REGULATION OF CLATHRIN DEPENDENT ENDOCYTOSIS,POSITIVE REGULATION OF LIPID STORAGE,NUCLEAR MIGRATION ALONG MICROTUBULE
PROTON TRANSMEMBRANE TRANSPORT,1.0,0.09844559585492228,0.010362694300518135,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010362694300518135,0.0,0.0,0.0,0.0,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0,0.0,0.13471502590673576,0.0,0.0,0.0,0.0
NEURON CELLULAR HOMEOSTASIS,0.3584905660377358,1.0,0.0,0.0,0.018867924528301886,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0
SPERMIDINE TRANSPORT,0.3333333333333333,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPERMIDINE TRANSMEMBRANE TRANSPORT,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PHOSPHOLIPASE C ACTIVATING G PROTEIN COUPLED
RECEPTOR SIGNALING PATHWAY",0.0,0.006369426751592357,0.0,0.0,1.0,0.03821656050955414,0.10828025477707007,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.0,0.03184713375796178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.0,0.0,0.0,0.006369426751592357,0.006369426751592357,0.025477707006369428,0.0,0.0,0.0,0.012738853503184714,0.006369426751592357,0.0,0.0,0.0,0.006369426751592357,0.0,0.0
"PHOSPHOLIPASE C ACTIVATING SEROTONIN RECEPTOR
SIGNALING PATHWAY",0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY
COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER",0.0,0.03571428571428571,0.0,0.0,0.30357142857142855,0.07142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POSITIVE REGULATION OF TELOMERE MAINTENANCE
VIA TELOMERE LENGTHENING",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSITIVE REGULATION OF TELOMERE MAINTENANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35135135135135137,1.0,1.0,0.02702702702702703,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.2972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POSITIVE REGULATION OF CHROMOSOME
ORGANIZATION",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24761904761904763,0.7047619047619048,1.0,0.01904761904761905,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0761904761904762,0.0,0.0,0.0,0.0380952380952381,0.21904761904761905,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
