"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.666666666666666","1","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=1; score=3.9923; p=0.00010179","rank=15; score=3.2007; direction=Activated","rank=4; score=2.8976; p=1.7206e-07; direction=Activated"
"2","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.333333333333334","12","6","ENCODE--ChIP-seq(rank=101); Literature--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=249); ARCHS4--Coexpression(rank=638); GTEx--Coexpression(rank=649); Enrichr--Queries(rank=1144)","1181","rank=15; score=1.4281; p=0.037315","rank=12; score=3.6156; direction=Repressed","rank=19; score=2.8861; p=8.1645e-05; direction=Repressed"
"3","STAT1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.666666666666668","13","6","ENCODE--ChIP-seq(rank=99); ReMap--ChIP-seq(rank=139); Literature--ChIP-seq(rank=145); ARCHS4--Coexpression(rank=241); GTEx--Coexpression(rank=617); Enrichr--Queries(rank=629)","524","rank=34; score=0.61541; p=0.24243","rank=13; score=3.5178; direction=Activated","rank=21; score=2.8118; p=0.00014265; direction=Activated"
"4","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.000000000000000","1","6","ENCODE--ChIP-seq(rank=77); Literature--ChIP-seq(rank=103); ReMap--ChIP-seq(rank=233); ARCHS4--Coexpression(rank=275); Enrichr--Queries(rank=1069); GTEx--Coexpression(rank=1419)","595","rank=67; score=0; p=1","rank=1; score=7.0182; direction=Repressed","rank=1; score=7.3903; p=2.3575e-28; direction=Repressed"
"5","TP53","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.666666666666664","5","5","Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=41); ARCHS4--Coexpression(rank=590); Enrichr--Queries(rank=920); GTEx--Coexpression(rank=1085)","385","rank=11; score=1.6422; p=0.022793","rank=5; score=3.9932; direction=Activated","rank=73; score=1.7861; p=0.0048035; direction=Activated"
"6","FOXO3","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","33.333333333333336","2","4","Literature--ChIP-seq(rank=132); Enrichr--Queries(rank=427); ARCHS4--Coexpression(rank=574); GTEx--Coexpression(rank=723)","988","rank=90; score=0; p=1","rank=8; score=3.9253; direction=Activated","rank=2; score=4.1386; p=1.4283e-09; direction=Activated"
"7","E2F2","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","39.666666666666664","9","3","GTEx--Coexpression(rank=553); ARCHS4--Coexpression(rank=657); Enrichr--Queries(rank=1113)","1093","rank=65; score=0; p=1","rank=9; score=3.8379; direction=Repressed","rank=45; score=2.5839; p=0.0015015; direction=Repressed"
"8","NFKB1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.000000000000000","33","4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","rank=33; score=0.83899; p=0.14488","rank=59; score=2.1372; direction=Activated","rank=49; score=1.6274; p=0.0018546; direction=Activated"
"9","FOSL1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.000000000000000","4","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=4; score=1.9828; p=0.010403","rank=102; score=1.6943; direction=Activated","rank=41; score=1.8339; p=0.0010321; direction=Activated"
"10","E2F3","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","49.333333333333336","40","3","ARCHS4--Coexpression(rank=369); GTEx--Coexpression(rank=489); Enrichr--Queries(rank=968)","775","rank=66; score=0; p=1","rank=42; score=2.2885; direction=Repressed","rank=40; score=2.545; p=0.0010307; direction=Repressed"
