Pathway,"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,ABNORMALITY OF THE MITOCHONDRION,"DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX
IV",INCREASED CIRCULATING LACTATE CONCENTRATION,"DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX
III",LACTIC ACIDOSIS,ABNORMALITY OF ACID BASE HOMEOSTASIS,"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION",ABNORMAL CSF LACTATE CONCENTRATION,ATTENTION DEFICIT HYPERACTIVITY DISORDER,CONSTIPATION,"RESTRICTED OR REPETITIVE BEHAVIORS OR
INTERESTS",INCREASED HEAD CIRCUMFERENCE,BROAD FOREHEAD,THIN UPPER LIP VERMILION,THIN VERMILION BORDER,ABNORMALITY OF UPPER LIP VERMILLION,ABNORMAL NASAL TIP MORPHOLOGY,HYPERTRICHOSIS,SHORT PHILTRUM,LARGE FACE,MACROTIA,PES CAVUS,INHERITANCE QUALIFIER,TYPIFIED BY SOMATIC MOSAICISM,ABNORMAL ORAL MUCOSA MORPHOLOGY,BRACHYDACTYLY,ABNORMAL ILIUM MORPHOLOGY,RETICULOCYTOPENIA,"ABNORMAL ERYTHROCYTE ADENOSINE DEAMINASE
ACTIVITY",PURE RED CELL APLASIA,ABSENT THUMB,DUPLICATION OF THUMB PHALANX,LETHARGY,INCREASED MEAN CORPUSCULAR VOLUME,PERSISTENCE OF HEMOGLOBIN F,MACROCYTIC ANEMIA,ERYTHROID HYPOPLASIA,NONIMMUNE HYDROPS FETALIS
"ABNORMAL ACTIVITY OF MITOCHONDRIAL
RESPIRATORY CHAIN",1.0,0.6754966887417219,1.0,0.47019867549668876,0.6556291390728477,0.31788079470198677,0.6291390728476821,0.8741721854304636,0.3973509933774834,0.44370860927152317,0.006622516556291391,0.0728476821192053,0.013245033112582781,0.039735099337748346,0.006622516556291391,0.006622516556291391,0.013245033112582781,0.013245033112582781,0.013245033112582781,0.059602649006622516,0.019867549668874173,0.013245033112582781,0.006622516556291391,0.07947019867549669,0.033112582781456956,0.0,0.0,0.039735099337748346,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.31125827814569534,0.0,0.0,0.013245033112582781,0.0,0.039735099337748346
DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX I,1.0,1.0,1.0,0.49019607843137253,0.6470588235294118,0.3431372549019608,0.696078431372549,0.8921568627450981,0.5098039215686274,0.47058823529411764,0.00980392156862745,0.06862745098039216,0.00980392156862745,0.029411764705882353,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0,0.06862745098039216,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.049019607843137254,0.0392156862745098,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.37254901960784315,0.0,0.0,0.0196078431372549,0.0,0.058823529411764705
ABNORMALITY OF THE MITOCHONDRION,0.6265560165975104,0.42323651452282157,1.0,0.2946058091286307,0.5435684647302904,0.1991701244813278,0.5435684647302904,0.7883817427385892,0.34439834024896265,0.36929460580912865,0.02074688796680498,0.12033195020746888,0.02074688796680498,0.06224066390041494,0.016597510373443983,0.008298755186721992,0.016597510373443983,0.024896265560165973,0.012448132780082987,0.08713692946058091,0.012448132780082987,0.016597510373443983,0.012448132780082987,0.1037344398340249,0.06639004149377593,0.004149377593360996,0.024896265560165973,0.024896265560165973,0.008298755186721992,0.0,0.0,0.0,0.0,0.0,0.27800829875518673,0.0,0.0,0.012448132780082987,0.0,0.024896265560165973
"DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX
IV",1.0,0.704225352112676,1.0,1.0,0.704225352112676,0.4647887323943662,0.5352112676056338,0.8169014084507042,0.36619718309859156,0.3380281690140845,0.014084507042253521,0.09859154929577464,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.07042253521126761,0.014084507042253521,0.0,0.014084507042253521,0.11267605633802817,0.014084507042253521,0.0,0.0,0.056338028169014086,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.15492957746478872,0.0,0.0,0.014084507042253521,0.0,0.056338028169014086
INCREASED CIRCULATING LACTATE CONCENTRATION,0.42857142857142855,0.2857142857142857,0.5670995670995671,0.21645021645021645,1.0,0.17316017316017315,0.5194805194805194,1.0,0.2857142857142857,0.38961038961038963,0.025974025974025976,0.15151515151515152,0.030303030303030304,0.030303030303030304,0.0,0.021645021645021644,0.03463203463203463,0.03463203463203463,0.021645021645021644,0.08225108225108226,0.012987012987012988,0.021645021645021644,0.012987012987012988,0.08658008658008658,0.03896103896103896,0.0,0.012987012987012988,0.021645021645021644,0.008658008658008658,0.0,0.0,0.0,0.0,0.0,0.19913419913419914,0.004329004329004329,0.0,0.017316017316017316,0.0,0.012987012987012988
"DECREASED ACTIVITY OF MITOCHONDRIAL COMPLEX
III",1.0,0.7291666666666666,1.0,0.6875,0.8333333333333334,1.0,0.6666666666666666,0.9166666666666666,0.3125,0.3125,0.0,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.08333333333333333,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,0.0,0.0,0.0,0.0,0.08333333333333333
LACTIC ACIDOSIS,0.472636815920398,0.35323383084577115,0.6517412935323383,0.1890547263681592,0.5970149253731343,0.15920398009950248,1.0,1.0,0.40298507462686567,0.417910447761194,0.004975124378109453,0.13432835820895522,0.0,0.029850746268656716,0.004975124378109453,0.01990049751243781,0.024875621890547265,0.03482587064676617,0.009950248756218905,0.07960199004975124,0.004975124378109453,0.009950248756218905,0.014925373134328358,0.06467661691542288,0.04477611940298507,0.0,0.004975124378109453,0.024875621890547265,0.004975124378109453,0.0,0.0,0.0,0.0,0.0,0.34328358208955223,0.004975124378109453,0.0,0.01990049751243781,0.0,0.024875621890547265
ABNORMALITY OF ACID BASE HOMEOSTASIS,0.28509719222462204,0.19654427645788336,0.4103671706263499,0.12526997840172785,0.49892008639308855,0.09503239740820735,0.43412526997840173,1.0,0.19438444924406048,0.23758099352051837,0.028077753779697623,0.11231101511879049,0.02591792656587473,0.06047516198704104,0.012958963282937365,0.019438444924406047,0.03455723542116631,0.03455723542116631,0.02159827213822894,0.047516198704103674,0.01079913606911447,0.02591792656587473,0.032397408207343416,0.058315334773218146,0.04535637149028078,0.008639308855291577,0.04103671706263499,0.023758099352051837,0.01079913606911447,0.0,0.0,0.0,0.0021598272138228943,0.0021598272138228943,0.2591792656587473,0.01079913606911447,0.0,0.02591792656587473,0.0,0.01511879049676026
"MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL
DYSFUNCTION",0.594059405940594,0.5148514851485149,0.8217821782178217,0.25742574257425743,0.6534653465346535,0.1485148514851485,0.801980198019802,0.8910891089108911,1.0,0.5841584158415841,0.0,0.21782178217821782,0.0,0.0297029702970297,0.0,0.0,0.009900990099009901,0.019801980198019802,0.0,0.12871287128712872,0.0,0.019801980198019802,0.0,0.09900990099009901,0.0891089108910891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40594059405940597,0.0,0.0,0.019801980198019802,0.0,0.009900990099009901
ABNORMAL CSF LACTATE CONCENTRATION,0.5726495726495726,0.41025641025641024,0.7606837606837606,0.20512820512820512,0.7692307692307693,0.1282051282051282,0.717948717948718,0.9401709401709402,0.5042735042735043,1.0,0.008547008547008548,0.20512820512820512,0.017094017094017096,0.042735042735042736,0.0,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.017094017094017096,0.13675213675213677,0.0,0.0,0.02564102564102564,0.09401709401709402,0.07692307692307693,0.0,0.017094017094017096,0.03418803418803419,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.36752136752136755,0.0,0.0,0.02564102564102564,0.0,0.008547008547008548
