"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","ATF4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.333333333333333","1","4","ReMap--ChIP-seq(rank=95); GTEx--Coexpression(rank=713); Enrichr--Queries(rank=774); ARCHS4--Coexpression(rank=1404)","895","rank=1; score=10.292; p=5.1035e-11","rank=2; score=4.9598; direction=Activated","rank=1; score=5.3843; p=7.2727e-08; direction=Activated"
"2","NFKB1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.666666666666666","4","4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=458)","13","rank=13; score=3.4183; p=0.00038167","rank=4; score=4.2144; direction=Activated","rank=15; score=3.2326; p=0.0012265; direction=Activated"
"3","RELA","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.666666666666668","8","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=656)","68","rank=14; score=3.3943; p=0.0004034","rank=8; score=3.7914; direction=Activated","rank=31; score=2.8349; p=0.0045847; direction=Activated"
"4","E2F1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.333333333333332","5","6","Literature--ChIP-seq(rank=83); ENCODE--ChIP-seq(rank=95); ReMap--ChIP-seq(rank=236); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=1028); ARCHS4--Coexpression(rank=1434)","688","rank=12; score=3.4442; p=0.00035961","rank=38; score=2.3257; direction=Activated","rank=5; score=3.7634; p=0.00016763; direction=Activated"
"5","STAT3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.333333333333332","15","6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=64); GTEx--Coexpression(rank=543); Enrichr--Queries(rank=763)","143","rank=22; score=2.468; p=0.0034044","rank=15; score=3.4093; direction=Activated","rank=36; score=2.7048; p=0.0068338; direction=Activated"
"6","ETV4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.666666666666668","10","4","Enrichr--Queries(rank=63); ReMap--ChIP-seq(rank=134); ARCHS4--Coexpression(rank=373); GTEx--Coexpression(rank=614)","168","rank=25; score=2.1962; p=0.0063649","rank=10; score=3.7243; direction=Activated","rank=42; score=2.6722; p=0.0075352; direction=Activated"
"7","TP53","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","11","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=194); GTEx--Coexpression(rank=862); Enrichr--Queries(rank=1078); ARCHS4--Coexpression(rank=1528)","239","rank=11; score=3.528; p=0.00029649","rank=33; score=2.496; direction=Activated","rank=37; score=2.7033; p=0.0068658; direction=Activated"
"8","FOSL1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.666666666666668","13","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=17); ARCHS4--Coexpression(rank=34); GTEx--Coexpression(rank=109)","45","rank=50; score=1.4949; p=0.031995","rank=29; score=2.5787; direction=Activated","rank=13; score=3.3459; p=0.0008201; direction=Activated"
"9","JUN","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.000000000000000","2","6","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=31); ARCHS4--Coexpression(rank=40)","11","rank=2; score=6.2086; p=6.1864e-07","rank=13; score=3.4519; direction=Activated","rank=78; score=2.2565; p=0.024037; direction=Activated"
"10","E2F4","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.333333333333336","8","6","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=109); Literature--ChIP-seq(rank=151); GTEx--Coexpression(rank=683); Enrichr--Queries(rank=1063); ARCHS4--Coexpression(rank=1395)","986","rank=46; score=1.6526; p=0.022254","rank=52; score=1.987; direction=Activated","rank=8; score=3.6329; p=0.0002803; direction=Activated"
