"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","FOXO3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.33333333333333","2","4","Literature--ChIP-seq(rank=87); Enrichr--Queries(rank=882); GTEx--Coexpression(rank=934); ARCHS4--Coexpression(rank=1010)","1313","rank=56; score=1.2558; p=0.055484","rank=21; score=2.1254; p=0.0074916","rank=2; score=3.3167; p=0.00091088; direction=Activated"
"2","FOXO4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.00000000000000","18","3","GTEx--Coexpression(rank=708); Enrichr--Queries(rank=789); ARCHS4--Coexpression(rank=1278)","1169","rank=51; score=1.4029; p=0.039543","rank=18; score=2.1335; p=0.0073529","rank=21; score=2.5291; p=0.011437; direction=Activated"
"3","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.66666666666666","9","4","GTEx--Coexpression(rank=100); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=1350); ARCHS4--Coexpression(rank=1557)","247","rank=54; score=1.2957; p=0.050612","rank=9; score=2.9494; p=0.0011237","rank=80; score=1.7748; p=0.075923; direction=Activated"
"4","STAT4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.66666666666666","5","4","Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=523); ARCHS4--Coexpression(rank=768); GTEx--Coexpression(rank=1353)","1041","rank=36; score=1.6827; p=0.020764","rank=114; score=0.64866; p=0.22456","rank=5; score=2.9373; p=0.0033106; direction=Repressed"
"5","ELF3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.66666666666666","13","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=36); ARCHS4--Coexpression(rank=39); Enrichr--Queries(rank=159)","15","rank=13; score=2.8946; p=0.0012746","rank=97; score=0.72617; p=0.18786","rank=54; score=1.9704; p=0.048794; direction=Repressed"
"6","IRF9","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.66666666666666","25","4","ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=431); ARCHS4--Coexpression(rank=488); GTEx--Coexpression(rank=738)","890","rank=113; score=0.61566; p=0.24229","rank=26; score=1.8756; p=0.013316","rank=25; score=2.4523; p=0.014196; direction=Activated"
"7","RFX5","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","63.66666666666667","22","5","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=127); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=905); ARCHS4--Coexpression(rank=1579)","309","rank=23; score=2.2742; p=0.0053181","rank=22; score=2.1254; p=0.0074916","rank=146; score=1.4369; p=0.15076; direction=Activated"
"8","NFKB2","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.33333333333333","19","4","ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=467); GTEx--Coexpression(rank=571); ARCHS4--Coexpression(rank=1356)","963","rank=25; score=2.1254; p=0.0074916","rank=19; score=2.1335; p=0.0073529","rank=173; score=1.3096; p=0.19033; direction=Repressed"
"9","KLF6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","77.66666666666667","17","4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=791)","32","rank=78; score=0.9555; p=0.11079","rank=138; score=0.43144; p=0.37031","rank=17; score=2.611; p=0.0090266; direction=Activated"
"10","NFYA","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.66666666666666","8","5","ENCODE--ChIP-seq(rank=86); ReMap--ChIP-seq(rank=109); GTEx--Coexpression(rank=785); Enrichr--Queries(rank=1017); ARCHS4--Coexpression(rank=1597)","1032","rank=230; score=0; p=1","rank=8; score=3.0111; p=0.00097471","rank=19; score=2.6011; p=0.0092928; direction=Repressed"
