"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","IRF8","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","15.0","6","4","Literature--ChIP-seq(rank=1); Enrichr--Queries(rank=325); ARCHS4--Coexpression(rank=381); GTEx--Coexpression(rank=407)","24","rank=24; score=0.006098","rank=6; score=18.889; p=0.0010746; adjP=0.26889"
"2","HSF1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.0","5","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=115); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=1027); ARCHS4--Coexpression(rank=1557)","35","rank=35; score=0.008475","rank=5; score=19.564; p=0.0025861; adjP=0.99999"
"3","SRY","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","31.0","11","4","Literature--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=208); Enrichr--Queries(rank=313); GTEx--Coexpression(rank=1316)","51","rank=51; score=0.0122","rank=11; score=10.007; p=0.0023786; adjP=0.56928"
"4","ZNF263","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","35.5","28","6","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=53); Enrichr--Queries(rank=1365); ARCHS4--Coexpression(rank=1379); GTEx--Coexpression(rank=1536)","28","rank=28; score=0.006734","rank=43; score=13.973; p=0.14078; adjP=0.99118"
"5","FOSL1","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","42.0","13","5","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=146); Enrichr--Queries(rank=724); ARCHS4--Coexpression(rank=930); GTEx--Coexpression(rank=931)","71","rank=71; score=0.01695","rank=13; score=5.2889; p=0.088091; adjP=0.99999"
"6","SPI1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","18","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=99); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=686); ARCHS4--Coexpression(rank=798)","78","rank=78; score=0.01829","rank=18; score=8.6525; p=0.0083554; adjP=0.53998"
"7","NR0B1","ChEA3;ENRICHR","4","ChEA3;ENRICHR;TRRUST;CollecTRI","55.0","20","4","Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=41); GTEx--Coexpression(rank=484); ARCHS4--Coexpression(rank=757)","20","rank=20; score=0.004986","rank=90; score=18.101; p=0.12048; adjP=0.26889"
"8","GFI1B","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","56.0","39","5","ARCHS4--Coexpression(rank=15); ReMap--ChIP-seq(rank=83); Literature--ChIP-seq(rank=135); Enrichr--Queries(rank=786); GTEx--Coexpression(rank=1024)","39","rank=39; score=0.009214","rank=73; score=3.1551; p=0.23756; adjP=0.99118"
"9","SP1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.0","55","5","ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=48); ARCHS4--Coexpression(rank=792); GTEx--Coexpression(rank=1046); Enrichr--Queries(rank=1222)","55","rank=55; score=0.01347","rank=57; score=7.9228; p=0.022355; adjP=0.24591"
"10","NR2F2","ChEA3;ENRICHR","5","DoRothEA;ChEA3;ENRICHR;TRRUST;CollecTRI","62.5","8","5","ENCODE--ChIP-seq(rank=26); ARCHS4--Coexpression(rank=44); ReMap--ChIP-seq(rank=236); Enrichr--Queries(rank=351); GTEx--Coexpression(rank=1283)","117","rank=117; score=0.02703","rank=8; score=36.293; p=0.026571; adjP=0.26889"
