"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","ESR1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.66666666666667","5","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=617); GTEx--Coexpression(rank=709)","26","rank=16; score=2.6195; p=0.0024015","rank=26; score=0.006734","rank=5; score=4.2814; direction=Activated"
"2","HIF1A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.66666666666667","1","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","rank=1; score=7.8394; p=1.4476e-08","rank=47; score=0.0122","rank=2; score=5.0817; direction=Activated"
"3","IRF9","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.33333333333333","13","4","Enrichr--Queries(rank=5); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=279); GTEx--Coexpression(rank=385)","14","rank=13; score=2.9237; p=0.0011921","rank=14; score=0.003561","rank=31; score=2.8006; direction=Activated"
"4","VDR","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.33333333333333","9","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=9; score=3.0524; p=0.00088626","rank=48; score=0.01229","rank=25; score=3.0209; direction=Activated"
"5","JUN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.00000000000000","15","6","ENCODE--ChIP-seq(rank=14); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=31); Literature--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=50); Enrichr--Queries(rank=187)","52","rank=15; score=2.7511; p=0.0017736","rank=52; score=0.01307","rank=26; score=2.9825; direction=Activated"
"6","FOS","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.00000000000000","2","5","GTEx--Coexpression(rank=1); ENCODE--ChIP-seq(rank=21); Enrichr--Queries(rank=21); ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=73)","2","rank=41; score=1.6013; p=0.025041","rank=2; score=0.0006223","rank=62; score=2.0519; direction=Activated"
"7","CDX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.33333333333334","13","5","ReMap--ChIP-seq(rank=1); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=7); GTEx--Coexpression(rank=10); Enrichr--Queries(rank=602)","13","rank=50; score=1.4193; p=0.038085","rank=13; score=0.003367","rank=64; score=2.0218; direction=Activated"
"8","AR","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.33333333333334","4","5","ReMap--ChIP-seq(rank=8); Literature--ChIP-seq(rank=51); Enrichr--Queries(rank=273); ARCHS4--Coexpression(rank=315); GTEx--Coexpression(rank=607)","106","rank=4; score=4.3078; p=4.9229e-05","rank=106; score=0.02694","rank=23; score=3.0879; direction=Activated"
"9","CEBPB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.66666666666666","18","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=95; score=0.74509; p=0.17985","rank=33; score=0.008475","rank=18; score=3.2526; direction=Activated"
"10","GATA6","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.00000000000000","17","5","ReMap--ChIP-seq(rank=20); Enrichr--Queries(rank=34); Literature--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=83); GTEx--Coexpression(rank=859)","94","rank=17; score=2.5494; p=0.0028221","rank=94; score=0.02422","rank=36; score=2.6478; direction=Activated"
