"ID","P","HR","CI_low_0.95","CI_up_0.95"
"StromalScore_estimate","0.3992892566804797","1.0001","0.9999","1.0004"
"TumorPurity_estimate","0.4711830257876860","0.5273","0.0925","3.0062"
"ESTIMATEScore_estimate","0.5762266009569715","1.0000","0.9999","1.0002"
"ImmuneScore_estimate","0.8644429562095619","1.0000","0.9997","1.0003"
