"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","FOS","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","55.66666666666666","35","5","ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=19); GTEx--Coexpression(rank=194); Enrichr--Queries(rank=209); ARCHS4--Coexpression(rank=406)","81","rank=81; score=0.0202","rank=51; score=18.98; p=0.0099375; adjP=0.15289","rank=35; score=2.7601; p=0.0057783; direction=Repressed"
"2","MTF2","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","58.00000000000000","2","3","Literature--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=1086); GTEx--Coexpression(rank=1139)","21","rank=21; score=0.006098","rank=2; score=89.708; p=5.3192e-16; adjP=3.4457e-13","rank=151; score=1.8684; p=0.061706; direction=Repressed"
"3","HIF1A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.33333333333333","5","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=42); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=306); Enrichr--Queries(rank=649)","18","rank=18; score=0.004914","rank=5; score=81.182; p=3.7014e-06; adjP=0.00095866","rank=170; score=1.7366; p=0.082452; direction=Repressed"
"4","TCF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.33333333333333","36","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=274); Enrichr--Queries(rank=1138); GTEx--Coexpression(rank=1217); ARCHS4--Coexpression(rank=1450)","178","rank=178; score=0.04268","rank=36; score=24.563; p=3.1477e-06; adjP=0.0001021","rank=42; score=2.7229; p=0.0064712; direction=Repressed"
"5","TP63","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","86.33333333333333","28","5","ARCHS4--Coexpression(rank=12); Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=56); GTEx--Coexpression(rank=58); Enrichr--Queries(rank=72)","28","rank=28; score=0.007371","rank=46; score=23.758; p=2.4482e-06; adjP=8.6971e-05","rank=185; score=1.6372; p=0.1016; direction=Repressed"
"6","KLF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","90.00000000000000","27","5","Enrichr--Queries(rank=10); Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=152); GTEx--Coexpression(rank=208)","27","rank=27; score=0.007123","rank=53; score=30.974; p=0.00085488; adjP=0.0067525","rank=190; score=1.6133; p=0.10669; direction=Repressed"
"7","KLF5","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","95.33333333333334","5","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=83)","5","rank=5; score=0.001425","rank=233; score=30.974; p=0.00085488; adjP=0.0067525","rank=48; score=2.6301; p=0.008536; direction=Repressed"
"8","ZEB1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.66666666666667","64","5","ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=34); Enrichr--Queries(rank=71); GTEx--Coexpression(rank=125); ReMap--ChIP-seq(rank=269)","85","rank=85; score=0.02088","rank=64; score=10.195; p=0.013512; adjP=0.3998","rank=147; score=1.8906; p=0.05868; direction=Repressed"
"9","IRF6","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","100.33333333333334","12","3","ARCHS4--Coexpression(rank=5); GTEx--Coexpression(rank=6); Enrichr--Queries(rank=76)","12","rank=12; score=0.003071","rank=41; score=10.458; p=0.17293; adjP=0.99692","rank=248; score=1.4068; p=0.15949; direction=Repressed"
"10","MYC","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","100.66666666666667","36","6","GTEx--Coexpression(rank=56); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=218); Enrichr--Queries(rank=360); ARCHS4--Coexpression(rank=1475)","148","rank=148; score=0.03485","rank=118; score=12.902; p=0.00045185; adjP=0.0043507","rank=36; score=2.7597; p=0.0057853; direction=Repressed"
