Pathway,"GSE21546 ELK1 KO VS SAP1A KO AND ELK1 KO DP
THYMOCYTES DN","GSE21546 WT VS ELK1 KO ANTI CD3 STIM DP
THYMOCYTES DN",GSE7764 IL15 TREATED VS CTRL NK CELL 24H UP,"GSE5142 HTERT TRANSDUCED VS CTRL CD8 TCELL
LATE PASSAGE CLONE UP",GSE22886 UNSTIM VS IL2 STIM NKCELL DN,GSE22886 UNSTIM VS IL15 STIM NKCELL DN,"GSE17974 CTRL VS ACT IL4 AND ANTI IL12 12H
CD4 TCELL DN","GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION UP",GSE24634 TEFF VS TCONV DAY5 IN CULTURE UP,GSE24634 TEFF VS TCONV DAY3 IN CULTURE UP,"GSE36476 CTRL VS TSST ACT 72H MEMORY CD4
TCELL YOUNG DN","GSE15930 NAIVE VS 24H IN VITRO STIM INFAB CD8
TCELL DN","GSE15930 NAIVE VS 24H IN VITRO STIM CD8 TCELL
DN","GSE15930 NAIVE VS 24H IN VITRO STIM IL12 CD8
TCELL DN",GSE24210 RESTING TREG VS TCONV DN,GSE45739 NRAS KO VS WT UNSTIM CD4 TCELL UP,"GSE46606 UNSTIM VS CD40L IL2 IL5 DAY3
STIMULATED BCELL DN","GSE41867 DAY6 VS DAY8 LCMV ARMSTRONG EFFECTOR
CD8 TCELL DN",GSE22589 HEALTHY VS SIV INFECTED DC UP,"GSE21927 SPLEEN C57BL6 VS EL4 TUMOR BALBC
MONOCYTES DN","GSE9006 TYPE 1 VS TYPE 2 DIABETES PBMC AT DX
UP","GSE2405 0H VS 3H A PHAGOCYTOPHILUM STIM
NEUTROPHIL UP","GSE2405 HEAT KILLED LYSATE VS LIVE A
PHAGOCYTOPHILUM STIM NEUTROPHIL 24H UP","GSE24142 EARLY THYMIC PROGENITOR VS DN2
THYMOCYTE UP","GSE22935 WT VS MYD88 KO MACROPHAGE 48H MBOVIS
BCG STIM DN","GSE24634 TREG VS TCONV POST DAY10 IL4
CONVERSION DN",GSE24634 TEFF VS TCONV DAY10 IN CULTURE DN,GSE6269 FLU VS STAPH AUREUS INF PBMC DN,"GSE21670 UNTREATED VS IL6 TREATED STAT3 KO
CD4 TCELL UP",GSE11057 PBMC VS MEM CD4 TCELL UP,GSE6259 33D1 POS DC VS CD4 TCELL DN,"GSE21546 UNSTIM VS ANTI CD3 STIM SAP1A KO DP
THYMOCYTES UP",GSE39820 CTRL VS TGFBETA1 IL6 CD4 TCELL DN,"GSE39820 TGFBETA3 IL6 VS TGFBETA3 IL6 IL23A
TREATED CD4 TCELL UP",GSE21063 WT VS NFATC1 KO BCELL UP,"GSE43955 10H VS 60H ACT CD4 TCELL WITH TGFB
IL6 DN",GSE21379 WT VS SAP KO TFH CD4 TCELL DN,"GSE40068 CXCR5POS BCL6POS TFH VS CXCR5NEG
BCL6NEG CD4 TCELL DN",GSE20715 0H VS 24H OZONE LUNG UP,GSE15271 CXCR4 POS VS NEG GC BCELL DN
"GSE21546 ELK1 KO VS SAP1A KO AND ELK1 KO DP
THYMOCYTES DN",1.0,0.34517766497461927,0.07106598984771574,0.05583756345177665,0.07106598984771574,0.08121827411167512,0.050761421319796954,0.08121827411167512,0.06598984771573604,0.06091370558375635,0.08629441624365482,0.07614213197969544,0.08629441624365482,0.08629441624365482,0.025380710659898477,0.025380710659898477,0.025380710659898477,0.04060913705583756,0.02030456852791878,0.06091370558375635,0.02030456852791878,0.01015228426395939,0.015228426395939087,0.0,0.005076142131979695,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.01015228426395939,0.0,0.01015228426395939,0.01015228426395939,0.01015228426395939,0.005076142131979695,0.0,0.005076142131979695,0.005076142131979695,0.005076142131979695
"GSE21546 WT VS ELK1 KO ANTI CD3 STIM DP
THYMOCYTES DN",0.3469387755102041,1.0,0.08163265306122448,0.061224489795918366,0.08163265306122448,0.08163265306122448,0.05612244897959184,0.07142857142857142,0.04081632653061224,0.04591836734693878,0.0663265306122449,0.05612244897959184,0.061224489795918366,0.07142857142857142,0.02040816326530612,0.05102040816326531,0.03571428571428571,0.04591836734693878,0.015306122448979591,0.07142857142857142,0.015306122448979591,0.00510204081632653,0.0,0.01020408163265306,0.00510204081632653,0.0,0.0,0.00510204081632653,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.0,0.00510204081632653,0.015306122448979591,0.0,0.0,0.0,0.015306122448979591,0.01020408163265306,0.00510204081632653
GSE7764 IL15 TREATED VS CTRL NK CELL 24H UP,0.07,0.08,1.0,0.07,0.06,0.04,0.03,0.07,0.055,0.055,0.095,0.065,0.07,0.065,0.045,0.045,0.04,0.03,0.01,0.06,0.015,0.005,0.0,0.005,0.015,0.005,0.015,0.0,0.005,0.01,0.0,0.005,0.005,0.01,0.01,0.01,0.01,0.005,0.005,0.005
"GSE5142 HTERT TRANSDUCED VS CTRL CD8 TCELL
LATE PASSAGE CLONE UP",0.055,0.06,0.07,1.0,0.11,0.1,0.02,0.05,0.08,0.06,0.105,0.065,0.065,0.06,0.02,0.045,0.045,0.035,0.035,0.07,0.01,0.015,0.025,0.015,0.015,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.005,0.01,0.01,0.0,0.005,0.005
GSE22886 UNSTIM VS IL2 STIM NKCELL DN,0.07,0.08,0.06,0.11,1.0,0.555,0.115,0.145,0.11,0.125,0.18,0.085,0.095,0.09,0.045,0.11,0.075,0.065,0.035,0.1,0.07,0.005,0.01,0.005,0.03,0.0,0.005,0.015,0.0,0.0,0.0,0.005,0.015,0.005,0.0,0.01,0.015,0.0,0.005,0.0
GSE22886 UNSTIM VS IL15 STIM NKCELL DN,0.08,0.08,0.04,0.1,0.555,1.0,0.125,0.115,0.12,0.105,0.195,0.11,0.115,0.115,0.05,0.1,0.05,0.055,0.035,0.095,0.03,0.005,0.01,0.0,0.015,0.0,0.005,0.01,0.005,0.0,0.0,0.005,0.01,0.01,0.0,0.0,0.015,0.0,0.01,0.005
"GSE17974 CTRL VS ACT IL4 AND ANTI IL12 12H
CD4 TCELL DN",0.05025125628140704,0.05527638190954774,0.03015075376884422,0.020100502512562814,0.11557788944723618,0.12562814070351758,1.0,0.08040201005025126,0.08542713567839195,0.10050251256281408,0.08542713567839195,0.07035175879396985,0.07537688442211055,0.07537688442211055,0.06030150753768844,0.04020100502512563,0.04522613065326633,0.05527638190954774,0.04020100502512563,0.05527638190954774,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.010050251256281407,0.01507537688442211,0.005025125628140704,0.010050251256281407,0.005025125628140704,0.010050251256281407,0.010050251256281407,0.0,0.010050251256281407,0.0,0.010050251256281407,0.0,0.005025125628140704,0.005025125628140704,0.02512562814070352,0.01507537688442211,0.0
"GSE24634 TREG VS TCONV POST DAY3 IL4
CONVERSION UP",0.08,0.07,0.07,0.05,0.145,0.115,0.08,1.0,0.17,0.17,0.095,0.09,0.095,0.095,0.075,0.065,0.065,0.055,0.025,0.075,0.05,0.005,0.005,0.0,0.005,0.0,0.005,0.005,0.005,0.005,0.0,0.005,0.0,0.005,0.0,0.015,0.005,0.005,0.01,0.0
GSE24634 TEFF VS TCONV DAY5 IN CULTURE UP,0.065,0.04,0.055,0.08,0.11,0.12,0.085,0.17,1.0,0.185,0.16,0.09,0.09,0.095,0.065,0.06,0.055,0.035,0.03,0.095,0.015,0.0,0.005,0.005,0.0,0.005,0.0,0.005,0.01,0.005,0.0,0.005,0.01,0.02,0.015,0.01,0.005,0.005,0.01,0.0
GSE24634 TEFF VS TCONV DAY3 IN CULTURE UP,0.06,0.045,0.055,0.06,0.125,0.105,0.1,0.17,0.185,1.0,0.185,0.07,0.08,0.075,0.06,0.085,0.08,0.05,0.03,0.085,0.04,0.005,0.025,0.01,0.01,0.005,0.0,0.0,0.02,0.0,0.005,0.0,0.02,0.01,0.0,0.01,0.015,0.01,0.005,0.0
