"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=89); Literature--ChIP-seq(rank=141); ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=815); Enrichr--Queries(rank=1075); GTEx--Coexpression(rank=1498)","1324","rank=1; score=8.4458; direction=Repressed","rank=1; score=7.3311; p=2.2825e-13; direction=Repressed"
"2","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","2","6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=219); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=1079)","470","rank=4; score=4.669; direction=Activated","rank=2; score=4.9303; p=8.2104e-07; direction=Activated"
"3","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","3","6","ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=142); ReMap--ChIP-seq(rank=226); GTEx--Coexpression(rank=753); Enrichr--Queries(rank=812); ARCHS4--Coexpression(rank=1450)","1279","rank=10; score=4.2203; direction=Repressed","rank=3; score=4.6076; p=4.0741e-06; direction=Repressed"
"4","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","4","4","Literature--ChIP-seq(rank=57); ARCHS4--Coexpression(rank=382); Enrichr--Queries(rank=520); GTEx--Coexpression(rank=1130)","781","rank=9; score=4.3342; direction=Activated","rank=4; score=4.5366; p=5.7157e-06; direction=Activated"
"5","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","2","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=68); Enrichr--Queries(rank=143); GTEx--Coexpression(rank=190); ReMap--ChIP-seq(rank=219); ARCHS4--Coexpression(rank=788)","365","rank=2; score=5.408; direction=Repressed","rank=15; score=3.555; p=0.00037792; direction=Repressed"
"6","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","8","4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","rank=8; score=4.3475; direction=Activated","rank=14; score=3.5742; p=0.00035129; direction=Activated"
"7","SREBF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.0","15","6","ENCODE--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=45); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=278); Enrichr--Queries(rank=314); ARCHS4--Coexpression(rank=1151)","527","rank=15; score=3.6842; direction=Repressed","rank=17; score=3.4565; p=0.00054729; direction=Repressed"
"8","CLOCK","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.0","20","5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=519); Enrichr--Queries(rank=1232); GTEx--Coexpression(rank=1526)","730","rank=34; score=2.8787; direction=Activated","rank=20; score=3.2029; p=0.0013605; direction=Activated"
"9","IRF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","13","5","ENCODE--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=271); ARCHS4--Coexpression(rank=302); Enrichr--Queries(rank=932); GTEx--Coexpression(rank=1550)","640","rank=43; score=2.7521; direction=Repressed","rank=13; score=3.5816; p=0.0003415; direction=Activated"
"10","ETV4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.5","12","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1422)","575","rank=49; score=2.6231; direction=Activated","rank=12; score=3.5843; p=0.00033803; direction=Activated"
