Pathway,"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",REFERENCE FE TF TRANSPORT,"REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON",REFERENCE EGF EGFR ACTIN SIGNALING PATHWAY,"PATHOGEN ESCHERICHIA EAE TIR TO ACTIN
SIGNALING PATHWAY","PATHOGEN ESCHERICHIA MAP TO CDC42 SIGNALING
PATHWAY",REFERENCE MODIFYING OF CONDENSIN I SUBUNITS,REFERENCE INACTIVATION OF CONDENSIN I,REFERENCE GLYCOLYSIS,REFERENCE UREA CYCLE,"PATHOGEN SHIGELLA IPAA TO ITGA B RHOGEF RHOA
SIGNALING PATHWAY","PATHOGEN SALMONELLA SOPB TO RHOA SIGNALING
PATHWAY",REFERENCE BCR PLCG ITPR SIGNALING PATHWAY,REFERENCE CA2 PLCD ITPR SIGNALING PATHWAY,"VARIANT MUTATION CAUSED ABERRANT SPTBN2 TO
MGLUR1 TRPC3 SIGNALING PATHWAY",REFERENCE MGLUR1 TRPC3 SIGNALING PATHWAY,"VARIANT MUTATION ACTIVATED PRKCG TO MGLUR1
TRPC3 SIGNALING PATHWAY","VARIANT MUTATION CAUSED ABERRANT HTT TO
MGLUR5 CA2 APOPTOTIC PATHWAY",ENV FACTOR METALS TO NFKB SIGNALING PATHWAY,REFERENCE ITGA B FAK RAC SIGNALING PATHWAY,REFERENCE PTH PTH1R PKA SIGNALING PATHWAY,REFERENCE LHCGR GNAS PKA SIGNALING PATHWAY,REFERENCE FSHR GNAS PKA SIGNALING PATHWAY,REFERENCE EP NE ADRB CAMP SIGNALING PATHWAY,"PATHOGEN HCMV UL33 TO GNAI AC PKA SIGNALING
PATHWAY",REFERENCE GPI ANCHOR BIOSYNTHESIS,"VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE CHONDROITIN SULFATE BIOSYNTHESIS,"VARIANT MUTATION ACTIVATED FGFR3 TO RAS ERK
SIGNALING PATHWAY","REFERENCE REGULATION OF GF RTK RAS ERK
SIGNALING SPRED AND NF1","PATHOGEN HPV E6 TO NOTCH SIGNALING PATHWAY
N00381"
"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",1.0,0.975,0.975,0.975,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION",1.0,1.0,1.0,1.0,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.9512195121951219,0.9512195121951219,1.0,0.9512195121951219,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.975,0.975,0.975,1.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REFERENCE FE TF TRANSPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
