"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","MBD1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","21.0","19","3","GTEx--Coexpression(rank=363); Enrichr--Queries(rank=900); ARCHS4--Coexpression(rank=1186)","799","rank=19; score=3.7279; direction=Repressed","rank=23; score=2.3861; p=0.017029; direction=Activated"
"2","EPAS1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","21","4","GTEx--Coexpression(rank=86); Enrichr--Queries(rank=133); ReMap--ChIP-seq(rank=159); ARCHS4--Coexpression(rank=177)","228","rank=35; score=3.0762; direction=Activated","rank=21; score=2.4278; p=0.015193; direction=Activated"
"3","ASCL1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","28.0","24","4","ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=100); GTEx--Coexpression(rank=595); ARCHS4--Coexpression(rank=794)","70","rank=24; score=3.4418; direction=Activated","rank=32; score=2.1807; p=0.029204; direction=Activated"
"4","MXI1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","40.0","27","5","ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=52); GTEx--Coexpression(rank=261); Enrichr--Queries(rank=685); ARCHS4--Coexpression(rank=710)","521","rank=53; score=2.5567; direction=Repressed","rank=27; score=2.2498; p=0.024463; direction=Repressed"
"5","ZBTB7A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","1","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=22); Enrichr--Queries(rank=1065); GTEx--Coexpression(rank=1404); ARCHS4--Coexpression(rank=1581)","13","rank=1; score=10.654; direction=Repressed","rank=82; score=1.8462; p=0.064857; direction=Activated"
"6","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.5","13","6","ENCODE--ChIP-seq(rank=67); Literature--ChIP-seq(rank=75); ReMap--ChIP-seq(rank=107); GTEx--Coexpression(rank=1005); Enrichr--Queries(rank=1155); ARCHS4--Coexpression(rank=1357)","1079","rank=70; score=2.1846; direction=Repressed","rank=13; score=2.5619; p=0.01041; direction=Repressed"
"7","NRF1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.5","9","5","GTEx--Coexpression(rank=46); ReMap--ChIP-seq(rank=55); ENCODE--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=1008)","124","rank=76; score=2.009; direction=Activated","rank=9; score=2.7187; p=0.0065537; direction=Repressed"
"8","HIF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.5","14","5","Literature--ChIP-seq(rank=11); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=279); ARCHS4--Coexpression(rank=284); Enrichr--Queries(rank=897)","284","rank=14; score=4.5717; direction=Activated","rank=71; score=1.8931; p=0.05835; direction=Activated"
"9","MEF2A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.0","32","6","ENCODE--ChIP-seq(rank=64); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=255); Enrichr--Queries(rank=905); GTEx--Coexpression(rank=977); ARCHS4--Coexpression(rank=1200)","1364","rank=32; score=3.1; direction=Repressed","rank=68; score=1.8975; p=0.057768; direction=Activated"
"10","SP3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.5","14","3","GTEx--Coexpression(rank=585); ARCHS4--Coexpression(rank=926); Enrichr--Queries(rank=1198)","1086","rank=87; score=1.7684; direction=Activated","rank=14; score=2.5534; p=0.010668; direction=Activated"
