"TF","DLD1","HCT15"
"AHR","1.56977611742686851","0.771249622124562162"
"AR","0.85293364732954335","0.056413144271491272"
"ARID2","-0.82723994904323128","2.053537619510084511"
"ARID3A","4.43661851234271953","2.736185527531838524"
"ARNT","1.70724026021838249","-0.661199515603735133"
"ARNTL","2.65364398036686033","3.705594575306273342"
"ASCL1","2.59882660212234962","-1.101143710642251472"
"ATF1","0.29033909255737211","-0.010862095100191970"
"ATF2","-0.80766041750689455","0.716041860073517222"
"ATF3","-1.74805428991407719","-0.575689386153159899"
"ATF4","3.56764078385780081","4.959822110272996909"
"ATF6","1.59221994164729952","1.931662806015858269"
"ATF7","0.28890819014274660","0.511885651980227174"
"BACH1","0.16108928438876721","0.835546537251673826"
"BACH2","1.52804424125398386","1.553390020839162888"
"BATF","0.92628208137850143","0.191024110794342367"
"BCL11A","0.39683289239071695","-1.437106801371878184"
"BCL6","-0.75801310005644829","-0.382768118233034915"
"BHLHE22","-2.73933341934383190","-0.961113392286762847"
"BHLHE40","-2.46684614249642964","0.312287358530933146"
"CDX2","1.57932482494907522","-0.457367715023146437"
"CEBPA","-1.39898264179101250","0.959288374662367049"
"CEBPB","1.26665035230685219","1.591657965619921900"
"CEBPD","0.19525734187948510","1.202539576342685379"
"CEBPG","1.80241094079697040","1.532013464448547024"
"CLOCK","3.10139164604865369","1.651995414660613948"
"CREB1","-0.44092936232782276","0.146593872169563627"
"CREB3","-0.01000632049720926","0.088976594285764238"
"CREB3L1","1.08199828752536087","0.585867061993677329"
"CREM","1.19770230644635145","1.593284598247522332"
"CTCF","1.02764925105089588","-0.125145573331385374"
"CTCFL","1.99734028058641666","-1.175826926635742176"
"CUX1","0.66908129293256047","0.482778173584941628"
"DUX4","-1.12355968609627288","-0.236294595083822750"
"E2F1","-6.94446816082077234","2.325667910020416507"
"E2F2","-5.91470691975016649","0.804468931782980401"
"E2F3","-3.63900859024534284","0.725023802001434903"
"E2F4","-12.03626670307464686","1.987018440411549625"
"E2F5","-2.07482950686622125","-1.265675757832855242"
"E2F6","0.15254305306038998","0.256723968101813915"
"E2F7","-0.72614997984539609","1.465551069361525016"
"EBF1","2.37533069040794143","-0.125507773143876233"
"EGR1","1.48514528213304731","0.187434118533837457"
"EHF","2.21594310394510963","0.399339513694166204"
"ELF1","2.48714301265684901","2.270814987590156875"
"ELF3","1.31956323627733974","-1.321746706573238894"
"ELF5","-0.17335238589367971","-0.472313187829077052"
"ELK1","2.01790542944288998","0.215246238200963447"
"ELK4","0.33640062999320652","1.141013904343510355"
"EOMES","0.36440365372936012","-2.555618846335354633"
"EPAS1","1.84482594541932121","1.131735365201394394"
